date,value
2010-08-24,60
2010-08-25,56
2010-08-26,63
2010-08-27,64
2010-08-28,71
2010-08-29,64
2010-08-30,58
2010-08-31,64
2010-09-01,57
2010-09-02,55
2010-09-03,67
2010-09-04,64
2010-09-05,64
2010-09-06,55
2010-09-07,68
2010-09-08,63
2010-09-09,67
2010-09-10,59
2010-09-11,74
2010-09-12,76
2010-09-13,64
2010-09-14,63
2010-09-15,64
2010-09-16,61
2010-09-17,56
2010-09-18,67
2010-09-19,74
2010-09-20,61
2010-09-21,60
2010-09-22,61
2010-09-23,70
2010-09-24,63
2010-09-25,67
2010-09-26,60
2010-09-27,74
2010-09-28,57
2010-09-29,63
2010-09-30,61
2010-10-01,64
2010-10-02,61
2010-10-03,66
2010-10-04,58
2010-10-05,61
2010-10-06,61
2010-10-07,57
2010-10-08,68
2010-10-09,81
2010-10-10,74
2010-10-11,64
2010-10-12,65
2010-10-13,65
2010-10-14,67
2010-10-15,73
2010-10-16,71
2010-10-17,69
2010-10-18,65
2010-10-19,63
2010-10-20,66
2010-10-21,62
2010-10-22,69
2010-10-23,70
2010-10-24,71
2010-10-25,65
2010-10-26,64
2010-10-27,65
2010-10-28,70
2010-10-29,70
2010-10-30,71
2010-10-31,72
2010-11-01,63
2010-11-02,70
2010-11-03,68
2010-11-04,64
2010-11-05,73
2010-11-06,71
2010-11-07,76
2010-11-08,67
2010-11-09,69
2010-11-10,68
2010-11-11,74
2010-11-12,72
2010-11-13,76
2010-11-14,85
2010-11-15,64
2010-11-16,65
2010-11-17,69
2010-11-18,72
2010-11-19,71
2010-11-20,84
2010-11-21,78
2010-11-22,76
2010-11-23,68
2010-11-24,72
2010-11-25,77
2010-11-26,71
2010-11-27,78
2010-11-28,79
2010-11-29,73
2010-11-30,66
2010-12-01,75
2010-12-02,69
2010-12-03,75
2010-12-04,82
2010-12-05,81
2010-12-06,76
2010-12-07,73
2010-12-08,78
2010-12-09,69
2010-12-10,72
2010-12-11,80
2010-12-12,75
2010-12-13,72
2010-12-14,68
2010-12-15,74
2010-12-16,76
2010-12-17,80
2010-12-18,73
2010-12-19,85
2010-12-20,70
2010-12-21,69
2010-12-22,69
2010-12-23,76
2010-12-24,92
2010-12-25,89
2010-12-26,86
2010-12-27,79
2010-12-28,72
2010-12-29,77
2010-12-30,78
2010-12-31,77
2011-01-01,89
2011-01-02,87
2011-01-03,76
2011-01-04,75
2011-01-05,73
2011-01-06,82
2011-01-07,70
2011-01-08,83
2011-01-09,84
2011-01-10,79
2011-01-11,79
2011-01-12,74
2011-01-13,82
2011-01-14,77
2011-01-15,87
2011-01-16,80
2011-01-17,71
2011-01-18,72
2011-01-19,76
2011-01-20,75
2011-01-21,77
2011-01-22,89
2011-01-23,90
2011-01-24,72
2011-01-25,79
2011-01-26,79
2011-01-27,73
2011-01-28,83
2011-01-29,92
2011-01-30,92
2011-01-31,89
2011-02-01,84
2011-02-02,89
2011-02-03,97
2011-02-04,95
2011-02-05,96
2011-02-06,101
2011-02-07,88
2011-02-08,84
2011-02-09,72
2011-02-10,76
2011-02-11,83
2011-02-12,84
2011-02-13,89
2011-02-14,77
2011-02-15,81
2011-02-16,72
2011-02-17,80
2011-02-18,76
2011-02-19,84
2011-02-20,78
2011-02-21,74
2011-02-22,69
2011-02-23,82
2011-02-24,72
2011-02-25,81
2011-02-26,88
2011-02-27,86
2011-02-28,80
2011-03-01,80
2011-03-02,69
2011-03-03,77
2011-03-04,75
2011-03-05,82
2011-03-06,80
2011-03-07,71
2011-03-08,72
2011-03-09,81
2011-03-10,72
2011-03-11,76
2011-03-12,85
2011-03-13,81
2011-03-14,78
2011-03-15,66
2011-03-16,71
2011-03-17,79
2011-03-18,73
2011-03-19,79
2011-03-20,77
2011-03-21,69
2011-03-22,79
2011-03-23,75
2011-03-24,72
2011-03-25,76
2011-03-26,79
2011-03-27,83
2011-03-28,69
2011-03-29,78
2011-03-30,79
2011-03-31,79
2011-04-01,81
2011-04-02,84
2011-04-03,77
2011-04-04,76
2011-04-05,80
2011-04-06,68
2011-04-07,82
2011-04-08,77
2011-04-09,83
2011-04-10,83
2011-04-11,79
2011-04-12,78
2011-04-13,81
2011-04-14,76
2011-04-15,82
2011-04-16,83
2011-04-17,80
2011-04-18,78
2011-04-19,73
2011-04-20,71
2011-04-21,84
2011-04-22,79
2011-04-23,87
2011-04-24,85
2011-04-25,73
2011-04-26,76
2011-04-27,79
2011-04-28,81
2011-04-29,74
2011-04-30,85
2011-05-01,89
2011-05-02,77
2011-05-03,85
2011-05-04,79
2011-05-05,71
2011-05-06,78
2011-05-07,82
2011-05-08,91
2011-05-09,81
2011-05-10,80
2011-05-11,92
