date,HSIC
2011-05-11,29
2011-05-12,27
2011-05-13,41
2011-05-14,0
2011-05-15,24
2011-05-16,29
2011-05-17,20
2011-05-18,33
2011-05-19,40
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,19
2011-05-25,19
2011-05-26,53
2011-05-27,31
2011-05-28,0
2011-05-29,26
2011-05-30,21
2011-05-31,19
2011-06-01,20
2011-06-02,28
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,29
2011-06-07,38
2011-06-08,39
2011-06-09,20
2011-06-10,21
2011-06-11,0
2011-06-12,25
2011-06-13,20
2011-06-14,32
2011-06-15,49
2011-06-16,30
2011-06-17,20
2011-06-18,0
2011-06-19,0
2011-06-20,26
2011-06-21,38
2011-06-22,20
2011-06-23,20
2011-06-24,21
2011-06-25,25
2011-06-26,0
2011-06-27,0
2011-06-28,19
2011-06-29,20
2011-06-30,20
2011-07-01,21
2011-07-02,0
2011-07-03,26
2011-07-04,42
2011-07-05,20
2011-07-06,20
2011-07-07,40
2011-07-08,21
2011-07-09,0
2011-07-10,0
2011-07-11,20
2011-07-12,30
2011-07-13,30
2011-07-14,40
2011-07-15,28
2011-07-16,0
2011-07-17,25
2011-07-18,39
2011-07-19,29
2011-07-20,20
2011-07-21,20
2011-07-22,21
2011-07-23,0
2011-07-24,25
2011-07-25,0
2011-07-26,49
2011-07-27,20
2011-07-28,30
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,20
2011-08-02,30
2011-08-03,40
2011-08-04,39
2011-08-05,0
2011-08-06,24
2011-08-07,0
2011-08-08,19
2011-08-09,19
2011-08-10,39
2011-08-11,33
2011-08-12,31
2011-08-13,25
2011-08-14,25
2011-08-15,30
2011-08-16,29
2011-08-17,20
2011-08-18,20
2011-08-19,100
2011-08-20,24
2011-08-21,0
2011-08-22,0
2011-08-23,25
2011-08-24,38
2011-08-25,29
2011-08-26,20
2011-08-27,23
2011-08-28,0
2011-08-29,28
2011-08-30,19
2011-08-31,19
2011-09-01,29
2011-09-02,39
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,18
2011-09-07,18
2011-09-08,55
2011-09-09,29
2011-09-10,23
2011-09-11,0
2011-09-12,36
2011-09-13,18
2011-09-14,0
2011-09-15,0
2011-09-16,19
2011-09-17,23
2011-09-18,0
2011-09-19,18
2011-09-20,27
2011-09-21,18
2011-09-22,36
2011-09-23,19
2011-09-24,0
2011-09-25,0
2011-09-26,18
2011-09-27,18
2011-09-28,18
2011-09-29,0
2011-09-30,0
2011-10-01,23
2011-10-02,22
2011-10-03,27
2011-10-04,35
2011-10-05,30
2011-10-06,18
2011-10-07,0
2011-10-08,0
2011-10-09,21
2011-10-10,18
2011-10-11,17
2011-10-12,17
2011-10-13,18
2011-10-14,18
2011-10-15,0
2011-10-16,0
2011-10-17,18
2011-10-18,18
2011-10-19,18
2011-10-20,18
2011-10-21,25
2011-10-22,0
2011-10-23,0
2011-10-24,17
2011-10-25,23
2011-10-26,18
2011-10-27,24
2011-10-28,18
2011-10-29,22
2011-10-30,21
2011-10-31,27
2011-11-01,18
2011-11-02,26
2011-11-03,18
2011-11-04,24
2011-11-05,0
2011-11-06,0
2011-11-07,26
2011-11-08,0
2011-11-09,26
2011-11-10,35
2011-11-11,27
2011-11-12,21
2011-11-13,21
2011-11-14,17
2011-11-15,23
2011-11-16,26
2011-11-17,17
2011-11-18,30
2011-11-19,0
2011-11-20,21
2011-11-21,34
2011-11-22,0
2011-11-23,0
2011-11-24,18
2011-11-25,19
2011-11-26,0
2011-11-27,20
2011-11-28,17
2011-11-29,33
2011-11-30,28
2011-12-01,17
2011-12-02,0
2011-12-03,0
2011-12-04,0
2011-12-05,25
2011-12-06,17
2011-12-07,17
2011-12-08,26
2011-12-09,18
2011-12-10,21
2011-12-11,20
2011-12-12,34
2011-12-13,0
2011-12-14,23
2011-12-15,17
2011-12-16,18
2011-12-17,0
2011-12-18,21
2011-12-19,0
2011-12-20,17
2011-12-21,18
2011-12-22,24
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,20
2011-12-27,27
2011-12-28,18
2011-12-29,27
2011-12-30,19
2011-12-31,0
2012-01-01,23
2012-01-02,36
2012-01-03,17
2012-01-04,17
2012-01-05,17
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,16
2012-01-10,27
2012-01-11,24
2012-01-12,16
2012-01-13,25
2012-01-14,20
2012-01-15,0
2012-01-16,21
2012-01-17,0
2012-01-18,16
2012-01-19,32
2012-01-20,34
2012-01-21,0
2012-01-22,19
2012-01-23,31
2012-01-24,32
2012-01-25,32
2012-01-26,16
