date,ILMN
2012-06-04,40
2012-06-05,54
2012-06-06,54
2012-06-07,14
2012-06-08,28
2012-06-09,0
2012-06-10,0
2012-06-11,27
2012-06-12,13
2012-06-13,27
2012-06-14,34
2012-06-15,0
2012-06-16,0
2012-06-17,17
2012-06-18,13
2012-06-19,27
2012-06-20,54
2012-06-21,41
2012-06-22,21
2012-06-23,17
2012-06-24,17
2012-06-25,20
2012-06-26,13
2012-06-27,28
2012-06-28,28
2012-06-29,29
2012-06-30,0
2012-07-01,17
2012-07-02,0
2012-07-03,41
2012-07-04,21
2012-07-05,42
2012-07-06,15
2012-07-07,17
2012-07-08,0
2012-07-09,54
2012-07-10,14
2012-07-11,20
2012-07-12,14
2012-07-13,21
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,14
2012-07-18,27
2012-07-19,14
2012-07-20,22
2012-07-21,0
2012-07-22,0
2012-07-23,21
2012-07-24,55
2012-07-25,28
2012-07-26,14
2012-07-27,29
2012-07-28,0
2012-07-29,17
2012-07-30,14
2012-07-31,14
2012-08-01,28
2012-08-02,0
2012-08-03,15
2012-08-04,17
2012-08-05,17
2012-08-06,14
2012-08-07,14
2012-08-08,27
2012-08-09,14
2012-08-10,29
2012-08-11,17
2012-08-12,17
2012-08-13,14
2012-08-14,14
2012-08-15,14
2012-08-16,21
2012-08-17,29
2012-08-18,0
2012-08-19,0
2012-08-20,21
2012-08-21,14
2012-08-22,14
2012-08-23,42
2012-08-24,29
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,13
2012-08-29,0
2012-08-30,14
2012-08-31,14
2012-09-01,16
2012-09-02,0
2012-09-03,21
2012-09-04,13
2012-09-05,20
2012-09-06,14
2012-09-07,28
2012-09-08,0
2012-09-09,16
2012-09-10,13
2012-09-11,26
2012-09-12,20
2012-09-13,13
2012-09-14,21
2012-09-15,16
2012-09-16,0
2012-09-17,33
2012-09-18,13
2012-09-19,20
2012-09-20,20
2012-09-21,0
2012-09-22,0
2012-09-23,16
2012-09-24,19
2012-09-25,0
2012-09-26,13
2012-09-27,13
2012-09-28,83
2012-09-29,0
2012-09-30,0
2012-10-01,65
2012-10-02,52
2012-10-03,19
2012-10-04,45
2012-10-05,33
2012-10-06,0
2012-10-07,15
2012-10-08,25
2012-10-09,37
2012-10-10,13
2012-10-11,13
2012-10-12,13
2012-10-13,0
2012-10-14,29
2012-10-15,61
2012-10-16,43
2012-10-17,44
2012-10-18,25
2012-10-19,53
2012-10-20,0
2012-10-21,15
2012-10-22,0
2012-10-23,25
2012-10-24,44
2012-10-25,13
2012-10-26,20
2012-10-27,0
2012-10-28,29
2012-10-29,24
2012-10-30,0
2012-10-31,25
2012-11-01,13
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,24
2012-11-06,12
2012-11-07,66
2012-11-08,25
2012-11-09,32
2012-11-10,15
2012-11-11,15
2012-11-12,12
2012-11-13,37
2012-11-14,43
2012-11-15,25
2012-11-16,13
2012-11-17,15
2012-11-18,29
2012-11-19,43
2012-11-20,12
2012-11-21,0
2012-11-22,0
2012-11-23,26
2012-11-24,0
2012-11-25,14
2012-11-26,41
2012-11-27,72
2012-11-28,12
2012-11-29,30
2012-11-30,76
2012-12-01,22
2012-12-02,28
2012-12-03,30
2012-12-04,18
2012-12-05,48
2012-12-06,24
2012-12-07,51
2012-12-08,44
2012-12-09,0
2012-12-10,12
2012-12-11,42
2012-12-12,36
2012-12-13,18
2012-12-14,19
2012-12-15,0
2012-12-16,14
2012-12-17,42
2012-12-18,31
2012-12-19,37
2012-12-20,95
2012-12-21,40
2012-12-22,30
2012-12-23,15
2012-12-24,23
2012-12-25,16
2012-12-26,34
2012-12-27,13
2012-12-28,47
2012-12-29,15
2012-12-30,0
2012-12-31,15
2013-01-01,16
2013-01-02,49
2013-01-03,30
2013-01-04,19
2013-01-05,14
2013-01-06,28
2013-01-07,100
2013-01-08,69
2013-01-09,41
2013-01-10,23
2013-01-11,54
2013-01-12,0
2013-01-13,14
2013-01-14,34
2013-01-15,40
2013-01-16,28
2013-01-17,29
2013-01-18,47
2013-01-19,0
2013-01-20,0
2013-01-21,28
2013-01-22,28
2013-01-23,23
2013-01-24,12
2013-01-25,36
2013-01-26,21
2013-01-27,0
2013-01-28,67
2013-01-29,51
2013-01-30,68
2013-01-31,46
2013-02-01,18
2013-02-02,14
2013-02-03,0
2013-02-04,11
2013-02-05,34
2013-02-06,17
2013-02-07,46
2013-02-08,24
2013-02-09,0
2013-02-10,0
2013-02-11,34
2013-02-12,18
2013-02-13,29
2013-02-14,23
2013-02-15,24
2013-02-16,0
2013-02-17,0
2013-02-18,11
2013-02-19,22
