date,INCY
2016-08-02,51
2016-08-03,40
2016-08-04,60
2016-08-05,51
2016-08-06,50
2016-08-07,73
2016-08-08,48
2016-08-09,69
2016-08-10,56
2016-08-11,74
2016-08-12,70
2016-08-13,51
2016-08-14,71
2016-08-15,54
2016-08-16,60
2016-08-17,48
2016-08-18,54
2016-08-19,60
2016-08-20,59
2016-08-21,65
2016-08-22,60
2016-08-23,48
2016-08-24,58
2016-08-25,39
2016-08-26,54
2016-08-27,59
2016-08-28,52
2016-08-29,52
2016-08-30,65
2016-08-31,62
2016-09-01,65
2016-09-02,64
2016-09-03,48
2016-09-04,67
2016-09-05,54
2016-09-06,59
2016-09-07,55
2016-09-08,57
2016-09-09,46
2016-09-10,74
2016-09-11,59
2016-09-12,73
2016-09-13,62
2016-09-14,71
2016-09-15,56
2016-09-16,38
2016-09-17,69
2016-09-18,81
2016-09-19,44
2016-09-20,77
2016-09-21,53
2016-09-22,62
2016-09-23,62
2016-09-24,49
2016-09-25,58
2016-09-26,51
2016-09-27,65
2016-09-28,77
2016-09-29,51
2016-09-30,58
2016-10-01,51
2016-10-02,67
2016-10-03,61
2016-10-04,45
2016-10-05,48
2016-10-06,64
2016-10-07,54
2016-10-08,55
2016-10-09,51
2016-10-10,62
2016-10-11,68
2016-10-12,47
2016-10-13,49
2016-10-14,45
2016-10-15,75
2016-10-16,45
2016-10-17,66
2016-10-18,55
2016-10-19,71
2016-10-20,44
2016-10-21,61
2016-10-22,52
2016-10-23,57
2016-10-24,69
2016-10-25,71
2016-10-26,62
2016-10-27,63
2016-10-28,71
2016-10-29,56
2016-10-30,85
2016-10-31,69
2016-11-01,65
2016-11-02,62
2016-11-03,55
2016-11-04,52
2016-11-05,59
2016-11-06,88
2016-11-07,52
2016-11-08,50
2016-11-09,63
2016-11-10,65
2016-11-11,36
2016-11-12,60
2016-11-13,36
2016-11-14,67
2016-11-15,57
2016-11-16,58
2016-11-17,72
2016-11-18,59
2016-11-19,59
2016-11-20,61
2016-11-21,45
2016-11-22,36
2016-11-23,46
2016-11-24,56
2016-11-25,61
2016-11-26,48
2016-11-27,71
2016-11-28,54
2016-11-29,47
2016-11-30,47
2016-12-01,49
2016-12-02,63
2016-12-03,57
2016-12-04,50
2016-12-05,51
2016-12-06,59
2016-12-07,40
2016-12-08,51
2016-12-09,48
2016-12-10,51
2016-12-11,56
2016-12-12,42
2016-12-13,33
2016-12-14,34
2016-12-15,47
2016-12-16,47
2016-12-17,53
2016-12-18,58
2016-12-19,50
2016-12-20,43
2016-12-21,62
2016-12-22,37
2016-12-23,50
2016-12-24,33
2016-12-25,54
2016-12-26,50
2016-12-27,41
2016-12-28,62
2016-12-29,43
2016-12-30,54
2016-12-31,51
2017-01-01,58
2017-01-02,51
2017-01-03,63
2017-01-04,42
2017-01-05,62
2017-01-06,53
2017-01-07,51
2017-01-08,64
2017-01-09,67
2017-01-10,55
2017-01-11,86
2017-01-12,52
2017-01-13,64
2017-01-14,69
2017-01-15,44
2017-01-16,61
2017-01-17,49
2017-01-18,51
2017-01-19,59
2017-01-20,67
2017-01-21,48
2017-01-22,62
2017-01-23,61
2017-01-24,51
2017-01-25,41
2017-01-26,62
2017-01-27,53
2017-01-28,53
2017-01-29,59
2017-01-30,71
2017-01-31,62
2017-02-01,52
2017-02-02,51
2017-02-03,55
2017-02-04,59
2017-02-05,66
2017-02-06,64
2017-02-07,55
2017-02-08,59
2017-02-09,71
2017-02-10,60
2017-02-11,81
2017-02-12,67
2017-02-13,61
2017-02-14,60
2017-02-15,61
2017-02-16,55
2017-02-17,55
2017-02-18,54
2017-02-19,45
2017-02-20,59
2017-02-21,57
2017-02-22,67
2017-02-23,61
2017-02-24,63
2017-02-25,57
2017-02-26,42
2017-02-27,53
2017-02-28,55
2017-03-01,57
2017-03-02,53
2017-03-03,63
2017-03-04,40
2017-03-05,68
2017-03-06,39
2017-03-07,59
2017-03-08,47
2017-03-09,56
2017-03-10,83
2017-03-11,68
2017-03-12,55
2017-03-13,71
2017-03-14,75
2017-03-15,55
2017-03-16,65
2017-03-17,81
2017-03-18,36
2017-03-19,73
2017-03-20,60
2017-03-21,54
2017-03-22,70
2017-03-23,63
2017-03-24,45
2017-03-25,56
2017-03-26,57
2017-03-27,48
2017-03-28,54
2017-03-29,46
2017-03-30,46
2017-03-31,52
2017-04-01,56
2017-04-02,45
2017-04-03,56
2017-04-04,64
2017-04-05,60
2017-04-06,62
2017-04-07,70
2017-04-08,74
2017-04-09,48
2017-04-10,71
2017-04-11,61
2017-04-12,57
2017-04-13,75
2017-04-14,64
2017-04-15,56
2017-04-16,55
2017-04-17,100
2017-04-18,66
