date,INTC
2014-12-01,41
2014-12-02,44
2014-12-03,52
2014-12-04,44
2014-12-05,49
2014-12-06,22
2014-12-07,12
2014-12-08,34
2014-12-09,45
2014-12-10,35
2014-12-11,33
2014-12-12,31
2014-12-13,11
2014-12-14,7
2014-12-15,29
2014-12-16,34
2014-12-17,32
2014-12-18,43
2014-12-19,42
2014-12-20,14
2014-12-21,6
2014-12-22,33
2014-12-23,41
2014-12-24,33
2014-12-25,15
2014-12-26,29
2014-12-27,16
2014-12-28,10
2014-12-29,35
2014-12-30,32
2014-12-31,36
2015-01-01,11
2015-01-02,27
2015-01-03,14
2015-01-04,8
2015-01-05,38
2015-01-06,35
2015-01-07,39
2015-01-08,43
2015-01-09,33
2015-01-10,15
2015-01-11,9
2015-01-12,31
2015-01-13,43
2015-01-14,39
2015-01-15,73
2015-01-16,67
2015-01-17,17
2015-01-18,15
2015-01-19,24
2015-01-20,32
2015-01-21,37
2015-01-22,35
2015-01-23,38
2015-01-24,11
2015-01-25,6
2015-01-26,36
2015-01-27,50
2015-01-28,47
2015-01-29,35
2015-01-30,37
2015-01-31,18
2015-02-01,10
2015-02-02,38
2015-02-03,45
2015-02-04,40
2015-02-05,40
2015-02-06,42
2015-02-07,12
2015-02-08,11
2015-02-09,35
2015-02-10,38
2015-02-11,42
2015-02-12,43
2015-02-13,42
2015-02-14,17
2015-02-15,8
2015-02-16,24
2015-02-17,38
2015-02-18,45
2015-02-19,35
2015-02-20,36
2015-02-21,11
2015-02-22,8
2015-02-23,39
2015-02-24,40
2015-02-25,41
2015-02-26,37
2015-02-27,36
2015-02-28,10
2015-03-01,11
2015-03-02,45
2015-03-03,33
2015-03-04,42
2015-03-05,29
2015-03-06,34
2015-03-07,11
2015-03-08,6
2015-03-09,40
2015-03-10,40
2015-03-11,49
2015-03-12,72
2015-03-13,38
2015-03-14,17
2015-03-15,17
2015-03-16,39
2015-03-17,34
2015-03-18,38
2015-03-19,32
2015-03-20,40
2015-03-21,19
2015-03-22,7
2015-03-23,38
2015-03-24,36
2015-03-25,28
2015-03-26,49
2015-03-27,72
2015-03-28,35
2015-03-29,13
2015-03-30,63
2015-03-31,51
2015-04-01,37
2015-04-02,36
2015-04-03,24
2015-04-04,10
2015-04-05,6
2015-04-06,35
2015-04-07,41
2015-04-08,37
2015-04-09,41
2015-04-10,44
2015-04-11,14
2015-04-12,12
2015-04-13,42
2015-04-14,89
2015-04-15,97
2015-04-16,60
2015-04-17,45
2015-04-18,18
2015-04-19,8
2015-04-20,45
2015-04-21,35
2015-04-22,40
2015-04-23,49
2015-04-24,41
2015-04-25,11
2015-04-26,13
2015-04-27,39
2015-04-28,54
2015-04-29,53
2015-04-30,38
2015-05-01,46
2015-05-02,16
2015-05-03,11
2015-05-04,42
2015-05-05,50
2015-05-06,36
2015-05-07,36
2015-05-08,32
2015-05-09,15
2015-05-10,9
2015-05-11,33
2015-05-12,34
2015-05-13,34
2015-05-14,34
2015-05-15,33
2015-05-16,11
2015-05-17,9
2015-05-18,45
2015-05-19,32
2015-05-20,31
2015-05-21,35
2015-05-22,30
2015-05-23,11
2015-05-24,12
2015-05-25,17
2015-05-26,23
2015-05-27,28
2015-05-28,41
2015-05-29,47
2015-05-30,18
2015-05-31,15
2015-06-01,80
2015-06-02,50
2015-06-03,44
2015-06-04,39
2015-06-05,44
2015-06-06,18
2015-06-07,11
2015-06-08,36
2015-06-09,37
2015-06-10,33
2015-06-11,40
2015-06-12,31
2015-06-13,8
2015-06-14,8
2015-06-15,37
2015-06-16,41
2015-06-17,38
2015-06-18,34
2015-06-19,36
2015-06-20,13
2015-06-21,9
2015-06-22,34
2015-06-23,34
2015-06-24,32
2015-06-25,23
2015-06-26,32
2015-06-27,13
2015-06-28,12
2015-06-29,37
2015-06-30,33
2015-07-01,28
2015-07-02,44
2015-07-03,20
2015-07-04,10
2015-07-05,10
2015-07-06,35
2015-07-07,40
2015-07-08,39
2015-07-09,49
2015-07-10,52
2015-07-11,19
2015-07-12,12
2015-07-13,33
2015-07-14,42
2015-07-15,100
2015-07-16,81
2015-07-17,48
2015-07-18,16
2015-07-19,14
2015-07-20,39
2015-07-21,41
2015-07-22,45
2015-07-23,37
2015-07-24,41
2015-07-25,18
2015-07-26,12
2015-07-27,33
2015-07-28,49
2015-07-29,41
2015-07-30,38
2015-07-31,35
2015-08-01,8
2015-08-02,11
2015-08-03,30
2015-08-04,30
2015-08-05,32
2015-08-06,32
2015-08-07,32
2015-08-08,8
2015-08-09,6
2015-08-10,37
2015-08-11,39
2015-08-12,37
2015-08-13,33
2015-08-14,29
2015-08-15,14
2015-08-16,6
2015-08-17,31
2015-08-18,25
