date,INTC,isPartial
2017-05-29,3,False
2017-05-30,8,False
2017-05-31,14,False
2017-06-01,12,False
2017-06-02,11,False
2017-06-03,6,False
2017-06-04,3,False
2017-06-05,11,False
2017-06-06,8,False
2017-06-07,8,False
2017-06-08,10,False
2017-06-09,17,False
2017-06-10,6,False
2017-06-11,5,False
2017-06-12,11,False
2017-06-13,5,False
2017-06-14,9,False
2017-06-15,6,False
2017-06-16,11,False
2017-06-17,4,False
2017-06-18,2,False
2017-06-19,11,False
2017-06-20,12,False
2017-06-21,18,False
2017-06-22,13,False
2017-06-23,12,False
2017-06-24,4,False
2017-06-25,3,False
2017-06-26,10,False
2017-06-27,10,False
2017-06-28,12,False
2017-06-29,9,False
2017-06-30,12,False
2017-07-01,4,False
2017-07-02,1,False
2017-07-03,10,False
2017-07-04,4,False
2017-07-05,14,False
2017-07-06,14,False
2017-07-07,11,False
2017-07-08,7,False
2017-07-09,3,False
2017-07-10,10,False
2017-07-11,13,False
2017-07-12,16,False
2017-07-13,14,False
2017-07-14,12,False
2017-07-15,5,False
2017-07-16,3,False
2017-07-17,13,False
2017-07-18,11,False
2017-07-19,14,False
2017-07-20,10,False
2017-07-21,11,False
2017-07-22,4,False
2017-07-23,3,False
2017-07-24,9,False
2017-07-25,10,False
2017-07-26,14,False
2017-07-27,35,False
2017-07-28,31,False
2017-07-29,8,False
2017-07-30,6,False
2017-07-31,15,False
2017-08-01,18,False
2017-08-02,20,False
2017-08-03,18,False
2017-08-04,11,False
2017-08-05,6,False
2017-08-06,5,False
2017-08-07,11,False
2017-08-08,11,False
2017-08-09,15,False
2017-08-10,13,False
2017-08-11,15,False
2017-08-12,2,False
2017-08-13,3,False
2017-08-14,12,False
2017-08-15,15,False
2017-08-16,10,False
2017-08-17,13,False
2017-08-18,8,False
2017-08-19,2,False
2017-08-20,2,False
2017-08-21,10,False
2017-08-22,13,False
2017-08-23,8,False
2017-08-24,10,False
2017-08-25,9,False
2017-08-26,6,False
2017-08-27,1,False
2017-08-28,9,False
2017-08-29,10,False
2017-08-30,10,False
2017-08-31,11,False
2017-09-01,11,False
2017-09-02,3,False
2017-09-03,2,False
2017-09-04,4,False
2017-09-05,9,False
2017-09-06,11,False
2017-09-07,12,False
2017-09-08,9,False
2017-09-09,1,False
2017-09-10,2,False
2017-09-11,9,False
2017-09-12,17,False
2017-09-13,9,False
2017-09-14,12,False
2017-09-15,15,False
2017-09-16,7,False
2017-09-17,3,False
2017-09-18,13,False
2017-09-19,13,False
2017-09-20,16,False
2017-09-21,11,False
2017-09-22,17,False
2017-09-23,5,False
2017-09-24,2,False
2017-09-25,11,False
2017-09-26,15,False
2017-09-27,16,False
2017-09-28,13,False
2017-09-29,14,False
2017-09-30,5,False
2017-10-01,1,False
2017-10-02,25,False
2017-10-03,31,False
2017-10-04,23,False
2017-10-05,22,False
2017-10-06,15,False
2017-10-07,9,False
2017-10-08,6,False
2017-10-09,18,False
2017-10-10,19,False
2017-10-11,16,False
2017-10-12,17,False
2017-10-13,11,False
2017-10-14,5,False
2017-10-15,4,False
2017-10-16,14,False
2017-10-17,13,False
2017-10-18,23,False
2017-10-19,26,False
2017-10-20,20,False
2017-10-21,8,False
2017-10-22,3,False
2017-10-23,22,False
2017-10-24,27,False
2017-10-25,17,False
2017-10-26,54,False
2017-10-27,70,False
2017-10-28,19,False
2017-10-29,7,False
2017-10-30,39,False
2017-10-31,44,False
2017-11-01,37,False
2017-11-02,50,False
2017-11-03,39,False
2017-11-04,12,False
2017-11-05,9,False
2017-11-06,29,False
