date,INTU,isPartial
2010-08-24,13,False
2010-08-25,40,False
2010-08-26,52,False
2010-08-27,41,False
2010-08-28,17,False
2010-08-29,17,False
2010-08-30,26,False
2010-08-31,13,False
2010-09-01,77,False
2010-09-02,52,False
2010-09-03,0,False
2010-09-04,0,False
2010-09-05,0,False
2010-09-06,40,False
2010-09-07,0,False
2010-09-08,13,False
2010-09-09,26,False
2010-09-10,54,False
2010-09-11,0,False
2010-09-12,0,False
2010-09-13,0,False
2010-09-14,12,False
2010-09-15,63,False
2010-09-16,51,False
2010-09-17,41,False
2010-09-18,16,False
2010-09-19,16,False
2010-09-20,100,False
2010-09-21,12,False
2010-09-22,25,False
2010-09-23,12,False
2010-09-24,52,False
2010-09-25,63,False
2010-09-26,15,False
2010-09-27,24,False
2010-09-28,36,False
2010-09-29,36,False
2010-09-30,0,False
2010-10-01,65,False
2010-10-02,31,False
2010-10-03,15,False
2010-10-04,12,False
2010-10-05,0,False
2010-10-06,12,False
2010-10-07,26,False
2010-10-08,13,False
2010-10-09,0,False
2010-10-10,16,False
2010-10-11,0,False
2010-10-12,25,False
2010-10-13,37,False
2010-10-14,49,False
2010-10-15,0,False
2010-10-16,46,False
2010-10-17,75,False
2010-10-18,35,False
2010-10-19,0,False
2010-10-20,48,False
2010-10-21,12,False
2010-10-22,0,False
2010-10-23,30,False
2010-10-24,15,False
2010-10-25,12,False
2010-10-26,58,False
2010-10-27,24,False
2010-10-28,0,False
2010-10-29,39,False
2010-10-30,15,False
2010-10-31,15,False
2010-11-01,0,False
2010-11-02,35,False
2010-11-03,0,False
2010-11-04,0,False
2010-11-05,25,False
2010-11-06,15,False
2010-11-07,29,False
2010-11-08,23,False
2010-11-09,12,False
2010-11-10,35,False
2010-11-11,12,False
2010-11-12,12,False
2010-11-13,0,False
2010-11-14,0,False
2010-11-15,24,False
2010-11-16,35,False
2010-11-17,24,False
2010-11-18,47,False
2010-11-19,37,False
2010-11-20,15,False
2010-11-21,0,False
2010-11-22,46,False
2010-11-23,11,False
2010-11-24,35,False
2010-11-25,25,False
2010-11-26,77,False
2010-11-27,0,False
2010-11-28,43,False
2010-11-29,11,False
2010-11-30,0,False
2010-12-01,35,False
2010-12-02,35,False
2010-12-03,12,False
2010-12-04,58,False
2010-12-05,57,False
2010-12-06,58,False
2010-12-07,0,False
2010-12-08,72,False
2010-12-09,12,False
2010-12-10,37,False
2010-12-11,0,False
2010-12-12,0,False
2010-12-13,11,False
2010-12-14,23,False
2010-12-15,48,False
2010-12-16,73,False
2010-12-17,38,False
2010-12-18,15,False
2010-12-19,15,False
2010-12-20,24,False
2010-12-21,24,False
2010-12-22,50,False
2010-12-23,40,False
2010-12-24,32,False
2010-12-25,0,False
2010-12-26,16,False
2010-12-27,13,False
2010-12-28,0,False
2010-12-29,13,False
2010-12-30,0,False
2010-12-31,0,False
2011-01-01,51,False
2011-01-02,30,False
2011-01-03,48,False
2011-01-04,34,False
2011-01-05,12,False
2011-01-06,48,False
2011-01-07,48,False
2011-01-08,28,False
2011-01-09,27,False
2011-01-10,22,False
2011-01-11,55,False
2011-01-12,11,False
2011-01-13,11,False
2011-01-14,11,False
2011-01-15,14,False
2011-01-16,27,False
2011-01-17,33,False
2011-01-18,0,False
2011-01-19,44,False
2011-01-20,11,False
2011-01-21,11,False
