date,INTU
2011-01-01,20
2011-01-02,35
2011-01-03,46
2011-01-04,47
2011-01-05,40
2011-01-06,41
2011-01-07,23
2011-01-08,22
2011-01-09,40
2011-01-10,35
2011-01-11,43
2011-01-12,38
2011-01-13,39
2011-01-14,60
2011-01-15,16
2011-01-16,47
2011-01-17,13
2011-01-18,33
2011-01-19,25
2011-01-20,30
2011-01-21,31
2011-01-22,16
2011-01-23,26
2011-01-24,25
2011-01-25,33
2011-01-26,34
2011-01-27,25
2011-01-28,22
2011-01-29,26
2011-01-30,15
2011-01-31,20
2011-02-01,32
2011-02-02,36
2011-02-03,29
2011-02-04,32
2011-02-05,15
2011-02-06,15
2011-02-07,44
2011-02-08,21
2011-02-09,29
2011-02-10,46
2011-02-11,35
2011-02-12,31
2011-02-13,0
2011-02-14,43
2011-02-15,28
2011-02-16,45
2011-02-17,88
2011-02-18,100
2011-02-19,46
2011-02-20,30
2011-02-21,37
2011-02-22,49
2011-02-23,41
2011-02-24,37
2011-02-25,34
2011-02-26,23
2011-02-27,30
2011-02-28,60
2011-03-01,30
2011-03-02,55
2011-03-03,19
2011-03-04,18
2011-03-05,36
2011-03-06,21
2011-03-07,21
2011-03-08,31
2011-03-09,29
2011-03-10,28
2011-03-11,29
2011-03-12,0
2011-03-13,30
2011-03-14,32
2011-03-15,20
2011-03-16,24
2011-03-17,21
2011-03-18,52
2011-03-19,15
2011-03-20,15
2011-03-21,37
2011-03-22,20
2011-03-23,16
2011-03-24,29
2011-03-25,26
2011-03-26,36
2011-03-27,22
2011-03-28,32
2011-03-29,40
2011-03-30,43
2011-03-31,43
2011-04-01,32
2011-04-02,32
2011-04-03,41
2011-04-04,30
2011-04-05,56
2011-04-06,41
2011-04-07,25
2011-04-08,39
2011-04-09,16
2011-04-10,23
2011-04-11,32
2011-04-12,32
2011-04-13,25
2011-04-14,29
2011-04-15,30
2011-04-16,70
2011-04-17,26
2011-04-18,41
2011-04-19,42
2011-04-20,25
2011-04-21,54
2011-04-22,37
2011-04-23,17
2011-04-24,43
2011-04-25,36
2011-04-26,24
2011-04-27,42
2011-04-28,43
2011-04-29,39
2011-04-30,21
2011-05-01,21
2011-05-02,37
2011-05-03,48
2011-05-04,37
2011-05-05,58
2011-05-06,17
2011-05-07,16
2011-05-08,31
2011-05-09,48
2011-05-10,30
2011-05-11,44
2011-05-12,28
2011-05-13,30
2011-05-14,46
2011-05-15,22
2011-05-16,35
2011-05-17,54
2011-05-18,36
2011-05-19,45
2011-05-20,38
2011-05-21,31
2011-05-22,23
2011-05-23,28
2011-05-24,16
2011-05-25,32
2011-05-26,24
2011-05-27,30
2011-05-28,26
2011-05-29,24
2011-05-30,26
2011-05-31,36
2011-06-01,20
2011-06-02,32
2011-06-03,35
2011-06-04,32
2011-06-05,26
2011-06-06,36
2011-06-07,24
2011-06-08,20
2011-06-09,36
2011-06-10,26
2011-06-11,16
2011-06-12,0
2011-06-13,41
2011-06-14,24
2011-06-15,48
2011-06-16,32
2011-06-17,32
2011-06-18,0
2011-06-19,31
2011-06-20,20
2011-06-21,28
2011-06-22,28
2011-06-23,29
2011-06-24,30
2011-06-25,16
2011-06-26,24
2011-06-27,24
2011-06-28,36
2011-06-29,28
2011-06-30,33
2011-07-01,30
2011-07-02,48
2011-07-03,24
2011-07-04,51
2011-07-05,29
2011-07-06,49
2011-07-07,25
2011-07-08,19
2011-07-09,48
2011-07-10,64
2011-07-11,24
2011-07-12,24
2011-07-13,18
2011-07-14,37
2011-07-15,53
2011-07-16,27
2011-07-17,31
2011-07-18,24
2011-07-19,30
2011-07-20,25
2011-07-21,21
2011-07-22,26
2011-07-23,36
2011-07-24,15
2011-07-25,30
2011-07-26,32
2011-07-27,20
2011-07-28,29
2011-07-29,43
2011-07-30,26
2011-07-31,37
2011-08-01,37
2011-08-02,20
2011-08-03,24
2011-08-04,16
2011-08-05,51
2011-08-06,30
2011-08-07,35
2011-08-08,35
2011-08-09,32
2011-08-10,20
2011-08-11,36
2011-08-12,51
2011-08-13,31
2011-08-14,23
2011-08-15,42
2011-08-16,28
2011-08-17,36
2011-08-18,48
2011-08-19,58
2011-08-20,40
2011-08-21,35
2011-08-22,27
2011-08-23,46
2011-08-24,19
2011-08-25,43
2011-08-26,24
2011-08-27,19
2011-08-28,29
2011-08-29,31
2011-08-30,54
2011-08-31,38
2011-09-01,27
2011-09-02,57
2011-09-03,29
2011-09-04,33
2011-09-05,38
2011-09-06,37
2011-09-07,45
2011-09-08,34
2011-09-09,35
2011-09-10,33
2011-09-11,18
2011-09-12,44
2011-09-13,40
2011-09-14,37
2011-09-15,37
2011-09-16,24
2011-09-17,42
2011-09-18,20
