date,value
2010-08-24,14
2010-08-25,41
2010-08-26,53
2010-08-27,42
2010-08-28,18
2010-08-29,18
2010-08-30,27
2010-08-31,14
2010-09-01,78
2010-09-02,53
2010-09-03,1
2010-09-04,1
2010-09-05,1
2010-09-06,41
2010-09-07,1
2010-09-08,14
2010-09-09,27
2010-09-10,55
2010-09-11,1
2010-09-12,1
2010-09-13,1
2010-09-14,13
2010-09-15,64
2010-09-16,52
2010-09-17,42
2010-09-18,17
2010-09-19,17
2010-09-20,101
2010-09-21,13
2010-09-22,26
2010-09-23,13
2010-09-24,53
2010-09-25,64
2010-09-26,16
2010-09-27,25
2010-09-28,37
2010-09-29,37
2010-09-30,1
2010-10-01,66
2010-10-02,32
2010-10-03,16
2010-10-04,13
2010-10-05,1
2010-10-06,13
2010-10-07,27
2010-10-08,14
2010-10-09,1
2010-10-10,17
2010-10-11,1
2010-10-12,26
2010-10-13,38
2010-10-14,50
2010-10-15,1
2010-10-16,47
2010-10-17,76
2010-10-18,36
2010-10-19,1
2010-10-20,49
2010-10-21,13
2010-10-22,1
2010-10-23,31
2010-10-24,16
2010-10-25,13
2010-10-26,59
2010-10-27,25
2010-10-28,1
2010-10-29,40
2010-10-30,16
2010-10-31,16
2010-11-01,1
2010-11-02,36
2010-11-03,1
2010-11-04,1
2010-11-05,26
2010-11-06,16
2010-11-07,30
2010-11-08,24
2010-11-09,13
2010-11-10,36
2010-11-11,13
2010-11-12,13
2010-11-13,1
2010-11-14,1
2010-11-15,25
2010-11-16,36
2010-11-17,25
2010-11-18,48
2010-11-19,38
2010-11-20,16
2010-11-21,1
2010-11-22,47
2010-11-23,12
2010-11-24,36
2010-11-25,26
2010-11-26,78
2010-11-27,1
2010-11-28,44
2010-11-29,12
2010-11-30,1
2010-12-01,36
2010-12-02,36
2010-12-03,13
2010-12-04,59
2010-12-05,58
2010-12-06,59
2010-12-07,1
2010-12-08,73
2010-12-09,13
2010-12-10,38
2010-12-11,1
2010-12-12,1
2010-12-13,12
2010-12-14,24
2010-12-15,49
2010-12-16,74
2010-12-17,39
2010-12-18,16
2010-12-19,16
2010-12-20,25
2010-12-21,25
2010-12-22,51
2010-12-23,41
2010-12-24,33
2010-12-25,1
2010-12-26,17
2010-12-27,14
2010-12-28,1
2010-12-29,14
2010-12-30,1
2010-12-31,1
2011-01-01,52
2011-01-02,31
2011-01-03,49
2011-01-04,35
2011-01-05,13
2011-01-06,49
2011-01-07,49
2011-01-08,29
2011-01-09,28
2011-01-10,23
2011-01-11,56
2011-01-12,12
2011-01-13,12
2011-01-14,12
2011-01-15,15
2011-01-16,28
2011-01-17,34
2011-01-18,1
2011-01-19,45
2011-01-20,12
2011-01-21,12
2011-01-22,14
2011-01-23,28
2011-01-24,23
2011-01-25,66
2011-01-26,34
2011-01-27,1
2011-01-28,24
2011-01-29,14
2011-01-30,14
2011-01-31,32
2011-02-01,11
2011-02-02,1
2011-02-03,44
2011-02-04,46
2011-02-05,14
2011-02-06,14
2011-02-07,1
2011-02-08,33
2011-02-09,33
2011-02-10,55
2011-02-11,35
2011-02-12,1
2011-02-13,1
2011-02-14,22
2011-02-15,22
2011-02-16,44
2011-02-17,33
2011-02-18,69
2011-02-19,40
2011-02-20,1
2011-02-21,22
2011-02-22,22
2011-02-23,86
2011-02-24,12
2011-02-25,35
2011-02-26,40
2011-02-27,1
2011-02-28,1
2011-03-01,22
2011-03-02,33
2011-03-03,45
2011-03-04,12
2011-03-05,55
2011-03-06,14
2011-03-07,12
2011-03-08,23
2011-03-09,22
2011-03-10,22
2011-03-11,33
2011-03-12,14
2011-03-13,14
2011-03-14,1
2011-03-15,33
2011-03-16,11
2011-03-17,22
2011-03-18,12
2011-03-19,41
2011-03-20,1
2011-03-21,33
2011-03-22,11
2011-03-23,33
2011-03-24,33
2011-03-25,1
2011-03-26,14
2011-03-27,1
2011-03-28,1
2011-03-29,11
2011-03-30,11
2011-03-31,12
2011-04-01,23
2011-04-02,15
2011-04-03,14
2011-04-04,32
2011-04-05,22
2011-04-06,12
2011-04-07,12
2011-04-08,23
2011-04-09,28
2011-04-10,14
2011-04-11,22
2011-04-12,43
2011-04-13,12
2011-04-14,22
2011-04-15,24
2011-04-16,1
2011-04-17,28
2011-04-18,12
2011-04-19,33
2011-04-20,12
2011-04-21,24
2011-04-22,27
2011-04-23,44
2011-04-24,16
2011-04-25,36
2011-04-26,33
2011-04-27,43
2011-04-28,1
2011-04-29,23
2011-04-30,15
2011-05-01,1
2011-05-02,12
2011-05-03,43
2011-05-04,22
2011-05-05,23
2011-05-06,57
2011-05-07,15
2011-05-08,28
2011-05-09,74
2011-05-10,22
2011-05-11,11
