date,ISRG
2013-02-19,19
2013-02-20,21
2013-02-21,9
2013-02-22,11
2013-02-23,6
2013-02-24,4
2013-02-25,19
2013-02-26,16
2013-02-27,10
2013-02-28,37
2013-03-01,33
2013-03-02,8
2013-03-03,4
2013-03-04,14
2013-03-05,40
2013-03-06,24
2013-03-07,21
2013-03-08,20
2013-03-09,8
2013-03-10,8
2013-03-11,8
2013-03-12,14
2013-03-13,10
2013-03-14,17
2013-03-15,52
2013-03-16,10
2013-03-17,8
2013-03-18,25
2013-03-19,20
2013-03-20,16
2013-03-21,29
2013-03-22,18
2013-03-23,6
2013-03-24,8
2013-03-25,21
2013-03-26,22
2013-03-27,28
2013-03-28,17
2013-03-29,4
2013-03-30,6
2013-03-31,13
2013-04-01,12
2013-04-02,12
2013-04-03,17
2013-04-04,12
2013-04-05,16
2013-04-06,4
2013-04-07,8
2013-04-08,10
2013-04-09,19
2013-04-10,14
2013-04-11,10
2013-04-12,16
2013-04-13,12
2013-04-14,4
2013-04-15,27
2013-04-16,15
2013-04-17,10
2013-04-18,33
2013-04-19,23
2013-04-20,12
2013-04-21,4
2013-04-22,19
2013-04-23,14
2013-04-24,12
2013-04-25,18
2013-04-26,22
2013-04-27,6
2013-04-28,4
2013-04-29,15
2013-04-30,19
2013-05-01,13
2013-05-02,9
2013-05-03,11
2013-05-04,4
2013-05-05,0
2013-05-06,9
2013-05-07,14
2013-05-08,7
2013-05-09,16
2013-05-10,13
2013-05-11,6
2013-05-12,0
2013-05-13,9
2013-05-14,19
2013-05-15,24
2013-05-16,21
2013-05-17,12
2013-05-18,8
2013-05-19,0
2013-05-20,9
2013-05-21,23
2013-05-22,17
2013-05-23,32
2013-05-24,23
2013-05-25,4
2013-05-26,4
2013-05-27,5
2013-05-28,20
2013-05-29,12
2013-05-30,21
2013-05-31,12
2013-06-01,4
2013-06-02,8
2013-06-03,7
2013-06-04,19
2013-06-05,9
2013-06-06,5
2013-06-07,13
2013-06-08,4
2013-06-09,12
2013-06-10,10
2013-06-11,20
2013-06-12,3
2013-06-13,9
2013-06-14,7
2013-06-15,12
2013-06-16,6
2013-06-17,10
2013-06-18,7
2013-06-19,5
2013-06-20,9
2013-06-21,9
2013-06-22,4
2013-06-23,8
2013-06-24,7
2013-06-25,8
2013-06-26,15
2013-06-27,12
2013-06-28,4
2013-06-29,4
2013-06-30,0
2013-07-01,7
2013-07-02,7
2013-07-03,14
2013-07-04,0
2013-07-05,8
2013-07-06,4
2013-07-07,4
2013-07-08,23
2013-07-09,71
2013-07-10,50
2013-07-11,32
2013-07-12,26
2013-07-13,11
2013-07-14,8
2013-07-15,17
2013-07-16,10
2013-07-17,23
2013-07-18,71
2013-07-19,100
2013-07-20,24
2013-07-21,17
2013-07-22,36
2013-07-23,27
2013-07-24,26
2013-07-25,16
2013-07-26,29
2013-07-27,6
2013-07-28,13
2013-07-29,17
2013-07-30,26
2013-07-31,31
2013-08-01,11
2013-08-02,9
2013-08-03,6
2013-08-04,4
2013-08-05,12
2013-08-06,12
2013-08-07,11
2013-08-08,11
2013-08-09,11
2013-08-10,4
2013-08-11,6
2013-08-12,16
2013-08-13,9
2013-08-14,16
2013-08-15,16
2013-08-16,17
2013-08-17,13
2013-08-18,4
2013-08-19,12
2013-08-20,10
2013-08-21,22
2013-08-22,19
2013-08-23,11
2013-08-24,0
2013-08-25,4
2013-08-26,20
2013-08-27,8
2013-08-28,10
2013-08-29,10
2013-08-30,17
2013-08-31,4
2013-09-01,4
2013-09-02,3
2013-09-03,10
2013-09-04,15
2013-09-05,22
2013-09-06,21
2013-09-07,4
2013-09-08,4
2013-09-09,7
2013-09-10,8
2013-09-11,21
2013-09-12,17
2013-09-13,12
2013-09-14,0
2013-09-15,6
2013-09-16,14
2013-09-17,15
2013-09-18,16
2013-09-19,18
2013-09-20,9
2013-09-21,12
2013-09-22,4
2013-09-23,5
2013-09-24,13
2013-09-25,18
2013-09-26,15
2013-09-27,10
2013-09-28,6
2013-09-29,4
2013-09-30,11
2013-10-01,18
2013-10-02,13
2013-10-03,15
2013-10-04,20
2013-10-05,0
2013-10-06,8
2013-10-07,13
2013-10-08,29
2013-10-09,24
2013-10-10,15
2013-10-11,9
2013-10-12,8
2013-10-13,6
2013-10-14,21
2013-10-15,21
2013-10-16,29
2013-10-17,55
2013-10-18,53
2013-10-19,10
2013-10-20,8
2013-10-21,16
2013-10-22,11
2013-10-23,21
2013-10-24,16
2013-10-25,17
2013-10-26,6
2013-10-27,6
2013-10-28,19
2013-10-29,11
2013-10-30,8
2013-10-31,15
2013-11-01,7
2013-11-02,4
2013-11-03,4
2013-11-04,16
2013-11-05,5
2013-11-06,16
