date,JD,isPartial
2013-06-29,44,False
2013-06-30,45,False
2013-07-01,45,False
2013-07-02,43,False
2013-07-03,45,False
2013-07-04,43,False
2013-07-05,40,False
2013-07-06,42,False
2013-07-07,40,False
2013-07-08,41,False
2013-07-09,39,False
2013-07-10,41,False
2013-07-11,40,False
2013-07-12,41,False
2013-07-13,42,False
2013-07-14,42,False
2013-07-15,42,False
2013-07-16,42,False
2013-07-17,43,False
2013-07-18,40,False
2013-07-19,40,False
2013-07-20,44,False
2013-07-21,48,False
2013-07-22,42,False
2013-07-23,42,False
2013-07-24,43,False
2013-07-25,46,False
2013-07-26,43,False
2013-07-27,44,False
2013-07-28,48,False
2013-07-29,46,False
2013-07-30,43,False
2013-07-31,45,False
2013-08-01,43,False
2013-08-02,43,False
2013-08-03,44,False
2013-08-04,47,False
2013-08-05,49,False
2013-08-06,45,False
2013-08-07,45,False
2013-08-08,44,False
2013-08-09,46,False
2013-08-10,42,False
2013-08-11,43,False
2013-08-12,42,False
2013-08-13,44,False
2013-08-14,43,False
2013-08-15,43,False
2013-08-16,43,False
2013-08-17,41,False
2013-08-18,44,False
2013-08-19,43,False
2013-08-20,42,False
2013-08-21,43,False
2013-08-22,42,False
2013-08-23,45,False
2013-08-24,47,False
2013-08-25,46,False
2013-08-26,44,False
2013-08-27,47,False
2013-08-28,46,False
2013-08-29,45,False
2013-08-30,49,False
2013-08-31,46,False
2013-09-01,51,False
2013-09-02,48,False
2013-09-03,47,False
2013-09-04,45,False
2013-09-05,46,False
2013-09-06,45,False
2013-09-07,46,False
2013-09-08,46,False
2013-09-09,44,False
2013-09-10,41,False
2013-09-11,44,False
2013-09-12,44,False
2013-09-13,43,False
2013-09-14,43,False
2013-09-15,45,False
2013-09-16,43,False
2013-09-17,42,False
2013-09-18,40,False
2013-09-19,40,False
2013-09-20,37,False
2013-09-21,41,False
2013-09-22,42,False
2013-09-23,41,False
2013-09-24,39,False
2013-09-25,41,False
2013-09-26,40,False
2013-09-27,40,False
2013-09-28,41,False
2013-09-29,43,False
2013-09-30,43,False
2013-10-01,42,False
2013-10-02,43,False
2013-10-03,45,False
2013-10-04,41,False
2013-10-05,41,False
2013-10-06,42,False
2013-10-07,45,False
2013-10-08,41,False
2013-10-09,44,False
2013-10-10,42,False
2013-10-11,43,False
2013-10-12,45,False
2013-10-13,48,False
2013-10-14,44,False
2013-10-15,41,False
2013-10-16,40,False
2013-10-17,41,False
2013-10-18,40,False
2013-10-19,42,False
2013-10-20,43,False
2013-10-21,42,False
2013-10-22,41,False
2013-10-23,41,False
2013-10-24,43,False
2013-10-25,43,False
2013-10-26,40,False
2013-10-27,43,False
2013-10-28,41,False
2013-10-29,45,False
2013-10-30,42,False
2013-10-31,40,False
2013-11-01,43,False
2013-11-02,45,False
2013-11-03,44,False
2013-11-04,42,False
2013-11-05,41,False
2013-11-06,43,False
2013-11-07,43,False
2013-11-08,43,False
2013-11-09,46,False
2013-11-10,53,False
2013-11-11,50,False
2013-11-12,47,False
2013-11-13,46,False
2013-11-14,46,False
2013-11-15,44,False
2013-11-16,50,False
2013-11-17,54,False
2013-11-18,50,False
2013-11-19,48,False
2013-11-20,47,False
2013-11-21,48,False
2013-11-22,45,False
2013-11-23,52,False
2013-11-24,51,False
2013-11-25,49,False
2013-11-26,47,False
2013-11-27,48,False
2013-11-28,50,False
2013-11-29,60,False
2013-11-30,56,False
2013-12-01,57,False
2013-12-02,53,False
2013-12-03,50,False
2013-12-04,49,False
2013-12-05,49,False
2013-12-06,48,False
2013-12-07,53,False
2013-12-08,55,False
2013-12-09,54,False
2013-12-10,51,False
2013-12-11,50,False
2013-12-12,51,False
2013-12-13,50,False
2013-12-14,52,False
2013-12-15,53,False
2013-12-16,52,False
2013-12-17,52,False
2013-12-18,51,False
2013-12-19,52,False
2013-12-20,48,False
2013-12-21,53,False
2013-12-22,53,False
2013-12-23,49,False
2013-12-24,48,False
2013-12-25,88,False
2013-12-26,100,False
2013-12-27,72,False
2013-12-28,60,False
2013-12-29,51,False
2013-12-30,50,False
2013-12-31,41,False
2014-01-01,45,False
2014-01-02,46,False
2014-01-03,46,False
2014-01-04,42,False
2014-01-05,42,False
2014-01-06,43,False
2014-01-07,40,False
2014-01-08,42,False
2014-01-09,43,False
2014-01-10,40,False
2014-01-11,42,False
2014-01-12,42,False
2014-01-13,39,False
2014-01-14,40,False
2014-01-15,41,False
2014-01-16,43,False
2014-01-17,40,False
2014-01-18,41,False
2014-01-19,43,False
2014-01-20,41,False
2014-01-21,42,False
2014-01-22,62,False
2014-01-23,43,False
2014-01-24,42,False
2014-01-25,44,False
2014-01-26,45,False
2014-01-27,42,False
2014-01-28,43,False
2014-01-29,42,False
2014-01-30,39,False
2014-01-31,41,False
2014-02-01,41,False
2014-02-02,41,False
2014-02-03,40,False
2014-02-04,42,False
2014-02-05,44,False
2014-02-06,47,False
2014-02-07,45,False
2014-02-08,42,False
2014-02-09,43,False
2014-02-10,44,False
2014-02-11,42,False
2014-02-12,45,False
2014-02-13,41,False
2014-02-14,40,False
2014-02-15,44,False
2014-02-16,43,False
2014-02-17,44,False
2014-02-18,41,False
2014-02-19,42,False
2014-02-20,41,False
2014-02-21,41,False
2014-02-22,39,False
2014-02-23,43,False
2014-02-24,44,False
2014-02-25,44,False
2014-02-26,43,False
2014-02-27,42,False
2014-02-28,43,False
2014-03-01,42,False
2014-03-02,44,False
2014-03-03,39,False
2014-03-04,39,False
2014-03-05,41,False
2014-03-06,42,False
2014-03-07,40,False
2014-03-08,43,False
2014-03-09,42,False
2014-03-10,44,False
2014-03-11,40,False
2014-03-12,41,False
2014-03-13,41,False
2014-03-14,41,False
2014-03-15,44,False
2014-03-16,43,False
