date,JD
2013-11-06,41
2013-11-07,42
2013-11-08,42
2013-11-09,45
2013-11-10,53
2013-11-11,49
2013-11-12,47
2013-11-13,47
2013-11-14,45
2013-11-15,44
2013-11-16,50
2013-11-17,53
2013-11-18,47
2013-11-19,47
2013-11-20,45
2013-11-21,45
2013-11-22,47
2013-11-23,50
2013-11-24,52
2013-11-25,51
2013-11-26,47
2013-11-27,48
2013-11-28,51
2013-11-29,59
2013-11-30,54
2013-12-01,56
2013-12-02,53
2013-12-03,48
2013-12-04,49
2013-12-05,49
2013-12-06,47
2013-12-07,52
2013-12-08,52
2013-12-09,51
2013-12-10,51
2013-12-11,50
2013-12-12,50
2013-12-13,49
2013-12-14,51
2013-12-15,55
2013-12-16,54
2013-12-17,52
2013-12-18,49
2013-12-19,50
2013-12-20,47
2013-12-21,52
2013-12-22,52
2013-12-23,48
2013-12-24,48
2013-12-25,85
2013-12-26,100
2013-12-27,69
2013-12-28,58
2013-12-29,54
2013-12-30,51
2013-12-31,42
2014-01-01,44
2014-01-02,46
2014-01-03,45
2014-01-04,43
2014-01-05,42
2014-01-06,44
2014-01-07,40
2014-01-08,40
2014-01-09,40
2014-01-10,39
2014-01-11,42
2014-01-12,42
2014-01-13,39
2014-01-14,39
2014-01-15,41
2014-01-16,40
2014-01-17,38
2014-01-18,40
2014-01-19,42
2014-01-20,41
2014-01-21,39
2014-01-22,60
2014-01-23,45
2014-01-24,44
2014-01-25,46
2014-01-26,45
2014-01-27,42
2014-01-28,41
2014-01-29,40
2014-01-30,40
2014-01-31,41
2014-02-01,43
2014-02-02,43
2014-02-03,39
2014-02-04,41
2014-02-05,43
2014-02-06,44
2014-02-07,44
2014-02-08,41
2014-02-09,43
2014-02-10,43
2014-02-11,42
2014-02-12,44
2014-02-13,45
2014-02-14,40
2014-02-15,41
2014-02-16,43
2014-02-17,43
2014-02-18,42
2014-02-19,40
2014-02-20,41
2014-02-21,40
2014-02-22,41
2014-02-23,42
2014-02-24,43
2014-02-25,42
2014-02-26,42
2014-02-27,40
2014-02-28,42
2014-03-01,42
2014-03-02,44
2014-03-03,41
2014-03-04,38
2014-03-05,40
2014-03-06,43
2014-03-07,40
2014-03-08,42
2014-03-09,40
2014-03-10,43
2014-03-11,40
2014-03-12,40
2014-03-13,41
2014-03-14,41
2014-03-15,42
2014-03-16,41
2014-03-17,44
2014-03-18,42
2014-03-19,41
2014-03-20,42
2014-03-21,42
2014-03-22,44
2014-03-23,43
2014-03-24,42
2014-03-25,42
2014-03-26,45
2014-03-27,42
2014-03-28,41
2014-03-29,43
2014-03-30,43
2014-03-31,45
2014-04-01,44
2014-04-02,44
2014-04-03,43
2014-04-04,45
2014-04-05,42
2014-04-06,47
2014-04-07,45
2014-04-08,43
2014-04-09,44
2014-04-10,44
2014-04-11,43
2014-04-12,44
2014-04-13,43
2014-04-14,45
2014-04-15,45
2014-04-16,44
2014-04-17,48
2014-04-18,45
2014-04-19,45
2014-04-20,46
2014-04-21,46
2014-04-22,44
2014-04-23,45
2014-04-24,45
2014-04-25,45
2014-04-26,46
2014-04-27,46
2014-04-28,46
2014-04-29,42
2014-04-30,47
2014-05-01,53
2014-05-02,43
2014-05-03,46
2014-05-04,47
2014-05-05,46
2014-05-06,46
2014-05-07,43
2014-05-08,46
2014-05-09,42
2014-05-10,46
2014-05-11,45
2014-05-12,42
2014-05-13,43
2014-05-14,42
2014-05-15,43
2014-05-16,42
2014-05-17,44
2014-05-18,46
2014-05-19,43
2014-05-20,45
2014-05-21,43
2014-05-22,49
2014-05-23,47
2014-05-24,49
2014-05-25,44
2014-05-26,42
2014-05-27,44
2014-05-28,44
2014-05-29,44
2014-05-30,45
2014-05-31,43
2014-06-01,45
2014-06-02,45
2014-06-03,42
2014-06-04,44
2014-06-05,42
2014-06-06,41
2014-06-07,47
2014-06-08,47
2014-06-09,44
2014-06-10,43
2014-06-11,42
2014-06-12,42
2014-06-13,42
2014-06-14,43
2014-06-15,44
2014-06-16,43
2014-06-17,44
2014-06-18,53
2014-06-19,51
2014-06-20,49
2014-06-21,48
2014-06-22,52
2014-06-23,45
2014-06-24,47
2014-06-25,48
2014-06-26,46
2014-06-27,45
2014-06-28,51
2014-06-29,52
2014-06-30,49
2014-07-01,45
2014-07-02,47
2014-07-03,45
2014-07-04,44
2014-07-05,47
2014-07-06,50
2014-07-07,46
2014-07-08,45
2014-07-09,43
2014-07-10,47
2014-07-11,45
2014-07-12,46
2014-07-13,48
2014-07-14,47
2014-07-15,46
2014-07-16,49
2014-07-17,43
2014-07-18,45
2014-07-19,50
2014-07-20,46
2014-07-21,47
2014-07-22,46
2014-07-23,48
2014-07-24,47
