date,KHC
2012-10-12,33
2012-10-13,42
2012-10-14,41
2012-10-15,23
2012-10-16,17
2012-10-17,21
2012-10-18,24
2012-10-19,14
2012-10-20,46
2012-10-21,53
2012-10-22,51
2012-10-23,20
2012-10-24,38
2012-10-25,31
2012-10-26,36
2012-10-27,63
2012-10-28,16
2012-10-29,30
2012-10-30,30
2012-10-31,28
2012-11-01,36
2012-11-02,33
2012-11-03,37
2012-11-04,40
2012-11-05,60
2012-11-06,26
2012-11-07,26
2012-11-08,37
2012-11-09,32
2012-11-10,40
2012-11-11,28
2012-11-12,34
2012-11-13,20
2012-11-14,24
2012-11-15,45
2012-11-16,32
2012-11-17,48
2012-11-18,47
2012-11-19,37
2012-11-20,49
2012-11-21,24
2012-11-22,28
2012-11-23,14
2012-11-24,36
2012-11-25,27
2012-11-26,36
2012-11-27,23
2012-11-28,42
2012-11-29,30
2012-11-30,24
2012-12-01,36
2012-12-02,27
2012-12-03,39
2012-12-04,33
2012-12-05,23
2012-12-06,40
2012-12-07,21
2012-12-08,40
2012-12-09,15
2012-12-10,19
2012-12-11,26
2012-12-12,26
2012-12-13,34
2012-12-14,14
2012-12-15,27
2012-12-16,12
2012-12-17,16
2012-12-18,30
2012-12-19,17
2012-12-20,35
2012-12-21,29
2012-12-22,45
2012-12-23,42
2012-12-24,25
2012-12-25,40
2012-12-26,30
2012-12-27,21
2012-12-28,22
2012-12-29,16
2012-12-30,24
2012-12-31,20
2013-01-01,17
2013-01-02,20
2013-01-03,40
2013-01-04,41
2013-01-05,23
2013-01-06,19
2013-01-07,26
2013-01-08,31
2013-01-09,19
2013-01-10,42
2013-01-11,26
2013-01-12,11
2013-01-13,29
2013-01-14,25
2013-01-15,18
2013-01-16,25
2013-01-17,25
2013-01-18,26
2013-01-19,15
2013-01-20,26
2013-01-21,18
2013-01-22,34
2013-01-23,47
2013-01-24,31
2013-01-25,39
2013-01-26,37
2013-01-27,25
2013-01-28,40
2013-01-29,31
2013-01-30,19
2013-01-31,37
2013-02-01,23
2013-02-02,30
2013-02-03,22
2013-02-04,43
2013-02-05,34
2013-02-06,41
2013-02-07,35
2013-02-08,39
2013-02-09,33
2013-02-10,19
2013-02-11,19
2013-02-12,22
2013-02-13,25
2013-02-14,22
2013-02-15,40
2013-02-16,29
2013-02-17,25
2013-02-18,34
2013-02-19,18
2013-02-20,31
2013-02-21,28
2013-02-22,38
2013-02-23,36
2013-02-24,25
2013-02-25,24
2013-02-26,27
2013-02-27,31
2013-02-28,43
2013-03-01,19
2013-03-02,18
2013-03-03,11
2013-03-04,31
2013-03-05,30
2013-03-06,37
2013-03-07,28
2013-03-08,28
2013-03-09,47
2013-03-10,35
2013-03-11,36
2013-03-12,54
2013-03-13,27
2013-03-14,18
2013-03-15,25
2013-03-16,43
2013-03-17,21
2013-03-18,66
2013-03-19,30
2013-03-20,33
2013-03-21,34
2013-03-22,22
2013-03-23,64
2013-03-24,32
2013-03-25,36
2013-03-26,24
2013-03-27,19
2013-03-28,16
2013-03-29,41
2013-03-30,23
2013-03-31,53
2013-04-01,35
2013-04-02,51
2013-04-03,15
2013-04-04,21
2013-04-05,12
2013-04-06,32
2013-04-07,21
2013-04-08,30
2013-04-09,48
2013-04-10,39
2013-04-11,21
2013-04-12,32
2013-04-13,36
2013-04-14,22
2013-04-15,42
2013-04-16,21
2013-04-17,36
2013-04-18,18
2013-04-19,48
2013-04-20,36
2013-04-21,29
2013-04-22,27
2013-04-23,21
2013-04-24,30
2013-04-25,35
2013-04-26,16
2013-04-27,18
2013-04-28,29
2013-04-29,18
2013-04-30,36
2013-05-01,40
2013-05-02,25
2013-05-03,45
2013-05-04,44
2013-05-05,44
2013-05-06,31
2013-05-07,30
2013-05-08,18
2013-05-09,13
2013-05-10,48
2013-05-11,22
2013-05-12,47
2013-05-13,30
2013-05-14,36
2013-05-15,21
2013-05-16,18
2013-05-17,25
2013-05-18,69
2013-05-19,100
2013-05-20,45
2013-05-21,18
2013-05-22,21
2013-05-23,24
2013-05-24,38
2013-05-25,37
2013-05-26,26
2013-05-27,28
2013-05-28,35
2013-05-29,29
2013-05-30,15
2013-05-31,19
2013-06-01,36
2013-06-02,32
2013-06-03,23
2013-06-04,21
2013-06-05,33
2013-06-06,42
2013-06-07,19
2013-06-08,33
2013-06-09,29
2013-06-10,29
2013-06-11,26
2013-06-12,33
2013-06-13,33
2013-06-14,19
2013-06-15,26
2013-06-16,26
2013-06-17,36
2013-06-18,30
2013-06-19,39
2013-06-20,40
2013-06-21,32
2013-06-22,26
2013-06-23,29
2013-06-24,27
2013-06-25,27
2013-06-26,27
2013-06-27,46
2013-06-28,16
2013-06-29,33
