date,value
2016-08-21,0.0
2016-08-22,56.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,58.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,27.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,55.0
2016-09-09,28.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,32.0
2016-09-18,61.0
2016-09-19,0.0
2016-09-20,27.0
2016-09-21,0.0
2016-09-22,27.0
2016-09-23,28.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,27.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,53.0
2016-10-04,26.0
2016-10-05,27.0
2016-10-06,0.0
2016-10-07,27.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,27.0
2016-10-12,27.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,26.0
2016-10-19,52.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,54.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,52.0
2016-11-16,52.0
2016-11-17,26.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,26.0
2016-11-24,27.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,26.0
2016-12-01,0.0
2016-12-02,26.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,27.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,31.0
2016-12-12,0.0
2016-12-13,26.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,31.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,29.0
2016-12-27,0.0
2016-12-28,27.0
2016-12-29,0.0
2016-12-30,29.0
2016-12-31,32.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,26.0
2017-01-05,26.0
2017-01-06,27.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,50.0
2017-01-10,0.0
2017-01-11,25.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,25.0
2017-01-17,25.0
2017-01-18,25.0
2017-01-19,0.0
2017-01-20,77.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,50.0
2017-01-25,25.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,50.0
2017-02-03,26.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,26.0
2017-02-11,87.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,50.0
2017-02-15,51.0
2017-02-16,100.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,25.0
2017-02-24,0.0
2017-02-25,58.0
2017-02-26,29.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,74.0
2017-03-02,25.0
2017-03-03,51.0
2017-03-04,28.0
2017-03-05,28.0
2017-03-06,0.0
2017-03-07,73.0
2017-03-08,49.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,28.0
2017-03-12,28.0
2017-03-13,25.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,25.0
2017-03-17,26.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,25.0
2017-03-22,24.0
2017-03-23,50.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,50.0
2017-03-30,25.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,26.0
2017-04-12,26.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,25.0
2017-04-19,0.0
2017-04-20,25.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,25.0
2017-04-25,25.0
2017-04-26,25.0
2017-04-27,0.0
2017-04-28,26.0
2017-04-29,0.0
2017-04-30,30.0
2017-05-01,27.0
2017-05-02,25.0
2017-05-03,25.0
2017-05-04,50.0
2017-05-05,26.0
2017-05-06,0.0
2017-05-06,5.081930912311781
2017-05-07,25.612931798051374
2017-05-08,106.029406554473
