date,MAR
2012-01-26,78
2012-01-27,80
2012-01-28,76
2012-01-29,79
2012-01-30,83
2012-01-31,84
2012-02-01,79
2012-02-02,83
2012-02-03,80
2012-02-04,77
2012-02-05,74
2012-02-06,76
2012-02-07,80
2012-02-08,78
2012-02-09,76
2012-02-10,77
2012-02-11,73
2012-02-12,68
2012-02-13,77
2012-02-14,76
2012-02-15,74
2012-02-16,78
2012-02-17,79
2012-02-18,75
2012-02-19,71
2012-02-20,74
2012-02-21,74
2012-02-22,81
2012-02-23,100
2012-02-24,96
2012-02-25,93
2012-02-26,85
2012-02-27,85
2012-02-28,86
2012-02-29,76
2012-03-01,80
2012-03-02,81
2012-03-03,82
2012-03-04,80
2012-03-05,84
2012-03-06,83
2012-03-07,82
2012-03-08,80
2012-03-09,81
2012-03-10,78
2012-03-11,77
2012-03-12,81
2012-03-13,82
2012-03-14,79
2012-03-15,82
2012-03-16,80
2012-03-17,78
2012-03-18,77
2012-03-19,80
2012-03-20,83
2012-03-21,81
2012-03-22,83
2012-03-23,81
2012-03-24,79
2012-03-25,81
2012-03-26,83
2012-03-27,82
2012-03-28,81
2012-03-29,78
2012-03-30,77
2012-03-31,76
2012-04-01,73
2012-04-02,70
2012-04-03,73
2012-04-04,72
2012-04-05,71
2012-04-06,70
2012-04-07,69
2012-04-08,68
2012-04-09,72
2012-04-10,69
2012-04-11,69
2012-04-12,71
2012-04-13,72
2012-04-14,68
2012-04-15,68
2012-04-16,70
2012-04-17,69
2012-04-18,70
2012-04-19,70
2012-04-20,71
2012-04-21,68
2012-04-22,68
2012-04-23,71
2012-04-24,69
2012-04-25,69
2012-04-26,71
2012-04-27,71
2012-04-28,71
2012-04-29,67
2012-04-30,67
2012-05-01,67
2012-05-02,68
2012-05-03,68
2012-05-04,69
2012-05-05,68
2012-05-06,67
2012-05-07,73
2012-05-08,71
2012-05-09,70
2012-05-10,70
2012-05-11,69
2012-05-12,67
2012-05-13,67
2012-05-14,70
2012-05-15,73
2012-05-16,72
2012-05-17,74
2012-05-18,72
2012-05-19,69
2012-05-20,71
2012-05-21,76
2012-05-22,80
2012-05-23,84
2012-05-24,75
2012-05-25,74
2012-05-26,71
2012-05-27,75
2012-05-28,79
2012-05-29,75
2012-05-30,74
2012-05-31,71
2012-06-01,74
2012-06-02,72
2012-06-03,74
2012-06-04,75
2012-06-05,75
2012-06-06,74
2012-06-07,74
2012-06-08,73
2012-06-09,71
2012-06-10,72
2012-06-11,73
2012-06-12,75
2012-06-13,74
2012-06-14,73
2012-06-15,74
2012-06-16,73
2012-06-17,73
2012-06-18,74
2012-06-19,77
2012-06-20,75
2012-06-21,77
2012-06-22,74
2012-06-23,72
2012-06-24,75
2012-06-25,79
2012-06-26,79
2012-06-27,81
2012-06-28,77
2012-06-29,77
2012-06-30,76
2012-07-01,76
2012-07-02,77
2012-07-03,80
2012-07-04,81
2012-07-05,80
2012-07-06,79
2012-07-07,78
2012-07-08,83
2012-07-09,78
2012-07-10,81
2012-07-11,80
2012-07-12,80
2012-07-13,80
2012-07-14,78
2012-07-15,82
2012-07-16,83
2012-07-17,83
2012-07-18,87
2012-07-19,84
2012-07-20,80
2012-07-21,75
2012-07-22,81
2012-07-23,83
2012-07-24,82
2012-07-25,79
2012-07-26,83
2012-07-27,80
2012-07-28,77
2012-07-29,77
2012-07-30,80
2012-07-31,79
2012-08-01,79
2012-08-02,83
2012-08-03,85
2012-08-04,79
2012-08-05,80
2012-08-06,81
2012-08-07,80
2012-08-08,75
2012-08-09,81
2012-08-10,80
2012-08-11,77
2012-08-12,76
2012-08-13,78
2012-08-14,81
2012-08-15,79
2012-08-16,82
2012-08-17,83
2012-08-18,82
2012-08-19,81
2012-08-20,78
2012-08-21,78
2012-08-22,79
2012-08-23,81
2012-08-24,82
2012-08-25,77
2012-08-26,76
2012-08-27,77
2012-08-28,76
2012-08-29,73
2012-08-30,73
2012-08-31,75
2012-09-01,71
2012-09-02,72
2012-09-03,77
2012-09-04,73
2012-09-05,74
2012-09-06,73
2012-09-07,70
2012-09-08,68
2012-09-09,67
2012-09-10,69
2012-09-11,69
2012-09-12,66
2012-09-13,69
2012-09-14,66
2012-09-15,64
2012-09-16,63
2012-09-17,66
2012-09-18,67
2012-09-19,67
2012-09-20,69
2012-09-21,68
2012-09-22,67
2012-09-23,67
2012-09-24,66
2012-09-25,72
2012-09-26,70
2012-09-27,70
2012-09-28,70
2012-09-29,65
2012-09-30,65
2012-10-01,68
2012-10-02,69
2012-10-03,66
2012-10-04,67
2012-10-05,66
2012-10-06,69
2012-10-07,61
2012-10-08,64
2012-10-09,65
2012-10-10,66
2012-10-11,66
2012-10-12,64
