date,MAT
2017-01-19,84
2017-01-20,81
2017-01-21,85
2017-01-22,88
2017-01-23,84
2017-01-24,82
2017-01-25,82
2017-01-26,76
2017-01-27,76
2017-01-28,76
2017-01-29,78
2017-01-30,78
2017-01-31,80
2017-02-01,83
2017-02-02,82
2017-02-03,88
2017-02-04,92
2017-02-05,88
2017-02-06,86
2017-02-07,85
2017-02-08,84
2017-02-09,87
2017-02-10,85
2017-02-11,94
2017-02-12,92
2017-02-13,88
2017-02-14,80
2017-02-15,84
2017-02-16,87
2017-02-17,85
2017-02-18,92
2017-02-19,97
2017-02-20,87
2017-02-21,88
2017-02-22,89
2017-02-23,90
2017-02-24,90
2017-02-25,91
2017-02-26,93
2017-02-27,92
2017-02-28,89
2017-03-01,87
2017-03-02,86
2017-03-03,86
2017-03-04,90
2017-03-05,93
2017-03-06,85
2017-03-07,84
2017-03-08,85
2017-03-09,88
2017-03-10,86
2017-03-11,94
2017-03-12,100
2017-03-13,90
2017-03-14,86
2017-03-15,87
2017-03-16,85
2017-03-17,84
2017-03-18,89
2017-03-19,94
2017-03-20,87
2017-03-21,87
2017-03-22,84
2017-03-23,87
2017-03-24,86
2017-03-25,90
2017-03-26,92
2017-03-27,87
2017-03-28,85
2017-03-29,86
2017-03-30,86
2017-03-31,88
2017-04-01,89
