date,value
2017-09-17,94.0
2017-09-18,88.0
2017-09-19,90.0
2017-09-20,90.0
2017-09-21,91.0
2017-09-22,93.0
2017-09-23,100.0
2017-09-24,99.0
2017-09-25,86.0
2017-09-26,85.0
2017-09-27,86.0
2017-09-28,85.0
2017-09-29,84.0
2017-09-30,86.0
2017-10-01,92.0
2017-10-02,84.0
2017-10-03,84.0
2017-10-04,80.0
2017-10-05,83.0
2017-10-06,82.0
2017-10-07,88.0
2017-10-08,92.0
2017-10-09,82.0
2017-10-10,84.0
2017-10-11,84.0
2017-10-12,88.0
2017-10-13,84.0
2017-10-14,92.0
2017-10-15,93.0
2017-10-16,86.0
2017-10-17,83.0
2017-10-18,83.0
2017-10-19,83.0
2017-10-20,85.0
2017-10-21,85.0
2017-10-22,85.0
2017-10-23,86.0
2017-10-24,85.0
2017-10-25,84.0
2017-10-26,86.0
2017-10-27,86.0
2017-10-28,88.0
2017-10-29,88.0
2017-10-30,83.0
2017-10-31,80.0
2017-11-01,81.0
2017-11-02,87.0
2017-11-03,84.0
2017-11-04,89.0
2017-11-05,86.0
2017-11-06,84.0
2017-11-07,82.0
2017-11-08,85.0
2017-11-09,85.0
2017-11-10,88.0
2017-11-11,90.0
2017-11-12,91.0
2017-11-13,87.0
2017-11-14,86.0
2017-11-15,84.0
2017-11-16,86.0
2017-11-17,89.0
2017-11-18,87.0
2017-11-19,88.0
2017-11-20,83.0
2017-11-21,82.0
2017-11-22,81.0
2017-11-23,83.0
2017-11-24,86.0
2017-11-25,88.0
2017-11-26,89.0
2017-11-27,88.0
2017-11-28,87.0
2017-11-29,96.0
2017-11-30,92.0
2017-12-01,89.0
2017-12-02,90.0
2017-12-03,89.0
2017-12-04,85.0
2017-12-05,84.0
2017-12-06,85.0
2017-12-07,85.0
2017-12-08,88.0
2017-12-09,92.0
2017-12-10,89.0
2017-12-11,83.0
2017-12-12,83.0
2017-12-13,82.0
2017-12-14,85.0
2017-12-15,85.0
2017-12-16,88.0
