date,MCHP
2013-11-06,26
2013-11-07,35
2013-11-08,74
2013-11-09,32
2013-11-10,41
2013-11-11,52
2013-11-12,34
2013-11-13,26
2013-11-14,62
2013-11-15,56
2013-11-16,63
2013-11-17,31
2013-11-18,52
2013-11-19,60
2013-11-20,61
2013-11-21,70
2013-11-22,45
2013-11-23,20
2013-11-24,20
2013-11-25,94
2013-11-26,52
2013-11-27,35
2013-11-28,55
2013-11-29,46
2013-11-30,41
2013-12-01,0
2013-12-02,42
2013-12-03,42
2013-12-04,52
2013-12-05,60
2013-12-06,82
2013-12-07,42
2013-12-08,81
2013-12-09,34
2013-12-10,43
2013-12-11,17
2013-12-12,36
2013-12-13,37
2013-12-14,21
2013-12-15,21
2013-12-16,35
2013-12-17,0
2013-12-18,71
2013-12-19,18
2013-12-20,19
2013-12-21,43
2013-12-22,75
2013-12-23,19
2013-12-24,21
2013-12-25,23
2013-12-26,30
2013-12-27,49
2013-12-28,64
2013-12-29,42
2013-12-30,19
2013-12-31,84
2014-01-01,45
2014-01-02,72
2014-01-03,27
2014-01-04,20
2014-01-05,30
2014-01-06,44
2014-01-07,68
2014-01-08,26
2014-01-09,25
2014-01-10,35
2014-01-11,20
2014-01-12,20
2014-01-13,25
2014-01-14,42
2014-01-15,33
2014-01-16,68
2014-01-17,26
2014-01-18,0
2014-01-19,29
2014-01-20,33
2014-01-21,41
2014-01-22,17
2014-01-23,50
2014-01-24,17
2014-01-25,30
2014-01-26,19
2014-01-27,49
2014-01-28,25
2014-01-29,33
2014-01-30,25
2014-01-31,26
2014-02-01,0
2014-02-02,19
2014-02-03,41
2014-02-04,33
2014-02-05,50
2014-02-06,0
2014-02-07,38
2014-02-08,19
2014-02-09,0
2014-02-10,41
2014-02-11,25
2014-02-12,57
2014-02-13,50
2014-02-14,26
2014-02-15,39
2014-02-16,29
2014-02-17,25
2014-02-18,41
2014-02-19,57
2014-02-20,42
2014-02-21,34
2014-02-22,19
2014-02-23,19
2014-02-24,32
2014-02-25,49
2014-02-26,25
2014-02-27,58
2014-02-28,52
2014-03-01,19
2014-03-02,0
2014-03-03,33
2014-03-04,50
2014-03-05,17
2014-03-06,100
2014-03-07,35
2014-03-08,0
2014-03-09,19
2014-03-10,25
2014-03-11,58
2014-03-12,33
2014-03-13,34
2014-03-14,0
2014-03-15,0
2014-03-16,19
2014-03-17,41
2014-03-18,57
2014-03-19,33
2014-03-20,17
2014-03-21,26
2014-03-22,19
2014-03-23,0
2014-03-24,24
2014-03-25,0
2014-03-26,24
2014-03-27,33
2014-03-28,26
2014-03-29,20
2014-03-30,0
2014-03-31,16
2014-04-01,16
2014-04-02,25
2014-04-03,0
2014-04-04,43
2014-04-05,19
2014-04-06,19
2014-04-07,65
2014-04-08,48
2014-04-09,33
2014-04-10,17
2014-04-11,44
2014-04-12,30
2014-04-13,39
2014-04-14,42
2014-04-15,25
2014-04-16,0
2014-04-17,0
2014-04-18,19
2014-04-19,21
2014-04-20,21
2014-04-21,54
2014-04-22,24
2014-04-23,25
2014-04-24,25
2014-04-25,44
2014-04-26,20
2014-04-27,0
2014-04-28,16
2014-04-29,0
2014-04-30,33
2014-05-01,54
2014-05-02,0
2014-05-03,40
2014-05-04,0
2014-05-05,17
2014-05-06,42
2014-05-07,33
2014-05-08,33
2014-05-09,17
2014-05-10,0
2014-05-11,19
2014-05-12,32
2014-05-13,24
2014-05-14,25
2014-05-15,17
2014-05-16,26
2014-05-17,0
2014-05-18,30
2014-05-19,41
2014-05-20,33
2014-05-21,53
2014-05-22,55
2014-05-23,57
2014-05-24,22
2014-05-25,22
2014-05-26,55
2014-05-27,45
2014-05-28,71
2014-05-29,19
2014-05-30,29
2014-05-31,0
2014-06-01,22
2014-06-02,37
2014-06-03,36
2014-06-04,18
2014-06-05,28
2014-06-06,19
2014-06-07,22
2014-06-08,23
2014-06-09,19
2014-06-10,18
2014-06-11,18
2014-06-12,37
2014-06-13,29
2014-06-14,0
2014-06-15,22
2014-06-16,45
2014-06-17,37
2014-06-18,19
2014-06-19,47
2014-06-20,59
2014-06-21,23
2014-06-22,23
2014-06-23,18
2014-06-24,28
2014-06-25,28
2014-06-26,37
2014-06-27,49
2014-06-28,0
2014-06-29,22
2014-06-30,74
2014-07-01,46
2014-07-02,38
2014-07-03,57
2014-07-04,20
2014-07-05,0
2014-07-06,0
2014-07-07,28
2014-07-08,0
2014-07-09,28
2014-07-10,28
2014-07-11,39
2014-07-12,22
2014-07-13,22
2014-07-14,37
2014-07-15,46
2014-07-16,38
2014-07-17,56
2014-07-18,19
2014-07-19,23
2014-07-20,0
2014-07-21,28
2014-07-22,46
2014-07-23,38
2014-07-24,37
