date,MDLZ
2012-10-12,31
2012-10-13,25
2012-10-14,0
2012-10-15,65
2012-10-16,93
2012-10-17,74
2012-10-18,54
2012-10-19,43
2012-10-20,25
2012-10-21,15
2012-10-22,33
2012-10-23,32
2012-10-24,45
2012-10-25,34
2012-10-26,26
2012-10-27,15
2012-10-28,14
2012-10-29,36
2012-10-30,30
2012-10-31,38
2012-11-01,61
2012-11-02,40
2012-11-03,25
2012-11-04,14
2012-11-05,44
2012-11-06,48
2012-11-07,48
2012-11-08,82
2012-11-09,56
2012-11-10,15
2012-11-11,24
2012-11-12,32
2012-11-13,49
2012-11-14,45
2012-11-15,38
2012-11-16,38
2012-11-17,29
2012-11-18,14
2012-11-19,32
2012-11-20,32
2012-11-21,41
2012-11-22,25
2012-11-23,22
2012-11-24,14
2012-11-25,14
2012-11-26,23
2012-11-27,51
2012-11-28,43
2012-11-29,36
2012-11-30,33
2012-12-01,29
2012-12-02,21
2012-12-03,39
2012-12-04,20
2012-12-05,24
2012-12-06,32
2012-12-07,33
2012-12-08,22
2012-12-09,0
2012-12-10,27
2012-12-11,43
2012-12-12,28
2012-12-13,49
2012-12-14,31
2012-12-15,43
2012-12-16,28
2012-12-17,36
2012-12-18,28
2012-12-19,37
2012-12-20,46
2012-12-21,44
2012-12-22,0
2012-12-23,0
2012-12-24,15
2012-12-25,0
2012-12-26,23
2012-12-27,45
2012-12-28,13
2012-12-29,0
2012-12-30,22
2012-12-31,37
2013-01-01,47
2013-01-02,53
2013-01-03,44
2013-01-04,18
2013-01-05,37
2013-01-06,0
2013-01-07,39
2013-01-08,23
2013-01-09,27
2013-01-10,58
2013-01-11,44
2013-01-12,13
2013-01-13,20
2013-01-14,30
2013-01-15,41
2013-01-16,30
2013-01-17,34
2013-01-18,20
2013-01-19,20
2013-01-20,13
2013-01-21,34
2013-01-22,26
2013-01-23,37
2013-01-24,38
2013-01-25,35
2013-01-26,18
2013-01-27,33
2013-01-28,41
2013-01-29,15
2013-01-30,19
2013-01-31,30
2013-02-01,32
2013-02-02,22
2013-02-03,26
2013-02-04,30
2013-02-05,37
2013-02-06,26
2013-02-07,34
2013-02-08,39
2013-02-09,34
2013-02-10,14
2013-02-11,23
2013-02-12,23
2013-02-13,41
2013-02-14,100
2013-02-15,71
2013-02-16,20
2013-02-17,0
2013-02-18,22
2013-02-19,33
2013-02-20,26
2013-02-21,45
2013-02-22,35
2013-02-23,35
2013-02-24,13
2013-02-25,51
2013-02-26,40
2013-02-27,37
2013-02-28,48
2013-03-01,39
2013-03-02,0
2013-03-03,13
2013-03-04,40
2013-03-05,61
2013-03-06,48
2013-03-07,30
2013-03-08,29
2013-03-09,13
2013-03-10,26
2013-03-11,25
2013-03-12,25
2013-03-13,36
2013-03-14,51
2013-03-15,23
2013-03-16,13
2013-03-17,13
2013-03-18,43
2013-03-19,40
2013-03-20,29
2013-03-21,22
2013-03-22,57
2013-03-23,39
2013-03-24,19
2013-03-25,27
2013-03-26,40
2013-03-27,56
2013-03-28,35
2013-03-29,25
2013-03-30,14
2013-03-31,14
2013-04-01,27
2013-04-02,25
2013-04-03,29
2013-04-04,44
2013-04-05,26
2013-04-06,13
2013-04-07,13
2013-04-08,50
2013-04-09,40
2013-04-10,33
2013-04-11,29
2013-04-12,38
2013-04-13,26
2013-04-14,13
2013-04-15,29
2013-04-16,54
2013-04-17,22
2013-04-18,22
2013-04-19,57
2013-04-20,26
2013-04-21,19
2013-04-22,43
2013-04-23,51
2013-04-24,44
2013-04-25,38
2013-04-26,31
2013-04-27,13
2013-04-28,21
2013-04-29,33
2013-04-30,28
2013-05-01,42
2013-05-02,28
2013-05-03,54
2013-05-04,13
2013-05-05,0
2013-05-06,33
2013-05-07,40
2013-05-08,37
2013-05-09,57
2013-05-10,35
2013-05-11,0
2013-05-12,0
2013-05-13,25
2013-05-14,33
2013-05-15,22
2013-05-16,26
2013-05-17,30
2013-05-18,18
2013-05-19,13
2013-05-20,40
2013-05-21,42
2013-05-22,27
2013-05-23,49
2013-05-24,34
2013-05-25,13
2013-05-26,13
2013-05-27,34
2013-05-28,35
2013-05-29,39
2013-05-30,33
2013-05-31,38
2013-06-01,0
2013-06-02,13
2013-06-03,28
2013-06-04,18
2013-06-05,25
2013-06-06,22
2013-06-07,46
2013-06-08,13
2013-06-09,26
2013-06-10,35
2013-06-11,16
2013-06-12,36
2013-06-13,25
2013-06-14,23
2013-06-15,26
2013-06-16,13
2013-06-17,32
2013-06-18,16
2013-06-19,25
2013-06-20,15
2013-06-21,11
2013-06-22,18
2013-06-23,13
2013-06-24,40
2013-06-25,47
2013-06-26,55
2013-06-27,62
2013-06-28,34
2013-06-29,13
