date,MSFT
2016-08-02,21
2016-08-03,20
2016-08-04,24
2016-08-05,22
2016-08-06,7
2016-08-07,7
2016-08-08,21
2016-08-09,19
2016-08-10,19
2016-08-11,21
2016-08-12,18
2016-08-13,8
2016-08-14,6
2016-08-15,21
2016-08-16,23
2016-08-17,19
2016-08-18,19
2016-08-19,17
2016-08-20,6
2016-08-21,5
2016-08-22,16
2016-08-23,19
2016-08-24,22
2016-08-25,16
2016-08-26,16
2016-08-27,9
2016-08-28,5
2016-08-29,16
2016-08-30,18
2016-08-31,19
2016-09-01,19
2016-09-02,18
2016-09-03,8
2016-09-04,5
2016-09-05,5
2016-09-06,20
2016-09-07,18
2016-09-08,18
2016-09-09,17
2016-09-10,6
2016-09-11,5
2016-09-12,20
2016-09-13,18
2016-09-14,19
2016-09-15,17
2016-09-16,17
2016-09-17,5
2016-09-18,5
2016-09-19,14
2016-09-20,22
2016-09-21,31
2016-09-22,22
2016-09-23,19
2016-09-24,6
2016-09-25,5
2016-09-26,18
2016-09-27,18
2016-09-28,20
2016-09-29,22
2016-09-30,16
2016-10-01,6
2016-10-02,5
2016-10-03,15
2016-10-04,19
2016-10-05,20
2016-10-06,18
2016-10-07,15
2016-10-08,7
2016-10-09,4
2016-10-10,16
2016-10-11,17
2016-10-12,16
2016-10-13,16
2016-10-14,15
2016-10-15,7
2016-10-16,7
2016-10-17,15
2016-10-18,18
2016-10-19,20
2016-10-20,61
2016-10-21,100
2016-10-22,22
2016-10-23,10
2016-10-24,37
2016-10-25,29
2016-10-26,38
2016-10-27,35
2016-10-28,31
2016-10-29,12
2016-10-30,7
2016-10-31,20
2016-11-01,23
2016-11-02,26
2016-11-03,21
2016-11-04,20
2016-11-05,6
2016-11-06,6
2016-11-07,23
2016-11-08,25
2016-11-09,52
2016-11-10,28
2016-11-11,25
2016-11-12,10
2016-11-13,6
2016-11-14,21
2016-11-15,24
2016-11-16,25
2016-11-17,23
2016-11-18,24
2016-11-19,8
2016-11-20,6
2016-11-21,19
2016-11-22,22
2016-11-23,18
2016-11-24,9
2016-11-25,11
2016-11-26,7
2016-11-27,6
2016-11-28,17
2016-11-29,19
2016-11-30,19
2016-12-01,20
2016-12-02,23
2016-12-03,7
2016-12-04,5
2016-12-05,20
2016-12-06,21
2016-12-07,20
2016-12-08,25
2016-12-09,22
2016-12-10,9
2016-12-11,6
2016-12-12,18
2016-12-13,26
2016-12-14,23
2016-12-15,23
2016-12-16,19
2016-12-17,7
2016-12-18,5
2016-12-19,18
2016-12-20,22
2016-12-21,22
2016-12-22,19
2016-12-23,19
2016-12-24,8
2016-12-25,6
2016-12-26,8
2016-12-27,18
2016-12-28,17
2016-12-29,15
2016-12-30,19
2016-12-31,7
2017-01-01,4
2017-01-02,9
2017-01-03,18
2017-01-04,20
2017-01-05,20
2017-01-06,20
2017-01-07,8
2017-01-08,7
2017-01-09,16
2017-01-10,20
2017-01-11,19
2017-01-12,19
2017-01-13,17
2017-01-14,8
2017-01-15,6
2017-01-16,10
2017-01-17,17
2017-01-18,18
2017-01-19,20
2017-01-20,19
2017-01-21,9
2017-01-22,5
2017-01-23,18
2017-01-24,23
2017-01-25,32
2017-01-26,64
2017-01-27,75
2017-01-28,17
2017-01-29,9
2017-01-30,26
2017-01-31,29
2017-02-01,26
2017-02-02,26
2017-02-03,27
2017-02-04,9
2017-02-05,6
2017-02-06,19
2017-02-07,21
2017-02-08,18
2017-02-09,23
2017-02-10,23
2017-02-11,9
2017-02-12,7
2017-02-13,21
2017-02-14,25
2017-02-15,24
2017-02-16,22
2017-02-17,20
2017-02-18,9
2017-02-19,6
2017-02-20,11
2017-02-21,21
2017-02-22,20
2017-02-23,17
2017-02-24,17
2017-02-25,8
2017-02-26,7
2017-02-27,18
2017-02-28,19
2017-03-01,29
2017-03-02,25
2017-03-03,20
2017-03-04,8
2017-03-05,7
2017-03-06,19
2017-03-07,21
2017-03-08,21
2017-03-09,21
2017-03-10,21
2017-03-11,9
2017-03-12,6
2017-03-13,19
2017-03-14,18
2017-03-15,19
2017-03-16,20
2017-03-17,17
2017-03-18,8
2017-03-19,6
2017-03-20,17
2017-03-21,21
2017-03-22,20
2017-03-23,21
2017-03-24,21
2017-03-25,7
2017-03-26,5
2017-03-27,17
2017-03-28,18
2017-03-29,19
2017-03-30,21
2017-03-31,19
2017-04-01,9
2017-04-02,7
2017-04-03,18
2017-04-04,23
2017-04-05,20
2017-04-06,24
2017-04-07,21
2017-04-08,8
2017-04-09,6
2017-04-10,17
2017-04-11,17
2017-04-12,17
2017-04-13,17
2017-04-14,16
2017-04-15,5
2017-04-16,4
2017-04-17,18
2017-04-18,19
