date,MU
2010-08-24,50
2010-08-25,51
2010-08-26,50
2010-08-27,53
2010-08-28,68
2010-08-29,65
2010-08-30,51
2010-08-31,51
2010-09-01,50
2010-09-02,50
2010-09-03,52
2010-09-04,66
2010-09-05,64
2010-09-06,53
2010-09-07,50
2010-09-08,48
2010-09-09,47
2010-09-10,52
2010-09-11,63
2010-09-12,61
2010-09-13,48
2010-09-14,48
2010-09-15,50
2010-09-16,49
2010-09-17,51
2010-09-18,65
2010-09-19,71
2010-09-20,49
2010-09-21,47
2010-09-22,49
2010-09-23,48
2010-09-24,52
2010-09-25,67
2010-09-26,66
2010-09-27,51
2010-09-28,49
2010-09-29,51
2010-09-30,51
2010-10-01,54
2010-10-02,71
2010-10-03,62
2010-10-04,50
2010-10-05,48
2010-10-06,50
2010-10-07,51
2010-10-08,50
2010-10-09,66
2010-10-10,64
2010-10-11,51
2010-10-12,51
2010-10-13,48
2010-10-14,50
2010-10-15,53
2010-10-16,66
2010-10-17,64
2010-10-18,48
2010-10-19,47
2010-10-20,48
2010-10-21,48
2010-10-22,49
2010-10-23,64
2010-10-24,65
2010-10-25,53
2010-10-26,49
2010-10-27,49
2010-10-28,51
2010-10-29,51
2010-10-30,68
2010-10-31,66
2010-11-01,56
2010-11-02,52
2010-11-03,50
2010-11-04,48
2010-11-05,52
2010-11-06,67
2010-11-07,64
2010-11-08,47
2010-11-09,47
2010-11-10,51
2010-11-11,52
2010-11-12,53
2010-11-13,69
2010-11-14,64
2010-11-15,51
2010-11-16,48
2010-11-17,48
2010-11-18,47
2010-11-19,52
2010-11-20,67
2010-11-21,61
2010-11-22,47
2010-11-23,49
2010-11-24,49
2010-11-25,50
2010-11-26,54
2010-11-27,68
2010-11-28,64
2010-11-29,48
2010-11-30,50
2010-12-01,50
2010-12-02,50
2010-12-03,51
2010-12-04,65
2010-12-05,62
2010-12-06,50
2010-12-07,50
2010-12-08,52
2010-12-09,51
2010-12-10,50
2010-12-11,63
2010-12-12,63
2010-12-13,56
2010-12-14,53
2010-12-15,52
2010-12-16,49
2010-12-17,53
2010-12-18,65
2010-12-19,64
2010-12-20,54
2010-12-21,53
2010-12-22,53
2010-12-23,56
2010-12-24,57
2010-12-25,66
2010-12-26,66
2010-12-27,57
2010-12-28,55
2010-12-29,59
2010-12-30,54
2010-12-31,58
2011-01-01,62
2011-01-02,60
2011-01-03,54
2011-01-04,53
2011-01-05,50
2011-01-06,53
2011-01-07,53
2011-01-08,63
2011-01-09,62
2011-01-10,51
2011-01-11,50
2011-01-12,49
2011-01-13,49
2011-01-14,51
2011-01-15,60
2011-01-16,65
2011-01-17,50
2011-01-18,51
2011-01-19,51
2011-01-20,50
2011-01-21,53
2011-01-22,63
2011-01-23,63
2011-01-24,49
2011-01-25,51
2011-01-26,52
2011-01-27,52
2011-01-28,53
2011-01-29,65
2011-01-30,61
2011-01-31,51
2011-02-01,52
2011-02-02,51
2011-02-03,50
2011-02-04,54
2011-02-05,62
2011-02-06,58
2011-02-07,51
2011-02-08,51
2011-02-09,47
2011-02-10,51
2011-02-11,53
2011-02-12,69
2011-02-13,64
2011-02-14,51
2011-02-15,50
2011-02-16,52
2011-02-17,52
2011-02-18,54
2011-02-19,67
2011-02-20,64
2011-02-21,52
2011-02-22,52
2011-02-23,55
2011-02-24,54
2011-02-25,54
2011-02-26,68
2011-02-27,64
2011-02-28,52
2011-03-01,59
2011-03-02,56
2011-03-03,54
2011-03-04,56
2011-03-05,70
2011-03-06,77
2011-03-07,56
2011-03-08,54
2011-03-09,53
2011-03-10,53
2011-03-11,52
2011-03-12,73
2011-03-13,68
2011-03-14,53
2011-03-15,53
2011-03-16,52
2011-03-17,50
2011-03-18,53
2011-03-19,67
2011-03-20,65
2011-03-21,51
2011-03-22,49
2011-03-23,49
2011-03-24,51
2011-03-25,51
2011-03-26,66
2011-03-27,65
2011-03-28,51
2011-03-29,50
2011-03-30,49
2011-03-31,49
2011-04-01,51
2011-04-02,67
2011-04-03,67
2011-04-04,50
2011-04-05,50
2011-04-06,58
2011-04-07,55
2011-04-08,53
2011-04-09,70
2011-04-10,68
2011-04-11,51
2011-04-12,58
2011-04-13,55
2011-04-14,52
2011-04-15,52
2011-04-16,67
2011-04-17,70
2011-04-18,54
2011-04-19,56
2011-04-20,54
2011-04-21,60
2011-04-22,62
2011-04-23,71
2011-04-24,70
2011-04-25,60
2011-04-26,57
2011-04-27,54
2011-04-28,52
2011-04-29,56
2011-04-30,69
2011-05-01,77
2011-05-02,52
2011-05-03,51
2011-05-04,57
2011-05-05,56
2011-05-06,59
2011-05-07,76
2011-05-08,100
2011-05-09,58
2011-05-10,51
2011-05-11,50
