date,MXIM
2010-08-24,23
2010-08-25,23
2010-08-26,47
2010-08-27,49
2010-08-28,30
2010-08-29,58
2010-08-30,22
2010-08-31,22
2010-09-01,23
2010-09-02,34
2010-09-03,36
2010-09-04,0
2010-09-05,59
2010-09-06,24
2010-09-07,23
2010-09-08,0
2010-09-09,23
2010-09-10,24
2010-09-11,43
2010-09-12,42
2010-09-13,22
2010-09-14,22
2010-09-15,22
2010-09-16,22
2010-09-17,0
2010-09-18,0
2010-09-19,0
2010-09-20,0
2010-09-21,44
2010-09-22,44
2010-09-23,44
2010-09-24,35
2010-09-25,28
2010-09-26,27
2010-09-27,43
2010-09-28,21
2010-09-29,65
2010-09-30,33
2010-10-01,46
2010-10-02,0
2010-10-03,27
2010-10-04,43
2010-10-05,65
2010-10-06,43
2010-10-07,23
2010-10-08,23
2010-10-09,55
2010-10-10,0
2010-10-11,0
2010-10-12,77
2010-10-13,43
2010-10-14,43
2010-10-15,22
2010-10-16,27
2010-10-17,53
2010-10-18,21
2010-10-19,52
2010-10-20,42
2010-10-21,0
2010-10-22,45
2010-10-23,0
2010-10-24,26
2010-10-25,21
2010-10-26,62
2010-10-27,21
2010-10-28,21
2010-10-29,23
2010-10-30,54
2010-10-31,27
2010-11-01,22
2010-11-02,21
2010-11-03,41
2010-11-04,41
2010-11-05,45
2010-11-06,0
2010-11-07,0
2010-11-08,20
2010-11-09,0
2010-11-10,21
2010-11-11,0
2010-11-12,22
2010-11-13,26
2010-11-14,26
2010-11-15,0
2010-11-16,31
2010-11-17,63
2010-11-18,21
2010-11-19,22
2010-11-20,0
2010-11-21,38
2010-11-22,0
2010-11-23,31
2010-11-24,21
2010-11-25,22
2010-11-26,23
2010-11-27,0
2010-11-28,0
2010-11-29,30
2010-11-30,0
2010-12-01,31
2010-12-02,41
2010-12-03,21
2010-12-04,26
2010-12-05,25
2010-12-06,41
2010-12-07,21
2010-12-08,42
2010-12-09,31
2010-12-10,22
2010-12-11,0
2010-12-12,25
2010-12-13,61
2010-12-14,31
2010-12-15,63
2010-12-16,21
2010-12-17,0
2010-12-18,26
2010-12-19,0
2010-12-20,53
2010-12-21,32
2010-12-22,22
2010-12-23,24
2010-12-24,28
2010-12-25,0
2010-12-26,0
2010-12-27,35
2010-12-28,46
2010-12-29,0
2010-12-30,36
2010-12-31,55
2011-01-01,30
2011-01-02,27
2011-01-03,21
2011-01-04,41
2011-01-05,0
2011-01-06,21
2011-01-07,32
2011-01-08,49
2011-01-09,49
2011-01-10,30
2011-01-11,29
2011-01-12,19
2011-01-13,20
2011-01-14,81
2011-01-15,0
2011-01-16,24
2011-01-17,29
2011-01-18,0
2011-01-19,19
2011-01-20,20
2011-01-21,72
2011-01-22,0
2011-01-23,24
2011-01-24,38
2011-01-25,57
2011-01-26,0
2011-01-27,29
2011-01-28,61
2011-01-29,0
2011-01-30,23
2011-01-31,27
2011-02-01,37
2011-02-02,37
2011-02-03,75
2011-02-04,39
2011-02-05,24
2011-02-06,46
2011-02-07,0
2011-02-08,0
2011-02-09,29
2011-02-10,19
2011-02-11,30
2011-02-12,24
2011-02-13,23
2011-02-14,28
2011-02-15,18
2011-02-16,19
2011-02-17,38
2011-02-18,20
2011-02-19,0
2011-02-20,23
2011-02-21,28
2011-02-22,28
2011-02-23,47
2011-02-24,28
2011-02-25,40
2011-02-26,23
2011-02-27,0
2011-02-28,37
2011-03-01,18
2011-03-02,28
2011-03-03,29
2011-03-04,0
2011-03-05,48
2011-03-06,36
2011-03-07,19
2011-03-08,58
2011-03-09,57
2011-03-10,19
2011-03-11,19
2011-03-12,0
2011-03-13,47
2011-03-14,39
2011-03-15,19
2011-03-16,37
2011-03-17,19
2011-03-18,49
2011-03-19,0
2011-03-20,0
2011-03-21,37
2011-03-22,19
2011-03-23,19
2011-03-24,19
2011-03-25,100
2011-03-26,24
2011-03-27,23
2011-03-28,37
2011-03-29,37
2011-03-30,28
2011-03-31,47
2011-04-01,0
2011-04-02,48
2011-04-03,23
2011-04-04,0
2011-04-05,37
2011-04-06,47
2011-04-07,29
2011-04-08,60
2011-04-09,24
2011-04-10,71
2011-04-11,56
2011-04-12,37
2011-04-13,0
2011-04-14,19
2011-04-15,40
2011-04-16,24
2011-04-17,24
2011-04-18,19
2011-04-19,38
2011-04-20,58
2011-04-21,31
2011-04-22,23
2011-04-23,25
2011-04-24,26
2011-04-25,21
2011-04-26,65
2011-04-27,46
2011-04-28,19
2011-04-29,30
2011-04-30,24
2011-05-01,0
2011-05-02,37
2011-05-03,18
2011-05-04,28
2011-05-05,29
2011-05-06,40
2011-05-07,24
2011-05-08,24
2011-05-09,46
2011-05-10,28
2011-05-11,0
