date,MYL
2012-06-04,46
2012-06-05,41
2012-06-06,26
2012-06-07,42
2012-06-08,59
2012-06-09,50
2012-06-10,25
2012-06-11,71
2012-06-12,61
2012-06-13,62
2012-06-14,88
2012-06-15,71
2012-06-16,71
2012-06-17,71
2012-06-18,56
2012-06-19,56
2012-06-20,67
2012-06-21,67
2012-06-22,54
2012-06-23,39
2012-06-24,58
2012-06-25,61
2012-06-26,51
2012-06-27,36
2012-06-28,42
2012-06-29,39
2012-06-30,26
2012-07-01,51
2012-07-02,62
2012-07-03,57
2012-07-04,43
2012-07-05,48
2012-07-06,66
2012-07-07,46
2012-07-08,65
2012-07-09,21
2012-07-10,62
2012-07-11,57
2012-07-12,42
2012-07-13,49
2012-07-14,32
2012-07-15,91
2012-07-16,41
2012-07-17,77
2012-07-18,47
2012-07-19,37
2012-07-20,50
2012-07-21,59
2012-07-22,40
2012-07-23,36
2012-07-24,42
2012-07-25,48
2012-07-26,80
2012-07-27,50
2012-07-28,39
2012-07-29,65
2012-07-30,31
2012-07-31,62
2012-08-01,58
2012-08-02,64
2012-08-03,83
2012-08-04,59
2012-08-05,39
2012-08-06,89
2012-08-07,36
2012-08-08,52
2012-08-09,32
2012-08-10,39
2012-08-11,58
2012-08-12,39
2012-08-13,57
2012-08-14,47
2012-08-15,44
2012-08-16,53
2012-08-17,61
2012-08-18,66
2012-08-19,20
2012-08-20,71
2012-08-21,32
2012-08-22,68
2012-08-23,48
2012-08-24,38
2012-08-25,57
2012-08-26,31
2012-08-27,66
2012-08-28,50
2012-08-29,61
2012-08-30,47
2012-08-31,37
2012-09-01,57
2012-09-02,50
2012-09-03,73
2012-09-04,70
2012-09-05,50
2012-09-06,67
2012-09-07,54
2012-09-08,56
2012-09-09,49
2012-09-10,55
2012-09-11,25
2012-09-12,40
2012-09-13,40
2012-09-14,42
2012-09-15,43
2012-09-16,54
2012-09-17,70
2012-09-18,44
2012-09-19,60
2012-09-20,81
2012-09-21,47
2012-09-22,49
2012-09-23,29
2012-09-24,34
2012-09-25,54
2012-09-26,20
2012-09-27,45
2012-09-28,37
2012-09-29,67
2012-09-30,18
2012-10-01,40
2012-10-02,59
2012-10-03,54
2012-10-04,59
2012-10-05,35
2012-10-06,58
2012-10-07,57
2012-10-08,52
2012-10-09,56
2012-10-10,57
2012-10-11,96
2012-10-12,51
2012-10-13,29
2012-10-14,45
2012-10-15,66
2012-10-16,99
2012-10-17,62
2012-10-18,48
2012-10-19,50
2012-10-20,46
2012-10-21,23
2012-10-22,51
2012-10-23,75
2012-10-24,57
2012-10-25,68
2012-10-26,20
2012-10-27,35
2012-10-28,39
2012-10-29,41
2012-10-30,60
2012-10-31,24
2012-11-01,55
2012-11-02,46
2012-11-03,51
2012-11-04,50
2012-11-05,70
2012-11-06,23
2012-11-07,46
2012-11-08,52
2012-11-09,49
2012-11-10,39
2012-11-11,44
2012-11-12,65
2012-11-13,43
2012-11-14,57
2012-11-15,34
2012-11-16,59
2012-11-17,45
2012-11-18,88
2012-11-19,56
2012-11-20,65
2012-11-21,65
2012-11-22,34
2012-11-23,40
2012-11-24,50
2012-11-25,48
2012-11-26,59
2012-11-27,54
2012-11-28,55
2012-11-29,60
2012-11-30,24
2012-12-01,77
2012-12-02,70
2012-12-03,72
2012-12-04,50
2012-12-05,36
2012-12-06,42
2012-12-07,43
2012-12-08,28
2012-12-09,59
2012-12-10,41
2012-12-11,37
2012-12-12,78
2012-12-13,56
2012-12-14,57
2012-12-15,44
2012-12-16,49
2012-12-17,32
2012-12-18,33
2012-12-19,38
2012-12-20,34
2012-12-21,25
2012-12-22,69
2012-12-23,35
2012-12-24,52
2012-12-25,49
2012-12-26,47
2012-12-27,40
2012-12-28,36
2012-12-29,50
2012-12-30,45
2012-12-31,79
2013-01-01,54
2013-01-02,37
2013-01-03,73
2013-01-04,57
2013-01-05,37
2013-01-06,32
2013-01-07,45
2013-01-08,31
2013-01-09,36
2013-01-10,58
2013-01-11,41
2013-01-12,36
2013-01-13,26
2013-01-14,70
2013-01-15,52
2013-01-16,65
2013-01-17,22
2013-01-18,41
2013-01-19,46
2013-01-20,31
2013-01-21,43
2013-01-22,52
2013-01-23,69
2013-01-24,79
2013-01-25,50
2013-01-26,68
2013-01-27,56
2013-01-28,34
2013-01-29,77
2013-01-30,95
2013-01-31,57
2013-02-01,100
2013-02-02,56
2013-02-03,70
2013-02-04,51
2013-02-05,39
2013-02-06,61
2013-02-07,30
2013-02-08,68
2013-02-09,42
2013-02-10,57
2013-02-11,57
2013-02-12,62
2013-02-13,39
2013-02-14,49
2013-02-15,36
2013-02-16,77
2013-02-17,91
2013-02-18,60
2013-02-19,42
