date,NCLH
2014-07-24,20
2014-07-25,21
2014-07-26,0
2014-07-27,0
2014-07-28,20
2014-07-29,0
2014-07-30,20
2014-07-31,20
2014-08-01,0
2014-08-02,0
2014-08-03,24
2014-08-04,0
2014-08-05,0
2014-08-06,20
2014-08-07,28
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,19
2014-08-13,0
2014-08-14,0
2014-08-15,43
2014-08-16,24
2014-08-17,0
2014-08-18,39
2014-08-19,0
2014-08-20,20
2014-08-21,0
2014-08-22,20
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,19
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,19
2014-09-02,100
2014-09-03,62
2014-09-04,57
2014-09-05,20
2014-09-06,23
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,37
2014-09-12,20
2014-09-13,67
2014-09-14,0
2014-09-15,19
2014-09-16,0
2014-09-17,19
2014-09-18,0
2014-09-19,0
2014-09-20,22
2014-09-21,0
2014-09-22,18
2014-09-23,19
2014-09-24,18
2014-09-25,19
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,19
2014-09-30,0
2014-10-01,19
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,19
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,28
2014-10-14,0
2014-10-15,18
2014-10-16,19
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,18
2014-10-22,0
2014-10-23,19
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,18
2014-10-29,37
2014-10-30,37
2014-10-31,19
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,18
2014-11-05,27
2014-11-06,18
2014-11-07,0
2014-11-08,0
2014-11-09,0
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,0
2014-11-14,0
2014-11-15,0
2014-11-16,21
2014-11-17,18
2014-11-18,19
2014-11-19,56
2014-11-20,0
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,0
2014-11-25,18
2014-11-26,0
2014-11-27,19
2014-11-28,0
2014-11-29,0
2014-11-30,21
2014-12-01,18
2014-12-02,27
2014-12-03,18
2014-12-04,0
2014-12-05,38
2014-12-06,21
2014-12-07,0
2014-12-08,0
2014-12-09,17
2014-12-10,35
2014-12-11,55
2014-12-12,0
2014-12-13,21
2014-12-14,0
2014-12-15,18
2014-12-16,36
2014-12-17,18
2014-12-18,19
2014-12-19,20
2014-12-20,0
2014-12-21,0
2014-12-22,19
2014-12-23,40
2014-12-24,0
2014-12-25,0
2014-12-26,21
2014-12-27,22
2014-12-28,22
2014-12-29,0
2014-12-30,39
2014-12-31,0
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,20
2015-01-05,0
2015-01-06,0
2015-01-07,17
2015-01-08,35
2015-01-09,27
2015-01-10,31
2015-01-11,0
2015-01-12,0
2015-01-13,17
2015-01-14,17
2015-01-15,35
2015-01-16,0
2015-01-17,20
2015-01-18,0
2015-01-19,17
2015-01-20,0
2015-01-21,17
2015-01-22,17
2015-01-23,0
2015-01-24,20
2015-01-25,20
2015-01-26,17
2015-01-27,0
2015-01-28,17
2015-01-29,17
2015-01-30,18
2015-01-31,0
2015-02-01,0
2015-02-02,17
2015-02-03,17
2015-02-04,50
2015-02-05,0
2015-02-06,18
2015-02-07,20
2015-02-08,0
2015-02-09,17
2015-02-10,33
2015-02-11,0
2015-02-12,17
2015-02-13,18
2015-02-14,20
2015-02-15,0
2015-02-16,0
2015-02-17,35
2015-02-18,34
2015-02-19,26
2015-02-20,36
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,34
2015-02-26,23
2015-02-27,18
2015-02-28,20
2015-03-01,26
2015-03-02,25
2015-03-03,17
2015-03-04,50
2015-03-05,43
2015-03-06,27
2015-03-07,0
2015-03-08,20
2015-03-09,17
2015-03-10,17
2015-03-11,17
2015-03-12,17
2015-03-13,18
2015-03-14,0
2015-03-15,20
2015-03-16,25
2015-03-17,34
2015-03-18,25
2015-03-19,28
2015-03-20,26
2015-03-21,20
2015-03-22,19
2015-03-23,33
2015-03-24,22
2015-03-25,25
2015-03-26,20
2015-03-27,27
2015-03-28,63
2015-03-29,41
2015-03-30,17
2015-03-31,34
2015-04-01,26
2015-04-02,18
2015-04-03,19
2015-04-04,0
2015-04-05,0
2015-04-06,18
2015-04-07,25
2015-04-08,50
2015-04-09,17
2015-04-10,24
