date,NFLX
2011-01-01,8
2011-01-02,5
2011-01-03,20
2011-01-04,22
2011-01-05,15
2011-01-06,19
2011-01-07,14
2011-01-08,12
2011-01-09,6
2011-01-10,17
2011-01-11,22
2011-01-12,15
2011-01-13,23
2011-01-14,17
2011-01-15,8
2011-01-16,5
2011-01-17,6
2011-01-18,15
2011-01-19,15
2011-01-20,18
2011-01-21,22
2011-01-22,5
2011-01-23,4
2011-01-24,15
2011-01-25,18
2011-01-26,42
2011-01-27,87
2011-01-28,48
2011-01-29,16
2011-01-30,10
2011-01-31,27
2011-02-01,27
2011-02-02,19
2011-02-03,16
2011-02-04,26
2011-02-05,13
2011-02-06,6
2011-02-07,16
2011-02-08,16
2011-02-09,15
2011-02-10,21
2011-02-11,26
2011-02-12,7
2011-02-13,9
2011-02-14,39
2011-02-15,43
2011-02-16,29
2011-02-17,27
2011-02-18,32
2011-02-19,6
2011-02-20,5
2011-02-21,9
2011-02-22,30
2011-02-23,32
2011-02-24,24
2011-02-25,31
2011-02-26,6
2011-02-27,6
2011-02-28,25
2011-03-01,27
2011-03-02,15
2011-03-03,17
2011-03-04,24
2011-03-05,6
2011-03-06,7
2011-03-07,13
2011-03-08,44
2011-03-09,30
2011-03-10,36
2011-03-11,24
2011-03-12,7
2011-03-13,4
2011-03-14,17
2011-03-15,32
2011-03-16,31
2011-03-17,21
2011-03-18,19
2011-03-19,8
2011-03-20,4
2011-03-21,15
2011-03-22,23
2011-03-23,30
2011-03-24,21
2011-03-25,21
2011-03-26,6
2011-03-27,5
2011-03-28,28
2011-03-29,29
2011-03-30,24
2011-03-31,24
2011-04-01,26
2011-04-02,8
2011-04-03,2
2011-04-04,22
2011-04-05,19
2011-04-06,28
2011-04-07,22
2011-04-08,17
2011-04-09,9
2011-04-10,6
2011-04-11,24
2011-04-12,18
2011-04-13,16
2011-04-14,16
2011-04-15,13
2011-04-16,8
2011-04-17,2
2011-04-18,17
2011-04-19,15
2011-04-20,21
2011-04-21,27
2011-04-22,13
2011-04-23,10
2011-04-24,4
2011-04-25,77
2011-04-26,75
2011-04-27,37
2011-04-28,25
2011-04-29,22
2011-04-30,4
2011-05-01,3
2011-05-02,18
2011-05-03,18
2011-05-04,19
2011-05-05,13
2011-05-06,14
2011-05-07,4
2011-05-08,5
2011-05-09,21
2011-05-10,18
2011-05-11,13
2011-05-12,12
2011-05-13,14
2011-05-14,5
2011-05-15,6
2011-05-16,15
2011-05-17,17
2011-05-18,16
2011-05-19,16
2011-05-20,13
2011-05-21,3
2011-05-22,4
2011-05-23,18
2011-05-24,16
2011-05-25,27
2011-05-26,24
2011-05-27,18
2011-05-28,6
2011-05-29,3
2011-05-30,5
2011-05-31,24
2011-06-01,28
2011-06-02,18
2011-06-03,23
2011-06-04,7
2011-06-05,2
2011-06-06,21
2011-06-07,13
2011-06-08,16
2011-06-09,16
2011-06-10,10
2011-06-11,4
2011-06-12,4
2011-06-13,15
2011-06-14,15
2011-06-15,13
2011-06-16,11
2011-06-17,16
2011-06-18,5
2011-06-19,4
2011-06-20,12
2011-06-21,17
2011-06-22,10
2011-06-23,17
2011-06-24,12
2011-06-25,2
2011-06-26,5
2011-06-27,7
2011-06-28,14
2011-06-29,12
2011-06-30,13
2011-07-01,8
2011-07-02,6
2011-07-03,4
2011-07-04,4
2011-07-05,38
2011-07-06,30
2011-07-07,24
2011-07-08,22
2011-07-09,3
2011-07-10,4
2011-07-11,23
2011-07-12,35
2011-07-13,61
2011-07-14,55
2011-07-15,42
2011-07-16,12
2011-07-17,7
2011-07-18,27
2011-07-19,25
2011-07-20,25
2011-07-21,22
2011-07-22,23
2011-07-23,13
2011-07-24,7
2011-07-25,72
2011-07-26,93
2011-07-27,48
2011-07-28,26
2011-07-29,27
2011-07-30,8
2011-07-31,5
2011-08-01,26
2011-08-02,23
2011-08-03,21
2011-08-04,24
2011-08-05,26
2011-08-06,7
2011-08-07,5
2011-08-08,26
2011-08-09,22
2011-08-10,20
2011-08-11,16
2011-08-12,16
2011-08-13,4
2011-08-14,3
2011-08-15,14
2011-08-16,14
2011-08-17,18
2011-08-18,15
2011-08-19,23
2011-08-20,4
2011-08-21,4
2011-08-22,15
2011-08-23,15
2011-08-24,11
2011-08-25,14
2011-08-26,11
2011-08-27,3
2011-08-28,2
2011-08-29,8
2011-08-30,10
2011-08-31,11
2011-09-01,26
2011-09-02,59
2011-09-03,6
2011-09-04,6
2011-09-05,4
2011-09-06,18
2011-09-07,19
2011-09-08,16
2011-09-09,14
2011-09-10,5
2011-09-11,6
2011-09-12,12
2011-09-13,13
2011-09-14,9
2011-09-15,86
2011-09-16,100
2011-09-17,20
2011-09-18,14
