date,value
2016-08-21,2.0
2016-08-22,13.0
2016-08-23,11.0
2016-08-24,13.0
2016-08-25,13.0
2016-08-26,12.0
2016-08-27,3.0
2016-08-28,4.0
2016-08-29,14.0
2016-08-30,12.0
2016-08-31,10.0
2016-09-01,7.0
2016-09-02,8.0
2016-09-03,2.0
2016-09-04,2.0
2016-09-05,3.0
2016-09-06,12.0
2016-09-07,12.0
2016-09-08,12.0
2016-09-09,11.0
2016-09-10,4.0
2016-09-11,3.0
2016-09-12,12.0
2016-09-13,11.0
2016-09-14,13.0
2016-09-15,12.0
2016-09-16,12.0
2016-09-17,4.0
2016-09-18,3.0
2016-09-19,11.0
2016-09-20,11.0
2016-09-21,19.0
2016-09-22,14.0
2016-09-23,14.0
2016-09-24,6.0
2016-09-25,2.0
2016-09-26,9.0
2016-09-27,12.0
2016-09-28,12.0
2016-09-29,13.0
2016-09-30,10.0
2016-10-01,5.0
2016-10-02,4.0
2016-10-03,20.0
2016-10-04,22.0
2016-10-05,19.0
2016-10-06,20.0
2016-10-07,18.0
2016-10-08,6.0
2016-10-09,3.0
2016-10-10,15.0
2016-10-11,16.0
2016-10-12,13.0
2016-10-13,14.0
2016-10-14,13.0
2016-10-15,4.0
2016-10-16,3.0
2016-10-17,71.0
2016-10-18,100.0
2016-10-19,41.0
2016-10-20,24.0
2016-10-21,29.0
2016-10-22,8.0
2016-10-23,4.0
2016-10-24,23.0
2016-10-25,21.0
2016-10-26,18.0
2016-10-27,14.0
2016-10-28,15.0
2016-10-29,5.0
2016-10-30,4.0
2016-10-31,14.0
2016-11-01,14.0
2016-11-02,12.0
2016-11-03,11.0
2016-11-04,10.0
2016-11-05,4.0
2016-11-06,2.0
2016-11-07,12.0
2016-11-08,11.0
2016-11-09,14.0
2016-11-10,18.0
2016-11-11,16.0
2016-11-12,3.0
2016-11-13,2.0
2016-11-14,16.0
2016-11-15,16.0
2016-11-16,11.0
2016-11-17,11.0
2016-11-18,10.0
2016-11-19,4.0
2016-11-20,2.0
2016-11-21,10.0
2016-11-22,11.0
2016-11-23,9.0
2016-11-24,2.0
2016-11-25,5.0
2016-11-26,2.0
2016-11-27,2.0
2016-11-28,6.0
2016-11-29,8.0
2016-11-30,11.0
2016-12-01,10.0
2016-12-02,10.0
2016-12-03,3.0
2016-12-04,2.0
2016-12-05,9.0
2016-12-06,12.0
2016-12-07,13.0
2016-12-08,10.0
2016-12-09,9.0
2016-12-10,3.0
2016-12-11,2.0
2016-12-12,10.0
2016-12-13,10.0
2016-12-14,9.0
2016-12-15,10.0
2016-12-16,9.0
2016-12-17,3.0
2016-12-18,3.0
2016-12-19,7.0
2016-12-20,9.0
2016-12-21,9.0
2016-12-22,8.0
2016-12-23,7.0
2016-12-24,3.0
2016-12-25,2.0
2016-12-26,4.0
2016-12-27,8.0
2016-12-28,10.0
2016-12-29,7.0
2016-12-30,7.0
2016-12-31,4.0
2017-01-01,2.0
2017-01-02,2.0
2017-01-03,10.0
2017-01-04,9.0
2017-01-05,13.0
2017-01-06,16.0
2017-01-07,6.0
2017-01-08,3.0
2017-01-09,9.0
2017-01-10,11.0
2017-01-11,11.0
2017-01-12,11.0
2017-01-13,13.0
2017-01-14,6.0
2017-01-15,6.0
2017-01-16,10.0
2017-01-17,20.0
2017-01-18,59.0
2017-01-19,71.0
2017-01-20,27.0
2017-01-21,11.0
2017-01-22,5.0
2017-01-23,15.0
2017-01-24,18.0
2017-01-25,16.0
2017-01-26,13.0
2017-01-27,13.0
2017-01-28,4.0
2017-01-29,3.0
2017-01-30,10.0
2017-01-31,12.0
2017-02-01,12.0
2017-02-02,9.0
2017-02-03,14.0
2017-02-04,3.0
2017-02-05,2.0
2017-02-06,9.0
2017-02-07,10.0
2017-02-08,16.0
2017-02-09,17.0
2017-02-10,15.0
2017-02-11,3.0
2017-02-12,3.0
2017-02-13,11.0
2017-02-14,14.0
2017-02-15,14.0
2017-02-16,10.0
2017-02-17,8.0
2017-02-18,3.0
2017-02-19,2.0
2017-02-20,3.0
2017-02-21,11.0
2017-02-22,10.0
2017-02-23,9.0
2017-02-24,9.0
2017-02-25,2.0
2017-02-26,2.0
2017-02-27,8.0
2017-02-28,11.0
2017-03-01,10.0
2017-03-02,10.0
2017-03-03,10.0
2017-03-04,2.0
2017-03-05,3.0
2017-03-06,10.0
2017-03-07,9.0
2017-03-08,9.0
2017-03-09,9.0
2017-03-10,8.0
2017-03-11,3.0
2017-03-12,2.0
2017-03-13,9.0
2017-03-14,10.0
2017-03-15,8.0
2017-03-16,10.0
2017-03-17,13.0
2017-03-18,3.0
2017-03-19,2.0
2017-03-20,8.0
2017-03-21,11.0
2017-03-22,12.0
2017-03-23,8.0
2017-03-24,9.0
2017-03-25,3.0
2017-03-26,3.0
2017-03-27,12.0
2017-03-28,9.0
2017-03-29,8.0
2017-03-30,9.0
2017-03-31,9.0
2017-04-01,2.0
2017-04-02,3.0
2017-04-03,8.0
2017-04-04,9.0
2017-04-05,12.0
2017-04-06,8.0
2017-04-07,7.0
2017-04-08,4.0
2017-04-09,2.0
2017-04-10,10.0
2017-04-11,9.0
2017-04-12,9.0
2017-04-13,8.0
2017-04-14,9.0
2017-04-15,3.0
2017-04-16,4.0
2017-04-17,61.0
2017-04-18,46.0
2017-04-19,19.0
2017-04-20,14.0
2017-04-21,12.0
2017-04-22,3.0
2017-04-23,3.0
2017-04-24,11.0
2017-04-25,27.0
2017-04-26,18.0
2017-04-27,14.0
2017-04-28,13.0
2017-04-29,4.0
2017-04-30,3.0
2017-05-01,20.0
2017-05-02,14.0
2017-05-03,12.0
2017-05-04,11.0
2017-05-05,13.0
2017-05-06,3.0
2017-05-06,2.997675909600898
2017-05-07,2.0827055617887487
2017-05-08,6.441176470588236
