date,NTAP
2017-01-19,8
2017-01-20,21
2017-01-21,9
2017-01-22,13
2017-01-23,24
2017-01-24,26
2017-01-25,43
2017-01-26,27
2017-01-27,14
2017-01-28,13
2017-01-29,9
2017-01-30,23
2017-01-31,23
2017-02-01,34
2017-02-02,34
2017-02-03,33
2017-02-04,6
2017-02-05,6
2017-02-06,26
2017-02-07,33
2017-02-08,13
2017-02-09,22
2017-02-10,21
2017-02-11,4
2017-02-12,17
2017-02-13,33
2017-02-14,30
2017-02-15,74
2017-02-16,100
2017-02-17,54
2017-02-18,9
2017-02-19,7
2017-02-20,15
2017-02-21,45
2017-02-22,32
2017-02-23,32
2017-02-24,25
2017-02-25,13
2017-02-26,9
2017-02-27,34
2017-02-28,28
2017-03-01,37
2017-03-02,47
2017-03-03,25
2017-03-04,21
2017-03-05,17
2017-03-06,44
2017-03-07,22
2017-03-08,24
2017-03-09,44
2017-03-10,19
2017-03-11,13
2017-03-12,11
2017-03-13,17
2017-03-14,24
2017-03-15,30
2017-03-16,30
2017-03-17,23
2017-03-18,9
2017-03-19,11
2017-03-20,17
2017-03-21,26
2017-03-22,26
2017-03-23,21
2017-03-24,28
2017-03-25,11
2017-03-26,13
2017-03-27,17
2017-03-28,15
2017-03-29,17
2017-03-30,21
2017-03-31,24
2017-04-01,9
