date,NTES
2012-01-26,31
2012-01-27,42
2012-01-28,30
2012-01-29,30
2012-01-30,25
2012-01-31,64
2012-02-01,58
2012-02-02,45
2012-02-03,46
2012-02-04,24
2012-02-05,41
2012-02-06,49
2012-02-07,49
2012-02-08,34
2012-02-09,39
2012-02-10,52
2012-02-11,65
2012-02-12,28
2012-02-13,39
2012-02-14,60
2012-02-15,94
2012-02-16,40
2012-02-17,62
2012-02-18,54
2012-02-19,24
2012-02-20,46
2012-02-21,25
2012-02-22,49
2012-02-23,40
2012-02-24,40
2012-02-25,35
2012-02-26,12
2012-02-27,19
2012-02-28,53
2012-02-29,44
2012-03-01,36
2012-03-02,27
2012-03-03,67
2012-03-04,24
2012-03-05,45
2012-03-06,44
2012-03-07,73
2012-03-08,70
2012-03-09,57
2012-03-10,18
2012-03-11,35
2012-03-12,53
2012-03-13,68
2012-03-14,44
2012-03-15,60
2012-03-16,62
2012-03-17,42
2012-03-18,24
2012-03-19,30
2012-03-20,24
2012-03-21,29
2012-03-22,15
2012-03-23,47
2012-03-24,67
2012-03-25,54
2012-03-26,44
2012-03-27,49
2012-03-28,50
2012-03-29,20
2012-03-30,53
2012-03-31,48
2012-04-01,48
2012-04-02,35
2012-04-03,75
2012-04-04,35
2012-04-05,52
2012-04-06,40
2012-04-07,62
2012-04-08,38
2012-04-09,35
2012-04-10,30
2012-04-11,48
2012-04-12,20
2012-04-13,57
2012-04-14,24
2012-04-15,59
2012-04-16,58
2012-04-17,24
2012-04-18,39
2012-04-19,34
2012-04-20,35
2012-04-21,29
2012-04-22,63
2012-04-23,58
2012-04-24,29
2012-04-25,58
2012-04-26,59
2012-04-27,26
2012-04-28,60
2012-04-29,42
2012-04-30,41
2012-05-01,48
2012-05-02,34
2012-05-03,39
2012-05-04,15
2012-05-05,23
2012-05-06,52
2012-05-07,53
2012-05-08,14
2012-05-09,43
2012-05-10,49
2012-05-11,26
2012-05-12,42
2012-05-13,53
2012-05-14,48
2012-05-15,28
2012-05-16,48
2012-05-17,35
2012-05-18,46
2012-05-19,18
2012-05-20,12
2012-05-21,43
2012-05-22,100
2012-05-23,53
2012-05-24,40
2012-05-25,41
2012-05-26,19
2012-05-27,43
2012-05-28,56
2012-05-29,56
2012-05-30,72
2012-05-31,87
2012-06-01,66
2012-06-02,54
2012-06-03,23
2012-06-04,48
2012-06-05,57
2012-06-06,24
2012-06-07,39
2012-06-08,25
2012-06-09,29
2012-06-10,0
2012-06-11,52
2012-06-12,62
2012-06-13,43
2012-06-14,73
2012-06-15,46
2012-06-16,42
2012-06-17,12
2012-06-18,43
2012-06-19,52
2012-06-20,67
2012-06-21,24
2012-06-22,36
2012-06-23,43
2012-06-24,36
2012-06-25,28
2012-06-26,52
2012-06-27,34
2012-06-28,34
2012-06-29,63
2012-06-30,37
2012-07-01,12
2012-07-02,29
2012-07-03,10
2012-07-04,15
2012-07-05,50
2012-07-06,36
2012-07-07,30
2012-07-08,36
2012-07-09,39
2012-07-10,34
2012-07-11,24
2012-07-12,20
2012-07-13,51
2012-07-14,49
2012-07-15,24
2012-07-16,15
2012-07-17,43
2012-07-18,59
2012-07-19,30
2012-07-20,36
2012-07-21,49
2012-07-22,25
2012-07-23,29
2012-07-24,49
2012-07-25,30
2012-07-26,30
2012-07-27,67
2012-07-28,24
2012-07-29,49
2012-07-30,39
2012-07-31,34
2012-08-01,39
2012-08-02,35
2012-08-03,15
2012-08-04,55
2012-08-05,42
2012-08-06,24
2012-08-07,15
2012-08-08,24
2012-08-09,35
2012-08-10,21
2012-08-11,18
2012-08-12,18
2012-08-13,19
2012-08-14,54
2012-08-15,41
2012-08-16,65
2012-08-17,93
2012-08-18,68
2012-08-19,43
2012-08-20,51
2012-08-21,29
2012-08-22,49
2012-08-23,40
2012-08-24,36
2012-08-25,35
2012-08-26,35
2012-08-27,43
2012-08-28,52
2012-08-29,33
2012-08-30,39
2012-08-31,40
2012-09-01,23
2012-09-02,35
2012-09-03,54
2012-09-04,46
2012-09-05,56
2012-09-06,29
2012-09-07,46
2012-09-08,29
2012-09-09,74
2012-09-10,9
2012-09-11,42
2012-09-12,32
2012-09-13,33
2012-09-14,29
2012-09-15,28
2012-09-16,17
2012-09-17,42
2012-09-18,46
2012-09-19,37
2012-09-20,47
2012-09-21,39
2012-09-22,34
2012-09-23,33
2012-09-24,46
2012-09-25,14
2012-09-26,32
2012-09-27,42
2012-09-28,44
2012-09-29,40
2012-09-30,50
2012-10-01,46
2012-10-02,42
2012-10-03,37
2012-10-04,41
2012-10-05,33
2012-10-06,38
2012-10-07,21
2012-10-08,27
2012-10-09,57
2012-10-10,40
2012-10-11,32
2012-10-12,24
