date,NXPI
2013-11-06,13
2013-11-07,15
2013-11-08,29
2013-11-09,9
2013-11-10,9
2013-11-11,12
2013-11-12,22
2013-11-13,23
2013-11-14,15
2013-11-15,12
2013-11-16,18
2013-11-17,9
2013-11-18,15
2013-11-19,12
2013-11-20,10
2013-11-21,7
2013-11-22,12
2013-11-23,17
2013-11-24,9
2013-11-25,26
2013-11-26,12
2013-11-27,8
2013-11-28,16
2013-11-29,0
2013-11-30,13
2013-12-01,11
2013-12-02,12
2013-12-03,15
2013-12-04,7
2013-12-05,37
2013-12-06,39
2013-12-07,27
2013-12-08,9
2013-12-09,15
2013-12-10,26
2013-12-11,18
2013-12-12,12
2013-12-13,16
2013-12-14,9
2013-12-15,15
2013-12-16,15
2013-12-17,15
2013-12-18,8
2013-12-19,16
2013-12-20,8
2013-12-21,16
2013-12-22,19
2013-12-23,14
2013-12-24,28
2013-12-25,13
2013-12-26,23
2013-12-27,28
2013-12-28,12
2013-12-29,0
2013-12-30,27
2013-12-31,57
2014-01-01,19
2014-01-02,31
2014-01-03,23
2014-01-04,26
2014-01-05,9
2014-01-06,28
2014-01-07,17
2014-01-08,17
2014-01-09,34
2014-01-10,30
2014-01-11,17
2014-01-12,13
2014-01-13,32
2014-01-14,26
2014-01-15,38
2014-01-16,34
2014-01-17,35
2014-01-18,30
2014-01-19,17
2014-01-20,24
2014-01-21,42
2014-01-22,35
2014-01-23,24
2014-01-24,35
2014-01-25,17
2014-01-26,14
2014-01-27,26
2014-01-28,23
2014-01-29,43
2014-01-30,43
2014-01-31,37
2014-02-01,17
2014-02-02,12
2014-02-03,26
2014-02-04,31
2014-02-05,57
2014-02-06,100
2014-02-07,67
2014-02-08,41
2014-02-09,16
2014-02-10,30
2014-02-11,38
2014-02-12,50
2014-02-13,48
2014-02-14,62
2014-02-15,25
2014-02-16,21
2014-02-17,50
2014-02-18,42
2014-02-19,47
2014-02-20,53
2014-02-21,44
2014-02-22,13
2014-02-23,17
2014-02-24,21
2014-02-25,40
2014-02-26,35
2014-02-27,26
2014-02-28,25
2014-03-01,17
2014-03-02,22
2014-03-03,21
2014-03-04,43
2014-03-05,50
2014-03-06,41
2014-03-07,47
2014-03-08,17
2014-03-09,33
2014-03-10,36
2014-03-11,33
2014-03-12,26
2014-03-13,36
2014-03-14,49
2014-03-15,17
2014-03-16,16
2014-03-17,28
2014-03-18,21
2014-03-19,40
2014-03-20,31
2014-03-21,32
2014-03-22,8
2014-03-23,11
2014-03-24,37
2014-03-25,30
2014-03-26,28
2014-03-27,28
2014-03-28,25
2014-03-29,13
2014-03-30,8
2014-03-31,30
2014-04-01,30
2014-04-02,55
2014-04-03,41
2014-04-04,57
2014-04-05,17
2014-04-06,19
2014-04-07,42
2014-04-08,47
2014-04-09,28
2014-04-10,41
2014-04-11,20
2014-04-12,23
2014-04-13,14
2014-04-14,24
2014-04-15,31
2014-04-16,36
2014-04-17,20
2014-04-18,16
2014-04-19,13
2014-04-20,9
2014-04-21,15
2014-04-22,33
2014-04-23,38
2014-04-24,55
2014-04-25,30
2014-04-26,20
2014-04-27,8
2014-04-28,47
2014-04-29,30
2014-04-30,45
2014-05-01,28
2014-05-02,33
2014-05-03,8
2014-05-04,8
2014-05-05,40
2014-05-06,26
2014-05-07,37
2014-05-08,19
2014-05-09,25
2014-05-10,8
2014-05-11,8
2014-05-12,34
2014-05-13,30
2014-05-14,35
2014-05-15,19
2014-05-16,20
2014-05-17,17
2014-05-18,9
2014-05-19,33
2014-05-20,36
2014-05-21,13
2014-05-22,18
2014-05-23,30
2014-05-24,19
2014-05-25,10
2014-05-26,12
2014-05-27,38
2014-05-28,28
2014-05-29,27
2014-05-30,14
2014-05-31,19
2014-06-01,10
2014-06-02,26
2014-06-03,15
2014-06-04,31
2014-06-05,18
2014-06-06,28
2014-06-07,19
2014-06-08,15
2014-06-09,21
2014-06-10,21
2014-06-11,31
2014-06-12,21
2014-06-13,29
2014-06-14,10
2014-06-15,19
2014-06-16,21
2014-06-17,21
2014-06-18,42
2014-06-19,38
2014-06-20,56
2014-06-21,10
2014-06-22,29
2014-06-23,37
2014-06-24,26
2014-06-25,40
2014-06-26,24
2014-06-27,38
2014-06-28,24
2014-06-29,16
2014-06-30,19
2014-07-01,40
2014-07-02,21
2014-07-03,25
2014-07-04,22
2014-07-05,16
2014-07-06,0
2014-07-07,21
2014-07-08,42
2014-07-09,21
2014-07-10,19
2014-07-11,37
2014-07-12,16
2014-07-13,16
2014-07-14,21
2014-07-15,18
2014-07-16,33
2014-07-17,16
2014-07-18,34
2014-07-19,23
2014-07-20,24
2014-07-21,32
2014-07-22,40
2014-07-23,88
2014-07-24,88
