date,ORLY
2013-06-29,84
2013-06-30,93
2013-07-01,90
2013-07-02,84
2013-07-03,89
2013-07-04,90
2013-07-05,90
2013-07-06,77
2013-07-07,87
2013-07-08,91
2013-07-09,91
2013-07-10,91
2013-07-11,85
2013-07-12,85
2013-07-13,86
2013-07-14,93
2013-07-15,96
2013-07-16,83
2013-07-17,90
2013-07-18,82
2013-07-19,84
2013-07-20,80
2013-07-21,83
2013-07-22,85
2013-07-23,80
2013-07-24,78
2013-07-25,84
2013-07-26,89
2013-07-27,90
2013-07-28,95
2013-07-29,94
2013-07-30,86
2013-07-31,87
2013-08-01,92
2013-08-02,90
2013-08-03,92
2013-08-04,94
2013-08-05,100
2013-08-06,86
2013-08-07,87
2013-08-08,85
2013-08-09,85
2013-08-10,83
2013-08-11,87
2013-08-12,91
2013-08-13,82
2013-08-14,83
2013-08-15,82
2013-08-16,82
2013-08-17,78
2013-08-18,88
2013-08-19,79
2013-08-20,78
2013-08-21,79
2013-08-22,75
2013-08-23,76
2013-08-24,75
2013-08-25,83
2013-08-26,77
2013-08-27,78
2013-08-28,71
2013-08-29,83
2013-08-30,79
2013-08-31,72
2013-09-01,80
2013-09-02,89
2013-09-03,86
2013-09-04,86
2013-09-05,84
2013-09-06,84
2013-09-07,76
2013-09-08,79
2013-09-09,85
2013-09-10,82
2013-09-11,79
2013-09-12,86
2013-09-13,82
2013-09-14,71
2013-09-15,87
2013-09-16,87
2013-09-17,83
2013-09-18,76
2013-09-19,75
2013-09-20,82
2013-09-21,71
2013-09-22,77
2013-09-23,84
2013-09-24,79
2013-09-25,79
2013-09-26,80
2013-09-27,76
2013-09-28,72
2013-09-29,79
2013-09-30,78
2013-10-01,84
2013-10-02,80
2013-10-03,80
2013-10-04,75
2013-10-05,66
2013-10-06,78
2013-10-07,79
2013-10-08,75
2013-10-09,82
2013-10-10,87
2013-10-11,82
2013-10-12,68
2013-10-13,80
2013-10-14,88
2013-10-15,76
2013-10-16,71
2013-10-17,72
2013-10-18,86
2013-10-19,72
2013-10-20,81
2013-10-21,75
2013-10-22,78
2013-10-23,81
2013-10-24,79
2013-10-25,83
2013-10-26,69
2013-10-27,80
2013-10-28,86
2013-10-29,72
2013-10-30,73
2013-10-31,73
2013-11-01,68
2013-11-02,67
2013-11-03,79
2013-11-04,81
2013-11-05,68
2013-11-06,74
2013-11-07,75
2013-11-08,78
2013-11-09,58
2013-11-10,67
2013-11-11,67
2013-11-12,69
2013-11-13,74
2013-11-14,73
2013-11-15,74
2013-11-16,59
2013-11-17,79
2013-11-18,71
2013-11-19,68
2013-11-20,67
2013-11-21,68
2013-11-22,72
2013-11-23,66
2013-11-24,74
2013-11-25,69
2013-11-26,62
2013-11-27,72
2013-11-28,70
2013-11-29,69
2013-11-30,60
2013-12-01,75
2013-12-02,65
2013-12-03,66
2013-12-04,73
2013-12-05,67
2013-12-06,67
2013-12-07,59
2013-12-08,67
2013-12-09,67
2013-12-10,67
2013-12-11,64
2013-12-12,70
2013-12-13,70
2013-12-14,59
2013-12-15,72
2013-12-16,71
2013-12-17,69
2013-12-18,78
2013-12-19,80
2013-12-20,82
2013-12-21,82
2013-12-22,85
2013-12-23,83
2013-12-24,83
2013-12-25,74
2013-12-26,82
2013-12-27,80
2013-12-28,80
2013-12-29,77
2013-12-30,63
2013-12-31,59
2014-01-01,66
2014-01-02,77
2014-01-03,76
2014-01-04,73
2014-01-05,80
2014-01-06,80
2014-01-07,76
2014-01-08,81
2014-01-09,73
2014-01-10,75
2014-01-11,73
2014-01-12,80
2014-01-13,86
2014-01-14,70
2014-01-15,81
2014-01-16,73
2014-01-17,76
2014-01-18,67
2014-01-19,83
2014-01-20,76
2014-01-21,74
2014-01-22,77
2014-01-23,75
2014-01-24,69
2014-01-25,70
2014-01-26,78
2014-01-27,72
2014-01-28,69
2014-01-29,78
2014-01-30,83
2014-01-31,71
2014-02-01,68
2014-02-02,77
2014-02-03,72
2014-02-04,73
2014-02-05,73
2014-02-06,81
2014-02-07,85
2014-02-08,72
2014-02-09,86
2014-02-10,79
2014-02-11,71
2014-02-12,79
2014-02-13,78
2014-02-14,74
2014-02-15,74
2014-02-16,76
2014-02-17,74
2014-02-18,74
2014-02-19,72
2014-02-20,76
2014-02-21,74
2014-02-22,68
2014-02-23,79
2014-02-24,77
2014-02-25,69
2014-02-26,73
2014-02-27,77
2014-02-28,76
2014-03-01,69
2014-03-02,81
2014-03-03,75
2014-03-04,77
2014-03-05,74
2014-03-06,82
2014-03-07,84
2014-03-08,60
2014-03-09,78
2014-03-10,80
2014-03-11,80
2014-03-12,77
2014-03-13,74
2014-03-14,82
2014-03-15,78
2014-03-16,81
