date,PAYX
2015-08-18,19
2015-08-19,25
2015-08-20,19
2015-08-21,39
2015-08-22,15
2015-08-23,29
2015-08-24,25
2015-08-25,29
2015-08-26,33
2015-08-27,21
2015-08-28,39
2015-08-29,23
2015-08-30,15
2015-08-31,24
2015-09-01,18
2015-09-02,21
2015-09-03,29
2015-09-04,26
2015-09-05,0
2015-09-06,15
2015-09-07,19
2015-09-08,24
2015-09-09,12
2015-09-10,12
2015-09-11,25
2015-09-12,14
2015-09-13,14
2015-09-14,36
2015-09-15,16
2015-09-16,20
2015-09-17,28
2015-09-18,30
2015-09-19,15
2015-09-20,14
2015-09-21,18
2015-09-22,16
2015-09-23,36
2015-09-24,17
2015-09-25,26
2015-09-26,22
2015-09-27,14
2015-09-28,30
2015-09-29,24
2015-09-30,100
2015-10-01,24
2015-10-02,19
2015-10-03,14
2015-10-04,35
2015-10-05,20
2015-10-06,36
2015-10-07,30
2015-10-08,20
2015-10-09,50
2015-10-10,14
2015-10-11,24
2015-10-12,49
2015-10-13,35
2015-10-14,18
2015-10-15,52
2015-10-16,19
2015-10-17,0
2015-10-18,14
2015-10-19,23
2015-10-20,19
2015-10-21,31
2015-10-22,24
2015-10-23,17
2015-10-24,14
2015-10-25,27
2015-10-26,35
2015-10-27,16
2015-10-28,35
2015-10-29,40
2015-10-30,17
2015-10-31,0
2015-11-01,14
2015-11-02,32
2015-11-03,31
2015-11-04,24
2015-11-05,24
2015-11-06,25
2015-11-07,35
2015-11-08,14
2015-11-09,30
2015-11-10,12
2015-11-11,0
2015-11-12,30
2015-11-13,25
2015-11-14,34
2015-11-15,21
2015-11-16,18
2015-11-17,19
2015-11-18,44
2015-11-19,24
2015-11-20,41
2015-11-21,14
2015-11-22,14
2015-11-23,18
2015-11-24,31
2015-11-25,24
2015-11-26,20
2015-11-27,25
2015-11-28,0
2015-11-29,18
2015-11-30,19
2015-12-01,35
2015-12-02,18
2015-12-03,24
2015-12-04,19
2015-12-05,14
2015-12-06,28
2015-12-07,24
2015-12-08,16
2015-12-09,24
2015-12-10,16
2015-12-11,25
2015-12-12,21
2015-12-13,14
2015-12-14,16
2015-12-15,12
2015-12-16,18
2015-12-17,21
2015-12-18,40
2015-12-19,44
2015-12-20,0
2015-12-21,17
2015-12-22,51
2015-12-23,27
2015-12-24,15
2015-12-25,16
2015-12-26,22
2015-12-27,0
2015-12-28,38
2015-12-29,30
2015-12-30,26
2015-12-31,29
2016-01-01,16
2016-01-02,28
2016-01-03,21
2016-01-04,31
2016-01-05,52
2016-01-06,42
2016-01-07,54
2016-01-08,45
2016-01-09,23
2016-01-10,33
2016-01-11,19
2016-01-12,29
2016-01-13,35
2016-01-14,47
2016-01-15,28
2016-01-16,20
2016-01-17,13
2016-01-18,29
2016-01-19,40
2016-01-20,31
2016-01-21,18
2016-01-22,32
2016-01-23,33
2016-01-24,13
2016-01-25,23
2016-01-26,27
2016-01-27,15
2016-01-28,35
2016-01-29,24
2016-01-30,14
2016-01-31,45
2016-02-01,26
2016-02-02,11
2016-02-03,26
2016-02-04,26
2016-02-05,31
2016-02-06,40
2016-02-07,13
2016-02-08,30
2016-02-09,17
2016-02-10,34
2016-02-11,23
2016-02-12,47
2016-02-13,26
2016-02-14,0
2016-02-15,11
2016-02-16,22
2016-02-17,28
2016-02-18,37
2016-02-19,15
2016-02-20,26
2016-02-21,19
2016-02-22,26
2016-02-23,33
2016-02-24,18
2016-02-25,18
2016-02-26,34
2016-02-27,19
2016-02-28,13
2016-02-29,11
2016-03-01,21
2016-03-02,22
2016-03-03,22
2016-03-04,34
2016-03-05,13
2016-03-06,19
2016-03-07,22
2016-03-08,18
2016-03-09,14
2016-03-10,18
2016-03-11,34
2016-03-12,32
2016-03-13,51
2016-03-14,16
2016-03-15,38
2016-03-16,18
2016-03-17,22
2016-03-18,12
2016-03-19,0
2016-03-20,19
2016-03-21,11
2016-03-22,11
2016-03-23,26
2016-03-24,39
2016-03-25,16
2016-03-26,13
2016-03-27,53
2016-03-28,23
2016-03-29,22
2016-03-30,55
2016-03-31,17
2016-04-01,38
2016-04-02,13
2016-04-03,13
2016-04-04,18
2016-04-05,33
2016-04-06,29
2016-04-07,18
2016-04-08,23
2016-04-09,21
2016-04-10,38
2016-04-11,22
2016-04-12,27
2016-04-13,33
2016-04-14,19
2016-04-15,23
2016-04-16,13
2016-04-17,17
2016-04-18,29
2016-04-19,22
2016-04-20,15
2016-04-21,19
2016-04-22,15
2016-04-23,13
2016-04-24,13
2016-04-25,11
2016-04-26,22
2016-04-27,22
2016-04-28,19
2016-04-29,27
2016-04-30,13
2016-05-01,0
2016-05-02,22
2016-05-03,16
2016-05-04,17
