date,PCAR
2010-08-24,21
2010-08-25,0
2010-08-26,54
2010-08-27,34
2010-08-28,28
2010-08-29,27
2010-08-30,42
2010-08-31,31
2010-09-01,21
2010-09-02,22
2010-09-03,90
2010-09-04,42
2010-09-05,0
2010-09-06,0
2010-09-07,21
2010-09-08,42
2010-09-09,32
2010-09-10,56
2010-09-11,27
2010-09-12,26
2010-09-13,20
2010-09-14,41
2010-09-15,52
2010-09-16,31
2010-09-17,89
2010-09-18,0
2010-09-19,52
2010-09-20,21
2010-09-21,62
2010-09-22,62
2010-09-23,41
2010-09-24,99
2010-09-25,39
2010-09-26,51
2010-09-27,30
2010-09-28,60
2010-09-29,30
2010-09-30,20
2010-10-01,21
2010-10-02,52
2010-10-03,25
2010-10-04,40
2010-10-05,30
2010-10-06,21
2010-10-07,65
2010-10-08,22
2010-10-09,39
2010-10-10,39
2010-10-11,31
2010-10-12,73
2010-10-13,40
2010-10-14,51
2010-10-15,21
2010-10-16,38
2010-10-17,50
2010-10-18,20
2010-10-19,29
2010-10-20,79
2010-10-21,40
2010-10-22,42
2010-10-23,0
2010-10-24,25
2010-10-25,19
2010-10-26,29
2010-10-27,20
2010-10-28,40
2010-10-29,32
2010-10-30,25
2010-10-31,51
2010-11-01,41
2010-11-02,39
2010-11-03,19
2010-11-04,29
2010-11-05,0
2010-11-06,100
2010-11-07,24
2010-11-08,19
2010-11-09,39
2010-11-10,29
2010-11-11,40
2010-11-12,21
2010-11-13,25
2010-11-14,24
2010-11-15,20
2010-11-16,29
2010-11-17,49
2010-11-18,20
2010-11-19,41
2010-11-20,49
2010-11-21,24
2010-11-22,57
2010-11-23,48
2010-11-24,49
2010-11-25,21
2010-11-26,64
2010-11-27,37
2010-11-28,48
2010-11-29,28
2010-11-30,57
2010-12-01,67
2010-12-02,38
2010-12-03,41
2010-12-04,24
2010-12-05,48
2010-12-06,77
2010-12-07,39
2010-12-08,99
2010-12-09,29
2010-12-10,31
2010-12-11,0
2010-12-12,24
2010-12-13,19
2010-12-14,39
2010-12-15,20
2010-12-16,49
2010-12-17,95
2010-12-18,25
2010-12-19,74
2010-12-20,60
2010-12-21,20
2010-12-22,41
2010-12-23,22
2010-12-24,39
2010-12-25,30
2010-12-26,27
2010-12-27,43
2010-12-28,64
2010-12-29,43
2010-12-30,22
2010-12-31,26
2011-01-01,28
2011-01-02,25
2011-01-03,20
2011-01-04,19
2011-01-05,38
2011-01-06,59
2011-01-07,80
2011-01-08,23
2011-01-09,34
2011-01-10,19
2011-01-11,18
2011-01-12,27
2011-01-13,46
2011-01-14,48
2011-01-15,34
2011-01-16,0
2011-01-17,27
2011-01-18,36
2011-01-19,36
2011-01-20,18
2011-01-21,29
2011-01-22,67
2011-01-23,0
2011-01-24,62
2011-01-25,27
2011-01-26,0
2011-01-27,37
2011-01-28,67
2011-01-29,66
2011-01-30,21
2011-01-31,17
2011-02-01,86
2011-02-02,70
2011-02-03,18
2011-02-04,18
2011-02-05,44
2011-02-06,64
2011-02-07,35
2011-02-08,18
2011-02-09,27
2011-02-10,18
2011-02-11,38
2011-02-12,33
2011-02-13,0
2011-02-14,27
2011-02-15,26
2011-02-16,18
2011-02-17,36
2011-02-18,19
2011-02-19,33
2011-02-20,43
2011-02-21,35
2011-02-22,26
2011-02-23,35
2011-02-24,27
2011-02-25,37
2011-02-26,22
2011-02-27,43
2011-02-28,17
2011-03-01,35
2011-03-02,35
2011-03-03,36
2011-03-04,28
2011-03-05,45
2011-03-06,0
2011-03-07,27
2011-03-08,27
2011-03-09,18
2011-03-10,36
2011-03-11,36
2011-03-12,44
2011-03-13,0
2011-03-14,28
2011-03-15,35
2011-03-16,44
2011-03-17,53
2011-03-18,0
2011-03-19,22
2011-03-20,22
2011-03-21,35
2011-03-22,70
2011-03-23,26
2011-03-24,35
2011-03-25,28
2011-03-26,55
2011-03-27,0
2011-03-28,86
2011-03-29,35
2011-03-30,44
2011-03-31,88
2011-04-01,37
2011-04-02,45
2011-04-03,0
2011-04-04,52
2011-04-05,26
2011-04-06,36
2011-04-07,36
2011-04-08,19
2011-04-09,23
2011-04-10,67
2011-04-11,53
2011-04-12,35
2011-04-13,26
2011-04-14,36
2011-04-15,47
2011-04-16,0
2011-04-17,22
2011-04-18,45
2011-04-19,72
2011-04-20,0
2011-04-21,68
2011-04-22,21
2011-04-23,24
2011-04-24,24
2011-04-25,19
2011-04-26,43
2011-04-27,35
2011-04-28,53
2011-04-29,19
2011-04-30,22
2011-05-01,22
2011-05-02,44
2011-05-03,35
2011-05-04,53
2011-05-05,35
2011-05-06,37
2011-05-07,45
2011-05-08,22
2011-05-09,18
2011-05-10,17
2011-05-11,17
