date,PCLN
2016-09-11,7
2016-09-12,15
2016-09-13,19
2016-09-14,11
2016-09-15,19
2016-09-16,16
2016-09-17,6
2016-09-18,6
2016-09-19,18
2016-09-20,18
2016-09-21,13
2016-09-22,23
2016-09-23,12
2016-09-24,10
2016-09-25,3
2016-09-26,14
2016-09-27,17
2016-09-28,22
2016-09-29,18
2016-09-30,21
2016-10-01,4
2016-10-02,6
2016-10-03,13
2016-10-04,19
2016-10-05,24
2016-10-06,19
2016-10-07,15
2016-10-08,5
2016-10-09,6
2016-10-10,15
2016-10-11,14
2016-10-12,11
2016-10-13,17
2016-10-14,10
2016-10-15,6
2016-10-16,6
2016-10-17,10
2016-10-18,10
2016-10-19,20
2016-10-20,12
2016-10-21,9
2016-10-22,4
2016-10-23,6
2016-10-24,11
2016-10-25,11
2016-10-26,19
2016-10-27,20
2016-10-28,21
2016-10-29,5
2016-10-30,6
2016-10-31,13
2016-11-01,14
2016-11-02,14
2016-11-03,14
2016-11-04,15
2016-11-05,7
2016-11-06,8
2016-11-07,58
2016-11-08,67
2016-11-09,47
2016-11-10,30
2016-11-11,19
2016-11-12,8
2016-11-13,3
2016-11-14,18
2016-11-15,25
2016-11-16,23
2016-11-17,21
2016-11-18,19
2016-11-19,5
2016-11-20,7
2016-11-21,18
2016-11-22,21
2016-11-23,16
2016-11-24,9
2016-11-25,14
2016-11-26,7
2016-11-27,4
2016-11-28,13
2016-11-29,14
2016-11-30,14
2016-12-01,18
2016-12-02,11
2016-12-03,7
2016-12-04,4
2016-12-05,12
2016-12-06,18
2016-12-07,19
2016-12-08,12
2016-12-09,17
2016-12-10,6
2016-12-11,6
2016-12-12,10
2016-12-13,17
2016-12-14,12
2016-12-15,12
2016-12-16,17
2016-12-17,7
2016-12-18,5
2016-12-19,16
2016-12-20,9
2016-12-21,12
2016-12-22,14
2016-12-23,14
2016-12-24,5
2016-12-25,10
2016-12-26,3
2016-12-27,9
2016-12-28,8
2016-12-29,15
2016-12-30,14
2016-12-31,4
2017-01-01,3
2017-01-02,8
2017-01-03,17
2017-01-04,15
2017-01-05,16
2017-01-06,18
2017-01-07,7
2017-01-08,6
2017-01-09,17
2017-01-10,16
2017-01-11,13
2017-01-12,15
2017-01-13,6
2017-01-14,8
2017-01-15,3
2017-01-16,2
2017-01-17,19
2017-01-18,8
2017-01-19,13
2017-01-20,18
2017-01-21,6
2017-01-22,6
2017-01-23,9
2017-01-24,20
2017-01-25,20
2017-01-26,16
2017-01-27,24
2017-01-28,13
2017-01-29,5
2017-01-30,19
2017-01-31,21
2017-02-01,22
2017-02-02,20
2017-02-03,19
2017-02-04,8
2017-02-05,4
2017-02-06,21
2017-02-07,13
2017-02-08,23
2017-02-09,26
2017-02-10,35
2017-02-11,7
2017-02-12,8
2017-02-13,24
2017-02-14,19
2017-02-15,27
2017-02-16,25
2017-02-17,19
2017-02-18,8
2017-02-19,11
2017-02-20,10
2017-02-21,26
2017-02-22,19
2017-02-23,30
2017-02-24,29
2017-02-25,10
2017-02-26,10
2017-02-27,76
2017-02-28,100
2017-03-01,37
2017-03-02,33
2017-03-03,24
2017-03-04,5
2017-03-05,11
2017-03-06,24
2017-03-07,15
2017-03-08,20
2017-03-09,18
2017-03-10,22
2017-03-11,6
2017-03-12,4
2017-03-13,18
2017-03-14,23
2017-03-15,24
2017-03-16,14
2017-03-17,17
2017-03-18,5
2017-03-19,4
2017-03-20,12
2017-03-21,19
2017-03-22,18
2017-03-23,12
2017-03-24,16
2017-03-25,3
2017-03-26,5
2017-03-27,15
2017-03-28,24
2017-03-29,10
2017-03-30,10
2017-03-31,8
2017-04-01,14
