date,value
2016-08-21,5.0
2016-08-22,7.0
2016-08-23,18.0
2016-08-24,17.0
2016-08-25,15.0
2016-08-26,14.0
2016-08-27,3.0
2016-08-28,8.0
2016-08-29,14.0
2016-08-30,17.0
2016-08-31,12.0
2016-09-01,15.0
2016-09-02,10.0
2016-09-03,10.0
2016-09-04,5.0
2016-09-05,6.0
2016-09-06,16.0
2016-09-07,26.0
2016-09-08,38.0
2016-09-09,22.0
2016-09-10,23.0
2016-09-11,14.0
2016-09-12,20.0
2016-09-13,35.0
2016-09-14,31.0
2016-09-15,30.0
2016-09-16,21.0
2016-09-17,5.0
2016-09-18,3.0
2016-09-19,18.0
2016-09-20,22.0
2016-09-21,26.0
2016-09-22,19.0
2016-09-23,20.0
2016-09-24,9.0
2016-09-25,9.0
2016-09-26,18.0
2016-09-27,26.0
2016-09-28,18.0
2016-09-29,15.0
2016-09-30,18.0
2016-10-01,6.0
2016-10-02,7.0
2016-10-03,18.0
2016-10-04,18.0
2016-10-05,22.0
2016-10-06,12.0
2016-10-07,13.0
2016-10-08,11.0
2016-10-09,9.0
2016-10-10,20.0
2016-10-11,16.0
2016-10-12,13.0
2016-10-13,18.0
2016-10-14,18.0
2016-10-15,6.0
2016-10-16,3.0
2016-10-17,20.0
2016-10-18,22.0
2016-10-19,23.0
2016-10-20,79.0
2016-10-21,100.0
2016-10-22,17.0
2016-10-23,16.0
2016-10-24,45.0
2016-10-25,35.0
2016-10-26,22.0
2016-10-27,31.0
2016-10-28,31.0
2016-10-29,8.0
2016-10-30,11.0
2016-10-31,24.0
2016-11-01,17.0
2016-11-02,26.0
2016-11-03,22.0
2016-11-04,24.0
2016-11-05,12.0
2016-11-06,3.0
2016-11-07,11.0
2016-11-08,21.0
2016-11-09,51.0
2016-11-10,33.0
2016-11-11,15.0
2016-11-12,12.0
2016-11-13,6.0
2016-11-14,30.0
2016-11-15,14.0
2016-11-16,21.0
2016-11-17,24.0
2016-11-18,27.0
2016-11-19,7.0
2016-11-20,10.0
2016-11-21,27.0
2016-11-22,18.0
2016-11-23,9.0
2016-11-24,9.0
2016-11-25,11.0
2016-11-26,9.0
2016-11-27,6.0
2016-11-28,26.0
2016-11-29,36.0
2016-11-30,14.0
2016-12-01,24.0
2016-12-02,22.0
2016-12-03,4.0
2016-12-04,6.0
2016-12-05,12.0
2016-12-06,23.0
2016-12-07,27.0
2016-12-08,22.0
2016-12-09,15.0
2016-12-10,7.0
2016-12-11,5.0
2016-12-12,18.0
2016-12-13,21.0
2016-12-14,18.0
2016-12-15,21.0
2016-12-16,14.0
2016-12-17,9.0
2016-12-18,6.0
2016-12-19,17.0
2016-12-20,16.0
2016-12-21,21.0
2016-12-22,25.0
2016-12-23,22.0
2016-12-24,3.0
2016-12-25,7.0
2016-12-26,13.0
