date,PYPL
2013-02-19,35
2013-02-20,0
2013-02-21,23
2013-02-22,48
2013-02-23,0
2013-02-24,27
2013-02-25,23
2013-02-26,23
2013-02-27,0
2013-02-28,0
2013-03-01,24
2013-03-02,27
2013-03-03,41
2013-03-04,23
2013-03-05,23
2013-03-06,23
2013-03-07,35
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,23
2013-03-12,22
2013-03-13,22
2013-03-14,23
2013-03-15,24
2013-03-16,54
2013-03-17,26
2013-03-18,0
2013-03-19,23
2013-03-20,23
2013-03-21,0
2013-03-22,24
2013-03-23,27
2013-03-24,0
2013-03-25,23
2013-03-26,23
2013-03-27,0
2013-03-28,0
2013-03-29,26
2013-03-30,28
2013-03-31,29
2013-04-01,0
2013-04-02,22
2013-04-03,23
2013-04-04,23
2013-04-05,47
2013-04-06,36
2013-04-07,0
2013-04-08,22
2013-04-09,0
2013-04-10,0
2013-04-11,46
2013-04-12,0
2013-04-13,27
2013-04-14,27
2013-04-15,23
2013-04-16,22
2013-04-17,30
2013-04-18,23
2013-04-19,24
2013-04-20,0
2013-04-21,0
2013-04-22,23
2013-04-23,22
2013-04-24,23
2013-04-25,23
2013-04-26,24
2013-04-27,54
2013-04-28,27
2013-04-29,45
2013-04-30,0
2013-05-01,25
2013-05-02,23
2013-05-03,24
2013-05-04,28
2013-05-05,0
2013-05-06,46
2013-05-07,23
2013-05-08,31
2013-05-09,24
2013-05-10,0
2013-05-11,27
2013-05-12,27
2013-05-13,22
2013-05-14,22
2013-05-15,0
2013-05-16,34
2013-05-17,47
2013-05-18,27
2013-05-19,53
2013-05-20,23
2013-05-21,0
2013-05-22,33
2013-05-23,45
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,22
2013-05-29,45
2013-05-30,23
2013-05-31,23
2013-06-01,0
2013-06-02,27
2013-06-03,33
2013-06-04,22
2013-06-05,22
2013-06-06,0
2013-06-07,24
2013-06-08,28
2013-06-09,27
2013-06-10,29
2013-06-11,22
2013-06-12,56
2013-06-13,23
2013-06-14,24
2013-06-15,41
2013-06-16,27
2013-06-17,22
2013-06-18,23
2013-06-19,45
2013-06-20,0
2013-06-21,24
2013-06-22,28
2013-06-23,27
2013-06-24,45
2013-06-25,22
2013-06-26,23
2013-06-27,34
2013-06-28,35
2013-06-29,56
2013-06-30,0
2013-07-01,23
2013-07-02,23
2013-07-03,23
2013-07-04,0
2013-07-05,0
2013-07-06,28
2013-07-07,0
2013-07-08,23
2013-07-09,23
2013-07-10,23
2013-07-11,47
2013-07-12,24
2013-07-13,0
2013-07-14,0
2013-07-15,23
2013-07-16,23
2013-07-17,0
2013-07-18,0
2013-07-19,72
2013-07-20,28
2013-07-21,28
2013-07-22,23
2013-07-23,22
2013-07-24,46
2013-07-25,0
2013-07-26,24
2013-07-27,42
2013-07-28,28
2013-07-29,34
2013-07-30,23
2013-07-31,23
2013-08-01,47
2013-08-02,24
2013-08-03,56
2013-08-04,28
2013-08-05,0
2013-08-06,23
2013-08-07,35
2013-08-08,24
2013-08-09,25
2013-08-10,0
2013-08-11,0
2013-08-12,23
2013-08-13,23
2013-08-14,23
2013-08-15,24
2013-08-16,24
2013-08-17,27
2013-08-18,27
2013-08-19,23
2013-08-20,22
2013-08-21,45
2013-08-22,35
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,22
2013-08-27,44
2013-08-28,45
2013-08-29,22
2013-08-30,23
2013-08-31,27
2013-09-01,26
2013-09-02,34
2013-09-03,22
2013-09-04,22
2013-09-05,44
2013-09-06,34
2013-09-07,26
2013-09-08,38
2013-09-09,0
2013-09-10,0
2013-09-11,43
2013-09-12,22
2013-09-13,34
2013-09-14,26
2013-09-15,0
2013-09-16,32
2013-09-17,21
2013-09-18,22
2013-09-19,22
2013-09-20,45
2013-09-21,26
2013-09-22,25
2013-09-23,21
2013-09-24,21
2013-09-25,29
2013-09-26,33
2013-09-27,23
2013-09-28,0
2013-09-29,63
2013-09-30,21
2013-10-01,43
2013-10-02,32
2013-10-03,0
2013-10-04,34
2013-10-05,25
2013-10-06,25
2013-10-07,0
2013-10-08,29
2013-10-09,0
2013-10-10,0
2013-10-11,30
2013-10-12,26
2013-10-13,0
2013-10-14,22
2013-10-15,32
2013-10-16,21
2013-10-17,33
2013-10-18,45
2013-10-19,25
2013-10-20,25
2013-10-21,21
2013-10-22,21
2013-10-23,21
2013-10-24,29
2013-10-25,22
2013-10-26,25
2013-10-27,100
2013-10-28,21
2013-10-29,21
2013-10-30,21
2013-10-31,22
2013-11-01,23
2013-11-02,25
2013-11-03,25
2013-11-04,21
2013-11-05,42
2013-11-06,21
