date,REGN
2011-01-01,16
2011-01-02,16
2011-01-03,16
2011-01-04,29
2011-01-05,17
2011-01-06,9
2011-01-07,12
2011-01-08,18
2011-01-09,16
2011-01-10,12
2011-01-11,18
2011-01-12,17
2011-01-13,21
2011-01-14,16
2011-01-15,14
2011-01-16,21
2011-01-17,17
2011-01-18,16
2011-01-19,12
2011-01-20,9
2011-01-21,12
2011-01-22,9
2011-01-23,12
2011-01-24,14
2011-01-25,11
2011-01-26,14
2011-01-27,11
2011-01-28,13
2011-01-29,14
2011-01-30,13
2011-01-31,12
2011-02-01,14
2011-02-02,13
2011-02-03,14
2011-02-04,14
2011-02-05,11
2011-02-06,16
2011-02-07,17
2011-02-08,17
2011-02-09,11
2011-02-10,16
2011-02-11,10
2011-02-12,12
2011-02-13,17
2011-02-14,16
2011-02-15,7
2011-02-16,13
2011-02-17,11
2011-02-18,15
2011-02-19,8
2011-02-20,17
2011-02-21,13
2011-02-22,13
2011-02-23,8
2011-02-24,20
2011-02-25,10
2011-02-26,13
2011-02-27,16
2011-02-28,11
2011-03-01,17
2011-03-02,10
2011-03-03,16
2011-03-04,16
2011-03-05,5
2011-03-06,12
2011-03-07,17
2011-03-08,12
2011-03-09,18
2011-03-10,14
2011-03-11,17
2011-03-12,10
2011-03-13,14
2011-03-14,14
2011-03-15,15
2011-03-16,12
2011-03-17,22
2011-03-18,16
2011-03-19,11
2011-03-20,17
2011-03-21,21
2011-03-22,22
2011-03-23,18
2011-03-24,15
2011-03-25,12
2011-03-26,13
2011-03-27,10
2011-03-28,15
2011-03-29,23
2011-03-30,36
2011-03-31,32
2011-04-01,14
2011-04-02,21
2011-04-03,20
2011-04-04,17
2011-04-05,28
2011-04-06,20
2011-04-07,14
2011-04-08,25
2011-04-09,8
2011-04-10,14
2011-04-11,23
2011-04-12,26
2011-04-13,18
2011-04-14,15
2011-04-15,16
2011-04-16,12
2011-04-17,9
2011-04-18,5
2011-04-19,14
2011-04-20,13
2011-04-21,12
2011-04-22,15
2011-04-23,12
2011-04-24,12
2011-04-25,17
2011-04-26,14
2011-04-27,28
2011-04-28,17
2011-04-29,17
2011-04-30,13
2011-05-01,12
2011-05-02,21
2011-05-03,23
2011-05-04,19
2011-05-05,23
2011-05-06,17
2011-05-07,14
2011-05-08,23
2011-05-09,17
2011-05-10,16
2011-05-11,20
2011-05-12,19
2011-05-13,21
2011-05-14,23
2011-05-15,28
2011-05-16,21
2011-05-17,32
2011-05-18,17
2011-05-19,24
2011-05-20,12
2011-05-21,11
2011-05-22,34
2011-05-23,24
2011-05-24,34
2011-05-25,25
2011-05-26,30
2011-05-27,32
2011-05-28,22
2011-05-29,19
2011-05-30,22
2011-05-31,49
2011-06-01,21
2011-06-02,16
2011-06-03,14
2011-06-04,12
2011-06-05,19
2011-06-06,17
2011-06-07,31
2011-06-08,30
2011-06-09,30
2011-06-10,29
2011-06-11,23
2011-06-12,17
2011-06-13,29
2011-06-14,18
2011-06-15,25
2011-06-16,24
2011-06-17,39
2011-06-18,26
2011-06-19,42
2011-06-20,30
2011-06-21,31
2011-06-22,19
2011-06-23,26
2011-06-24,23
2011-06-25,16
2011-06-26,13
2011-06-27,25
2011-06-28,15
2011-06-29,16
2011-06-30,18
2011-07-01,28
2011-07-02,60
2011-07-03,100
2011-07-04,52
2011-07-05,32
2011-07-06,20
2011-07-07,23
2011-07-08,30
2011-07-09,19
2011-07-10,14
2011-07-11,18
2011-07-12,19
2011-07-13,25
2011-07-14,35
2011-07-15,32
2011-07-16,23
2011-07-17,31
2011-07-18,30
2011-07-19,22
2011-07-20,21
2011-07-21,25
2011-07-22,38
2011-07-23,31
2011-07-24,34
2011-07-25,25
2011-07-26,17
2011-07-27,14
2011-07-28,29
2011-07-29,26
2011-07-30,23
2011-07-31,20
2011-08-01,14
2011-08-02,13
2011-08-03,19
2011-08-04,21
2011-08-05,21
2011-08-06,24
2011-08-07,40
2011-08-08,19
2011-08-09,32
2011-08-10,38
2011-08-11,36
2011-08-12,18
2011-08-13,18
2011-08-14,34
2011-08-15,47
2011-08-16,30
2011-08-17,22
2011-08-18,34
2011-08-19,40
2011-08-20,30
2011-08-21,20
2011-08-22,33
2011-08-23,18
2011-08-24,17
2011-08-25,23
2011-08-26,25
2011-08-27,29
2011-08-28,22
2011-08-29,32
2011-08-30,26
2011-08-31,21
2011-09-01,23
2011-09-02,19
2011-09-03,11
2011-09-04,44
2011-09-05,32
2011-09-06,40
2011-09-07,37
2011-09-08,28
2011-09-09,22
2011-09-10,13
2011-09-11,28
2011-09-12,33
2011-09-13,31
2011-09-14,23
2011-09-15,21
2011-09-16,12
2011-09-17,10
2011-09-18,17
