date,ROST
2012-10-12,37
2012-10-13,38
2012-10-14,44
2012-10-15,43
2012-10-16,36
2012-10-17,36
2012-10-18,40
2012-10-19,35
2012-10-20,41
2012-10-21,54
2012-10-22,40
2012-10-23,40
2012-10-24,42
2012-10-25,38
2012-10-26,35
2012-10-27,33
2012-10-28,38
2012-10-29,40
2012-10-30,41
2012-10-31,35
2012-11-01,38
2012-11-02,39
2012-11-03,32
2012-11-04,38
2012-11-05,37
2012-11-06,37
2012-11-07,38
2012-11-08,38
2012-11-09,37
2012-11-10,35
2012-11-11,43
2012-11-12,42
2012-11-13,37
2012-11-14,32
2012-11-15,35
2012-11-16,38
2012-11-17,38
2012-11-18,60
2012-11-19,49
2012-11-20,42
2012-11-21,40
2012-11-22,33
2012-11-23,36
2012-11-24,32
2012-11-25,44
2012-11-26,40
2012-11-27,38
2012-11-28,34
2012-11-29,39
2012-11-30,30
2012-12-01,33
2012-12-02,35
2012-12-03,43
2012-12-04,41
2012-12-05,31
2012-12-06,37
2012-12-07,36
2012-12-08,33
2012-12-09,35
2012-12-10,38
2012-12-11,31
2012-12-12,35
2012-12-13,37
2012-12-14,26
2012-12-15,33
2012-12-16,38
2012-12-17,35
2012-12-18,39
2012-12-19,35
2012-12-20,38
2012-12-21,33
2012-12-22,34
2012-12-23,35
2012-12-24,38
2012-12-25,51
2012-12-26,35
2012-12-27,42
2012-12-28,39
2012-12-29,34
2012-12-30,43
2012-12-31,34
2013-01-01,46
2013-01-02,47
2013-01-03,56
2013-01-04,46
2013-01-05,51
2013-01-06,54
2013-01-07,56
2013-01-08,58
2013-01-09,61
2013-01-10,100
2013-01-11,86
2013-01-12,92
2013-01-13,83
2013-01-14,66
2013-01-15,68
2013-01-16,56
2013-01-17,61
2013-01-18,54
2013-01-19,66
2013-01-20,75
2013-01-21,48
2013-01-22,50
2013-01-23,47
2013-01-24,60
2013-01-25,54
2013-01-26,66
2013-01-27,72
2013-01-28,50
2013-01-29,54
2013-01-30,54
2013-01-31,59
2013-02-01,54
2013-02-02,72
2013-02-03,66
2013-02-04,43
2013-02-05,46
2013-02-06,47
2013-02-07,47
2013-02-08,58
2013-02-09,53
2013-02-10,57
2013-02-11,48
2013-02-12,52
2013-02-13,47
2013-02-14,50
2013-02-15,49
2013-02-16,55
2013-02-17,62
2013-02-18,47
2013-02-19,53
2013-02-20,44
2013-02-21,47
2013-02-22,45
2013-02-23,54
2013-02-24,56
2013-02-25,43
2013-02-26,39
2013-02-27,44
2013-02-28,43
2013-03-01,55
2013-03-02,52
2013-03-03,54
2013-03-04,57
2013-03-05,45
2013-03-06,48
2013-03-07,56
2013-03-08,51
2013-03-09,54
2013-03-10,63
2013-03-11,44
2013-03-12,50
2013-03-13,48
2013-03-14,44
2013-03-15,40
2013-03-16,53
2013-03-17,49
2013-03-18,52
2013-03-19,41
2013-03-20,43
2013-03-21,49
2013-03-22,38
2013-03-23,48
2013-03-24,59
2013-03-25,45
2013-03-26,49
2013-03-27,45
2013-03-28,41
2013-03-29,45
2013-03-30,42
2013-03-31,50
2013-04-01,41
2013-04-02,41
2013-04-03,42
2013-04-04,42
2013-04-05,43
2013-04-06,41
2013-04-07,46
2013-04-08,51
2013-04-09,45
2013-04-10,45
2013-04-11,61
2013-04-12,37
2013-04-13,46
2013-04-14,55
2013-04-15,57
2013-04-16,47
2013-04-17,44
2013-04-18,43
2013-04-19,48
2013-04-20,50
2013-04-21,53
2013-04-22,47
2013-04-23,53
2013-04-24,40
2013-04-25,45
2013-04-26,44
2013-04-27,47
2013-04-28,49
2013-04-29,50
2013-04-30,40
2013-05-01,45
2013-05-02,45
2013-05-03,46
2013-05-04,38
2013-05-05,49
2013-05-06,45
2013-05-07,46
2013-05-08,47
2013-05-09,37
2013-05-10,46
2013-05-11,52
2013-05-12,57
2013-05-13,49
2013-05-14,52
2013-05-15,45
2013-05-16,39
2013-05-17,46
2013-05-18,43
2013-05-19,45
2013-05-20,41
2013-05-21,53
2013-05-22,48
2013-05-23,42
2013-05-24,35
2013-05-25,51
2013-05-26,47
2013-05-27,42
2013-05-28,45
2013-05-29,45
2013-05-30,45
2013-05-31,42
2013-06-01,40
2013-06-02,46
2013-06-03,43
2013-06-04,38
2013-06-05,36
2013-06-06,40
2013-06-07,43
2013-06-08,40
2013-06-09,53
2013-06-10,43
2013-06-11,38
2013-06-12,45
2013-06-13,39
2013-06-14,38
2013-06-15,43
2013-06-16,47
2013-06-17,49
2013-06-18,38
2013-06-19,44
2013-06-20,46
2013-06-21,41
2013-06-22,44
2013-06-23,55
2013-06-24,37
2013-06-25,38
2013-06-26,48
2013-06-27,44
2013-06-28,41
2013-06-29,44
