date,SBAC
2015-08-18,12
2015-08-19,12
2015-08-20,15
2015-08-21,13
2015-08-22,5
2015-08-23,6
2015-08-24,14
2015-08-25,16
2015-08-26,12
2015-08-27,12
2015-08-28,16
2015-08-29,13
2015-08-30,13
2015-08-31,16
2015-09-01,17
2015-09-02,17
2015-09-03,17
2015-09-04,16
2015-09-05,7
2015-09-06,6
2015-09-07,6
2015-09-08,17
2015-09-09,26
2015-09-10,26
2015-09-11,27
2015-09-12,12
2015-09-13,8
2015-09-14,23
2015-09-15,21
2015-09-16,21
2015-09-17,20
2015-09-18,22
2015-09-19,10
2015-09-20,11
2015-09-21,24
2015-09-22,16
2015-09-23,23
2015-09-24,21
2015-09-25,19
2015-09-26,8
2015-09-27,10
2015-09-28,17
2015-09-29,19
2015-09-30,20
2015-10-01,18
2015-10-02,21
2015-10-03,10
2015-10-04,9
2015-10-05,19
2015-10-06,17
2015-10-07,18
2015-10-08,14
2015-10-09,18
2015-10-10,8
2015-10-11,9
2015-10-12,16
2015-10-13,16
2015-10-14,17
2015-10-15,20
2015-10-16,12
2015-10-17,10
2015-10-18,8
2015-10-19,16
2015-10-20,21
2015-10-21,19
2015-10-22,17
2015-10-23,14
2015-10-24,7
2015-10-25,6
2015-10-26,16
2015-10-27,23
2015-10-28,17
2015-10-29,16
2015-10-30,14
2015-10-31,6
2015-11-01,6
2015-11-02,18
2015-11-03,23
2015-11-04,19
2015-11-05,23
2015-11-06,18
2015-11-07,4
2015-11-08,4
2015-11-09,15
2015-11-10,20
2015-11-11,11
2015-11-12,18
2015-11-13,19
2015-11-14,8
2015-11-15,7
2015-11-16,17
2015-11-17,15
2015-11-18,17
2015-11-19,16
2015-11-20,16
2015-11-21,5
2015-11-22,5
2015-11-23,12
2015-11-24,9
2015-11-25,8
2015-11-26,6
2015-11-27,4
2015-11-28,7
2015-11-29,6
2015-11-30,20
2015-12-01,17
2015-12-02,18
2015-12-03,15
2015-12-04,15
2015-12-05,5
2015-12-06,5
2015-12-07,13
2015-12-08,21
2015-12-09,16
2015-12-10,14
2015-12-11,11
2015-12-12,4
2015-12-13,5
2015-12-14,13
2015-12-15,13
2015-12-16,14
2015-12-17,16
2015-12-18,12
2015-12-19,5
2015-12-20,3
2015-12-21,7
2015-12-22,7
2015-12-23,7
2015-12-24,7
2015-12-25,4
2015-12-26,4
2015-12-27,2
2015-12-28,6
2015-12-29,4
2015-12-30,6
2015-12-31,1
2016-01-01,4
2016-01-02,7
2016-01-03,7
2016-01-04,14
2016-01-05,15
2016-01-06,21
2016-01-07,14
2016-01-08,17
2016-01-09,7
2016-01-10,7
2016-01-11,24
2016-01-12,29
2016-01-13,24
2016-01-14,27
2016-01-15,25
2016-01-16,6
2016-01-17,6
2016-01-18,8
2016-01-19,21
2016-01-20,29
2016-01-21,26
2016-01-22,25
2016-01-23,7
2016-01-24,7
2016-01-25,23
2016-01-26,30
2016-01-27,30
2016-01-28,23
2016-01-29,26
2016-01-30,7
2016-01-31,7
2016-02-01,24
2016-02-02,32
2016-02-03,29
2016-02-04,31
2016-02-05,24
2016-02-06,5
2016-02-07,7
2016-02-08,22
2016-02-09,31
2016-02-10,24
2016-02-11,29
2016-02-12,24
2016-02-13,6
2016-02-14,6
2016-02-15,7
2016-02-16,29
2016-02-17,24
2016-02-18,26
2016-02-19,28
2016-02-20,6
2016-02-21,7
2016-02-22,34
2016-02-23,31
2016-02-24,38
2016-02-25,36
2016-02-26,37
2016-02-27,8
2016-02-28,8
2016-02-29,37
2016-03-01,40
2016-03-02,37
2016-03-03,41
2016-03-04,32
2016-03-05,10
2016-03-06,9
2016-03-07,46
2016-03-08,54
2016-03-09,55
2016-03-10,52
2016-03-11,49
2016-03-12,8
2016-03-13,10
2016-03-14,50
2016-03-15,50
2016-03-16,57
2016-03-17,51
2016-03-18,46
2016-03-19,7
2016-03-20,9
2016-03-21,41
2016-03-22,44
2016-03-23,34
2016-03-24,39
2016-03-25,29
2016-03-26,8
2016-03-27,8
2016-03-28,52
2016-03-29,64
2016-03-30,67
2016-03-31,69
2016-04-01,57
2016-04-02,10
2016-04-03,13
2016-04-04,93
2016-04-05,86
2016-04-06,91
2016-04-07,89
2016-04-08,69
2016-04-09,14
2016-04-10,13
2016-04-11,100
2016-04-12,94
2016-04-13,87
2016-04-14,94
2016-04-15,83
2016-04-16,17
2016-04-17,20
2016-04-18,99
2016-04-19,94
2016-04-20,84
2016-04-21,80
2016-04-22,75
2016-04-23,17
2016-04-24,17
2016-04-25,93
2016-04-26,93
2016-04-27,82
2016-04-28,85
2016-04-29,67
2016-04-30,19
2016-05-01,16
2016-05-02,81
2016-05-03,76
2016-05-04,66
