date,SBUX
2016-05-04,32
2016-05-05,31
2016-05-06,35
2016-05-07,13
2016-05-08,9
2016-05-09,28
2016-05-10,35
2016-05-11,33
2016-05-12,36
2016-05-13,30
2016-05-14,13
2016-05-15,13
2016-05-16,35
2016-05-17,32
2016-05-18,30
2016-05-19,28
2016-05-20,33
2016-05-21,11
2016-05-22,9
2016-05-23,35
2016-05-24,27
2016-05-25,41
2016-05-26,37
2016-05-27,33
2016-05-28,15
2016-05-29,12
2016-05-30,12
2016-05-31,31
2016-06-01,37
2016-06-02,38
2016-06-03,34
2016-06-04,12
2016-06-05,11
2016-06-06,29
2016-06-07,31
2016-06-08,31
2016-06-09,26
2016-06-10,29
2016-06-11,10
2016-06-12,10
2016-06-13,29
2016-06-14,26
2016-06-15,29
2016-06-16,36
2016-06-17,29
2016-06-18,9
2016-06-19,9
2016-06-20,27
2016-06-21,28
2016-06-22,27
2016-06-23,26
2016-06-24,56
2016-06-25,17
2016-06-26,11
2016-06-27,30
2016-06-28,32
2016-06-29,29
2016-06-30,34
2016-07-01,32
2016-07-02,16
2016-07-03,12
2016-07-04,15
2016-07-05,22
2016-07-06,25
2016-07-07,23
2016-07-08,32
2016-07-09,21
2016-07-10,10
2016-07-11,32
2016-07-12,39
2016-07-13,38
2016-07-14,39
2016-07-15,24
2016-07-16,17
2016-07-17,10
2016-07-18,32
2016-07-19,30
2016-07-20,40
2016-07-21,80
2016-07-22,75
2016-07-23,22
2016-07-24,16
2016-07-25,31
2016-07-26,43
2016-07-27,27
2016-07-28,31
2016-07-29,33
2016-07-30,11
2016-07-31,9
2016-08-01,35
2016-08-02,32
2016-08-03,26
2016-08-04,40
2016-08-05,37
2016-08-06,14
2016-08-07,6
2016-08-08,29
2016-08-09,26
2016-08-10,29
2016-08-11,26
2016-08-12,21
2016-08-13,9
2016-08-14,11
2016-08-15,29
2016-08-16,26
2016-08-17,25
2016-08-18,32
2016-08-19,32
2016-08-20,13
2016-08-21,8
2016-08-22,27
2016-08-23,29
2016-08-24,35
2016-08-25,33
2016-08-26,28
2016-08-27,13
2016-08-28,15
2016-08-29,25
2016-08-30,25
2016-08-31,24
2016-09-01,31
2016-09-02,34
2016-09-03,8
2016-09-04,12
2016-09-05,13
2016-09-06,27
2016-09-07,34
2016-09-08,30
2016-09-09,28
2016-09-10,17
2016-09-11,11
2016-09-12,33
2016-09-13,33
2016-09-14,29
2016-09-15,30
2016-09-16,35
2016-09-17,11
2016-09-18,7
2016-09-19,29
2016-09-20,24
2016-09-21,26
2016-09-22,30
2016-09-23,24
2016-09-24,20
2016-09-25,11
2016-09-26,28
2016-09-27,29
2016-09-28,26
2016-09-29,21
2016-09-30,20
2016-10-01,11
2016-10-02,12
2016-10-03,21
2016-10-04,28
2016-10-05,30
2016-10-06,30
2016-10-07,30
2016-10-08,10
2016-10-09,6
2016-10-10,28
2016-10-11,30
2016-10-12,29
2016-10-13,25
2016-10-14,24
2016-10-15,10
2016-10-16,10
2016-10-17,25
2016-10-18,25
2016-10-19,37
2016-10-20,32
2016-10-21,36
2016-10-22,9
2016-10-23,11
2016-10-24,36
2016-10-25,27
2016-10-26,26
2016-10-27,28
2016-10-28,30
2016-10-29,13
2016-10-30,11
2016-10-31,23
2016-11-01,33
2016-11-02,40
2016-11-03,69
2016-11-04,72
2016-11-05,15
2016-11-06,14
2016-11-07,36
2016-11-08,36
2016-11-09,57
2016-11-10,38
2016-11-11,37
2016-11-12,16
2016-11-13,11
2016-11-14,27
2016-11-15,36
2016-11-16,37
2016-11-17,33
2016-11-18,30
2016-11-19,17
2016-11-20,9
2016-11-21,26
2016-11-22,37
2016-11-23,32
2016-11-24,22
2016-11-25,23
2016-11-26,17
2016-11-27,13
2016-11-28,32
2016-11-29,38
2016-11-30,33
2016-12-01,89
2016-12-02,100
2016-12-03,24
2016-12-04,16
2016-12-05,34
2016-12-06,25
2016-12-07,46
2016-12-08,49
2016-12-09,42
2016-12-10,15
2016-12-11,8
2016-12-12,34
2016-12-13,37
2016-12-14,35
2016-12-15,30
2016-12-16,36
2016-12-17,13
2016-12-18,12
2016-12-19,31
2016-12-20,29
2016-12-21,25
2016-12-22,26
2016-12-23,29
2016-12-24,11
2016-12-25,11
2016-12-26,13
2016-12-27,24
2016-12-28,31
2016-12-29,27
2016-12-30,20
2016-12-31,13
2017-01-01,11
2017-01-02,11
2017-01-03,21
2017-01-04,29
2017-01-05,28
2017-01-06,23
2017-01-07,16
2017-01-08,6
2017-01-09,28
2017-01-10,27
2017-01-11,24
2017-01-12,35
2017-01-13,29
2017-01-14,11
2017-01-15,7
2017-01-16,15
2017-01-17,28
2017-01-18,26
2017-01-19,31
