date,SIRI
2015-04-10,38
2015-04-11,35
2015-04-12,31
2015-04-13,23
2015-04-14,24
2015-04-15,22
2015-04-16,20
2015-04-17,20
2015-04-18,21
2015-04-19,20
2015-04-20,16
2015-04-21,15
2015-04-22,14
2015-04-23,15
2015-04-24,15
2015-04-25,17
2015-04-26,17
2015-04-27,14
2015-04-28,13
2015-04-29,13
2015-04-30,13
2015-05-01,16
2015-05-02,17
2015-05-03,16
2015-05-04,13
2015-05-05,13
2015-05-06,13
2015-05-07,12
2015-05-08,13
2015-05-09,15
2015-05-10,16
2015-05-11,12
2015-05-12,12
2015-05-13,12
2015-05-14,13
2015-05-15,14
2015-05-16,15
2015-05-17,15
2015-05-18,12
2015-05-19,12
2015-05-20,12
2015-05-21,12
2015-05-22,12
2015-05-23,14
2015-05-24,14
2015-05-25,12
2015-05-26,12
2015-05-27,12
2015-05-28,12
2015-05-29,13
2015-05-30,15
2015-05-31,14
2015-06-01,12
2015-06-02,12
2015-06-03,12
2015-06-04,13
2015-06-05,13
2015-06-06,14
2015-06-07,15
2015-06-08,13
2015-06-09,14
2015-06-10,13
2015-06-11,13
2015-06-12,13
2015-06-13,14
2015-06-14,15
2015-06-15,12
2015-06-16,12
2015-06-17,12
2015-06-18,12
2015-06-19,16
2015-06-20,19
2015-06-21,17
2015-06-22,14
2015-06-23,14
2015-06-24,14
2015-06-25,13
2015-06-26,17
2015-06-27,18
2015-06-28,21
2015-06-29,23
2015-06-30,83
2015-07-01,100
2015-07-02,60
2015-07-03,47
2015-07-04,43
2015-07-05,38
2015-07-06,29
2015-07-07,27
2015-07-08,25
2015-07-09,25
2015-07-10,25
2015-07-11,28
2015-07-12,27
2015-07-13,21
2015-07-14,21
2015-07-15,21
2015-07-16,25
2015-07-17,24
2015-07-18,26
2015-07-19,24
2015-07-20,19
2015-07-21,19
2015-07-22,19
2015-07-23,19
2015-07-24,19
2015-07-25,21
2015-07-26,21
2015-07-27,17
2015-07-28,18
2015-07-29,18
2015-07-30,19
2015-07-31,19
2015-08-01,21
2015-08-02,21
2015-08-03,16
2015-08-04,18
2015-08-05,17
2015-08-06,17
2015-08-07,17
2015-08-08,21
2015-08-09,20
2015-08-10,17
2015-08-11,16
2015-08-12,17
2015-08-13,16
2015-08-14,17
2015-08-15,21
2015-08-16,20
2015-08-17,18
2015-08-18,17
2015-08-19,16
2015-08-20,16
2015-08-21,17
2015-08-22,19
2015-08-23,19
2015-08-24,15
2015-08-25,15
2015-08-26,15
2015-08-27,18
2015-08-28,19
2015-08-29,20
2015-08-30,21
2015-08-31,15
2015-09-01,15
2015-09-02,15
2015-09-03,15
2015-09-04,16
2015-09-05,19
2015-09-06,19
2015-09-07,16
2015-09-08,15
2015-09-09,21
2015-09-10,19
2015-09-11,19
2015-09-12,22
2015-09-13,21
2015-09-14,16
2015-09-15,16
2015-09-16,19
2015-09-17,27
2015-09-18,28
2015-09-19,31
2015-09-20,30
2015-09-21,22
2015-09-22,22
2015-09-23,27
2015-09-24,27
2015-09-25,27
2015-09-26,32
2015-09-27,31
2015-09-28,22
2015-09-29,22
2015-09-30,22
2015-10-01,23
2015-10-02,23
2015-10-03,27
2015-10-04,27
2015-10-05,21
2015-10-06,20
2015-10-07,19
2015-10-08,19
2015-10-09,21
2015-10-10,25
2015-10-11,24
2015-10-12,20
2015-10-13,19
2015-10-14,18
2015-10-15,19
2015-10-16,19
2015-10-17,23
2015-10-18,23
2015-10-19,18
2015-10-20,18
2015-10-21,19
2015-10-22,20
2015-10-23,19
2015-10-24,24
2015-10-25,22
2015-10-26,18
2015-10-27,18
2015-10-28,18
2015-10-29,19
2015-10-30,19
2015-10-31,22
2015-11-01,22
2015-11-02,18
2015-11-03,18
2015-11-04,17
2015-11-05,17
2015-11-06,18
2015-11-07,22
2015-11-08,22
2015-11-09,18
2015-11-10,16
2015-11-11,17
2015-11-12,17
2015-11-13,18
2015-11-14,21
2015-11-15,21
2015-11-16,17
2015-11-17,18
2015-11-18,17
2015-11-19,17
2015-11-20,19
2015-11-21,21
2015-11-22,22
2015-11-23,17
2015-11-24,16
2015-11-25,17
2015-11-26,19
2015-11-27,19
2015-11-28,22
2015-11-29,22
2015-11-30,15
2015-12-01,15
2015-12-02,16
2015-12-03,16
2015-12-04,17
2015-12-05,20
2015-12-06,20
2015-12-07,16
2015-12-08,16
2015-12-09,17
2015-12-10,18
2015-12-11,19
2015-12-12,22
2015-12-13,22
2015-12-14,16
2015-12-15,17
2015-12-16,18
2015-12-17,18
2015-12-18,19
2015-12-19,23
2015-12-20,23
2015-12-21,19
2015-12-22,19
2015-12-23,19
2015-12-24,24
2015-12-25,39
2015-12-26,31
