date,SRCL
2012-10-12,46
2012-10-13,26
2012-10-14,25
2012-10-15,41
2012-10-16,35
2012-10-17,74
2012-10-18,64
2012-10-19,59
2012-10-20,25
2012-10-21,25
2012-10-22,35
2012-10-23,35
2012-10-24,84
2012-10-25,75
2012-10-26,89
2012-10-27,77
2012-10-28,24
2012-10-29,41
2012-10-30,34
2012-10-31,21
2012-11-01,37
2012-11-02,30
2012-11-03,25
2012-11-04,24
2012-11-05,69
2012-11-06,41
2012-11-07,47
2012-11-08,32
2012-11-09,66
2012-11-10,0
2012-11-11,24
2012-11-12,55
2012-11-13,35
2012-11-14,42
2012-11-15,43
2012-11-16,58
2012-11-17,25
2012-11-18,24
2012-11-19,41
2012-11-20,31
2012-11-21,35
2012-11-22,22
2012-11-23,22
2012-11-24,24
2012-11-25,40
2012-11-26,100
2012-11-27,30
2012-11-28,30
2012-11-29,34
2012-11-30,64
2012-12-01,24
2012-12-02,0
2012-12-03,47
2012-12-04,27
2012-12-05,27
2012-12-06,41
2012-12-07,29
2012-12-08,0
2012-12-09,24
2012-12-10,50
2012-12-11,51
2012-12-12,20
2012-12-13,21
2012-12-14,21
2012-12-15,24
2012-12-16,0
2012-12-17,34
2012-12-18,31
2012-12-19,52
2012-12-20,53
2012-12-21,22
2012-12-22,25
2012-12-23,0
2012-12-24,25
2012-12-25,27
2012-12-26,23
2012-12-27,22
2012-12-28,45
2012-12-29,25
2012-12-30,25
2012-12-31,25
2013-01-01,53
2013-01-02,28
2013-01-03,48
2013-01-04,35
2013-01-05,0
2013-01-06,0
2013-01-07,20
2013-01-08,19
2013-01-09,32
2013-01-10,60
2013-01-11,41
2013-01-12,0
2013-01-13,23
2013-01-14,58
2013-01-15,38
2013-01-16,29
2013-01-17,29
2013-01-18,30
2013-01-19,23
2013-01-20,23
2013-01-21,48
2013-01-22,32
2013-01-23,48
2013-01-24,32
2013-01-25,20
2013-01-26,23
2013-01-27,22
2013-01-28,44
2013-01-29,31
2013-01-30,0
2013-01-31,48
2013-02-01,20
2013-02-02,23
2013-02-03,0
2013-02-04,19
2013-02-05,70
2013-02-06,32
2013-02-07,45
2013-02-08,34
2013-02-09,46
2013-02-10,31
2013-02-11,20
2013-02-12,39
2013-02-13,51
2013-02-14,39
2013-02-15,20
2013-02-16,30
2013-02-17,22
2013-02-18,45
2013-02-19,25
2013-02-20,25
2013-02-21,32
2013-02-22,50
2013-02-23,22
2013-02-24,0
2013-02-25,56
2013-02-26,19
2013-02-27,19
2013-02-28,25
2013-03-01,30
2013-03-02,22
2013-03-03,0
2013-03-04,19
2013-03-05,38
2013-03-06,31
2013-03-07,26
2013-03-08,46
2013-03-09,22
2013-03-10,0
2013-03-11,56
2013-03-12,18
2013-03-13,46
2013-03-14,31
2013-03-15,19
2013-03-16,0
2013-03-17,0
2013-03-18,37
2013-03-19,37
2013-03-20,50
2013-03-21,25
2013-03-22,39
2013-03-23,22
2013-03-24,0
2013-03-25,47
2013-03-26,56
2013-03-27,48
2013-03-28,30
2013-03-29,0
2013-03-30,46
2013-03-31,0
2013-04-01,39
2013-04-02,25
2013-04-03,37
2013-04-04,19
2013-04-05,38
2013-04-06,0
2013-04-07,22
2013-04-08,55
2013-04-09,28
2013-04-10,25
2013-04-11,56
2013-04-12,58
2013-04-13,22
2013-04-14,22
2013-04-15,37
2013-04-16,49
2013-04-17,43
2013-04-18,56
2013-04-19,39
2013-04-20,22
2013-04-21,22
2013-04-22,56
2013-04-23,49
2013-04-24,56
2013-04-25,58
2013-04-26,33
2013-04-27,45
2013-04-28,22
2013-04-29,37
2013-04-30,38
2013-05-01,20
2013-05-02,38
2013-05-03,20
2013-05-04,45
2013-05-05,23
2013-05-06,25
2013-05-07,37
2013-05-08,38
2013-05-09,39
2013-05-10,20
2013-05-11,22
2013-05-12,22
2013-05-13,18
2013-05-14,65
2013-05-15,28
2013-05-16,46
2013-05-17,39
2013-05-18,22
2013-05-19,0
2013-05-20,31
2013-05-21,54
2013-05-22,64
2013-05-23,31
2013-05-24,39
2013-05-25,23
2013-05-26,0
2013-05-27,19
2013-05-28,36
2013-05-29,30
2013-05-30,50
2013-05-31,39
2013-06-01,0
2013-06-02,22
2013-06-03,48
2013-06-04,42
2013-06-05,56
2013-06-06,37
2013-06-07,49
2013-06-08,0
2013-06-09,22
2013-06-10,36
2013-06-11,42
2013-06-12,27
2013-06-13,25
2013-06-14,32
2013-06-15,23
2013-06-16,0
2013-06-17,49
2013-06-18,19
2013-06-19,49
2013-06-20,28
2013-06-21,20
2013-06-22,34
2013-06-23,45
2013-06-24,37
2013-06-25,28
2013-06-26,31
2013-06-27,47
2013-06-28,52
2013-06-29,23
