date,STX
2013-06-29,68
2013-06-30,80
2013-07-01,100
2013-07-02,98
2013-07-03,98
2013-07-04,89
2013-07-05,89
2013-07-06,70
2013-07-07,74
2013-07-08,93
2013-07-09,81
2013-07-10,87
2013-07-11,92
2013-07-12,88
2013-07-13,74
2013-07-14,79
2013-07-15,84
2013-07-16,84
2013-07-17,77
2013-07-18,78
2013-07-19,80
2013-07-20,68
2013-07-21,73
2013-07-22,74
2013-07-23,84
2013-07-24,71
2013-07-25,82
2013-07-26,83
2013-07-27,73
2013-07-28,68
2013-07-29,83
2013-07-30,81
2013-07-31,83
2013-08-01,93
2013-08-02,87
2013-08-03,76
2013-08-04,59
2013-08-05,87
2013-08-06,85
2013-08-07,77
2013-08-08,75
2013-08-09,79
2013-08-10,55
2013-08-11,65
2013-08-12,90
2013-08-13,87
2013-08-14,83
2013-08-15,72
2013-08-16,84
2013-08-17,60
2013-08-18,64
2013-08-19,86
2013-08-20,80
2013-08-21,84
2013-08-22,89
2013-08-23,85
2013-08-24,62
2013-08-25,64
2013-08-26,82
2013-08-27,80
2013-08-28,86
2013-08-29,87
2013-08-30,80
2013-08-31,71
2013-09-01,52
2013-09-02,80
2013-09-03,78
2013-09-04,85
2013-09-05,86
2013-09-06,70
2013-09-07,53
2013-09-08,64
2013-09-09,77
2013-09-10,74
2013-09-11,77
2013-09-12,78
2013-09-13,71
2013-09-14,53
2013-09-15,57
2013-09-16,78
2013-09-17,78
2013-09-18,68
2013-09-19,63
2013-09-20,63
2013-09-21,57
2013-09-22,73
2013-09-23,88
2013-09-24,71
2013-09-25,78
2013-09-26,80
2013-09-27,70
2013-09-28,61
2013-09-29,70
2013-09-30,77
2013-10-01,77
2013-10-02,78
2013-10-03,66
2013-10-04,66
2013-10-05,55
2013-10-06,69
2013-10-07,73
2013-10-08,71
2013-10-09,72
2013-10-10,71
2013-10-11,73
2013-10-12,50
2013-10-13,59
2013-10-14,69
2013-10-15,66
2013-10-16,70
2013-10-17,74
2013-10-18,64
2013-10-19,58
2013-10-20,48
2013-10-21,71
2013-10-22,67
2013-10-23,57
2013-10-24,64
2013-10-25,68
2013-10-26,60
2013-10-27,51
2013-10-28,70
2013-10-29,67
2013-10-30,73
2013-10-31,72
2013-11-01,69
2013-11-02,56
2013-11-03,57
2013-11-04,66
2013-11-05,76
2013-11-06,84
2013-11-07,68
2013-11-08,67
2013-11-09,63
2013-11-10,60
2013-11-11,78
2013-11-12,67
2013-11-13,72
2013-11-14,68
2013-11-15,70
2013-11-16,52
2013-11-17,65
2013-11-18,78
2013-11-19,69
2013-11-20,62
2013-11-21,65
2013-11-22,60
2013-11-23,51
2013-11-24,47
2013-11-25,72
2013-11-26,66
2013-11-27,68
2013-11-28,66
2013-11-29,72
2013-11-30,53
2013-12-01,54
2013-12-02,71
2013-12-03,62
2013-12-04,66
2013-12-05,67
2013-12-06,66
2013-12-07,51
2013-12-08,55
2013-12-09,61
2013-12-10,79
2013-12-11,73
2013-12-12,63
2013-12-13,67
2013-12-14,60
2013-12-15,58
2013-12-16,81
2013-12-17,78
2013-12-18,78
2013-12-19,84
2013-12-20,65
2013-12-21,65
2013-12-22,51
2013-12-23,63
2013-12-24,51
2013-12-25,53
2013-12-26,70
2013-12-27,68
2013-12-28,59
2013-12-29,57
2013-12-30,66
2013-12-31,50
2014-01-01,50
2014-01-02,67
2014-01-03,68
2014-01-04,60
2014-01-05,51
2014-01-06,67
2014-01-07,75
2014-01-08,68
2014-01-09,68
2014-01-10,63
2014-01-11,62
2014-01-12,64
2014-01-13,74
2014-01-14,86
2014-01-15,81
2014-01-16,78
2014-01-17,65
2014-01-18,62
2014-01-19,74
2014-01-20,74
2014-01-21,72
2014-01-22,74
2014-01-23,74
2014-01-24,66
2014-01-25,56
2014-01-26,60
2014-01-27,72
2014-01-28,80
2014-01-29,65
2014-01-30,67
2014-01-31,59
2014-02-01,56
2014-02-02,66
2014-02-03,70
2014-02-04,72
2014-02-05,83
2014-02-06,73
2014-02-07,75
2014-02-08,62
2014-02-09,60
2014-02-10,68
2014-02-11,80
2014-02-12,69
2014-02-13,68
2014-02-14,64
2014-02-15,48
2014-02-16,59
2014-02-17,70
2014-02-18,75
2014-02-19,75
2014-02-20,80
2014-02-21,69
2014-02-22,66
2014-02-23,62
2014-02-24,75
2014-02-25,80
2014-02-26,70
2014-02-27,67
2014-02-28,72
2014-03-01,62
2014-03-02,71
2014-03-03,81
2014-03-04,74
2014-03-05,77
2014-03-06,75
2014-03-07,83
2014-03-08,61
2014-03-09,71
2014-03-10,83
2014-03-11,68
2014-03-12,74
2014-03-13,70
2014-03-14,76
2014-03-15,67
2014-03-16,76
