date,SWKS
2011-05-11,32
2011-05-12,16
2011-05-13,0
2011-05-14,40
2011-05-15,0
2011-05-16,31
2011-05-17,48
2011-05-18,32
2011-05-19,65
2011-05-20,34
2011-05-21,31
2011-05-22,0
2011-05-23,24
2011-05-24,47
2011-05-25,32
2011-05-26,24
2011-05-27,59
2011-05-28,0
2011-05-29,21
2011-05-30,51
2011-05-31,24
2011-06-01,16
2011-06-02,0
2011-06-03,43
2011-06-04,0
2011-06-05,20
2011-06-06,32
2011-06-07,16
2011-06-08,16
2011-06-09,24
2011-06-10,17
2011-06-11,0
2011-06-12,0
2011-06-13,48
2011-06-14,31
2011-06-15,16
2011-06-16,24
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,31
2011-06-21,15
2011-06-22,16
2011-06-23,33
2011-06-24,26
2011-06-25,41
2011-06-26,0
2011-06-27,32
2011-06-28,0
2011-06-29,24
2011-06-30,16
2011-07-01,26
2011-07-02,0
2011-07-03,21
2011-07-04,0
2011-07-05,32
2011-07-06,32
2011-07-07,57
2011-07-08,26
2011-07-09,0
2011-07-10,0
2011-07-11,32
2011-07-12,24
2011-07-13,16
2011-07-14,0
2011-07-15,17
2011-07-16,42
2011-07-17,62
2011-07-18,16
2011-07-19,16
2011-07-20,33
2011-07-21,33
2011-07-22,42
2011-07-23,0
2011-07-24,20
2011-07-25,16
2011-07-26,64
2011-07-27,0
2011-07-28,33
2011-07-29,34
2011-07-30,21
2011-07-31,0
2011-08-01,41
2011-08-02,33
2011-08-03,40
2011-08-04,24
2011-08-05,25
2011-08-06,0
2011-08-07,20
2011-08-08,16
2011-08-09,16
2011-08-10,31
2011-08-11,16
2011-08-12,42
2011-08-13,20
2011-08-14,0
2011-08-15,33
2011-08-16,0
2011-08-17,16
2011-08-18,64
2011-08-19,16
2011-08-20,20
2011-08-21,19
2011-08-22,15
2011-08-23,0
2011-08-24,15
2011-08-25,15
2011-08-26,16
2011-08-27,19
2011-08-28,29
2011-08-29,46
2011-08-30,15
2011-08-31,0
2011-09-01,16
2011-09-02,16
2011-09-03,19
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,22
2011-09-08,22
2011-09-09,23
2011-09-10,27
2011-09-11,18
2011-09-12,14
2011-09-13,22
2011-09-14,29
2011-09-15,15
2011-09-16,23
2011-09-17,18
2011-09-18,26
2011-09-19,14
2011-09-20,14
2011-09-21,22
2011-09-22,22
2011-09-23,0
2011-09-24,0
2011-09-25,0
2011-09-26,22
2011-09-27,14
2011-09-28,0
2011-09-29,37
2011-09-30,54
2011-10-01,55
2011-10-02,18
2011-10-03,29
2011-10-04,22
2011-10-05,43
2011-10-06,29
2011-10-07,30
2011-10-08,18
2011-10-09,17
2011-10-10,14
2011-10-11,13
2011-10-12,35
2011-10-13,22
2011-10-14,15
2011-10-15,18
2011-10-16,17
2011-10-17,28
2011-10-18,21
2011-10-19,14
2011-10-20,22
2011-10-21,30
2011-10-22,18
2011-10-23,17
2011-10-24,28
2011-10-25,14
2011-10-26,22
2011-10-27,29
2011-10-28,30
2011-10-29,0
2011-10-30,34
2011-10-31,44
2011-11-01,15
2011-11-02,29
2011-11-03,100
2011-11-04,66
2011-11-05,43
2011-11-06,17
2011-11-07,84
2011-11-08,28
2011-11-09,14
2011-11-10,28
2011-11-11,15
2011-11-12,0
2011-11-13,0
2011-11-14,14
2011-11-15,14
2011-11-16,14
2011-11-17,56
2011-11-18,29
2011-11-19,17
2011-11-20,17
2011-11-21,14
2011-11-22,21
2011-11-23,28
2011-11-24,15
2011-11-25,15
2011-11-26,0
2011-11-27,16
2011-11-28,27
2011-11-29,68
2011-11-30,49
2011-12-01,28
2011-12-02,15
2011-12-03,0
2011-12-04,0
2011-12-05,27
2011-12-06,27
2011-12-07,0
2011-12-08,14
2011-12-09,14
2011-12-10,34
2011-12-11,17
2011-12-12,14
2011-12-13,41
2011-12-14,14
2011-12-15,21
2011-12-16,0
2011-12-17,17
2011-12-18,0
2011-12-19,21
2011-12-20,28
2011-12-21,29
2011-12-22,15
2011-12-23,16
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,15
2011-12-28,0
2011-12-29,0
2011-12-30,31
2011-12-31,0
2012-01-01,19
2012-01-02,0
2012-01-03,14
2012-01-04,20
2012-01-05,14
2012-01-06,43
2012-01-07,16
2012-01-08,15
2012-01-09,20
2012-01-10,39
2012-01-11,0
2012-01-12,13
2012-01-13,21
2012-01-14,0
2012-01-15,16
2012-01-16,52
2012-01-17,13
2012-01-18,32
2012-01-19,72
2012-01-20,41
2012-01-21,31
2012-01-22,15
2012-01-23,13
2012-01-24,19
2012-01-25,19
2012-01-26,40
