date,SYMC
2013-06-29,20
2013-06-30,10
2013-07-01,22
2013-07-02,30
2013-07-03,36
2013-07-04,26
2013-07-05,18
2013-07-06,14
2013-07-07,17
2013-07-08,11
2013-07-09,39
2013-07-10,28
2013-07-11,17
2013-07-12,26
2013-07-13,17
2013-07-14,17
2013-07-15,33
2013-07-16,19
2013-07-17,31
2013-07-18,29
2013-07-19,15
2013-07-20,17
2013-07-21,21
2013-07-22,25
2013-07-23,41
2013-07-24,28
2013-07-25,34
2013-07-26,15
2013-07-27,7
2013-07-28,7
2013-07-29,44
2013-07-30,61
2013-07-31,100
2013-08-01,99
2013-08-02,67
2013-08-03,20
2013-08-04,34
2013-08-05,62
2013-08-06,50
2013-08-07,40
2013-08-08,46
2013-08-09,21
2013-08-10,21
2013-08-11,17
2013-08-12,39
2013-08-13,33
2013-08-14,31
2013-08-15,23
2013-08-16,30
2013-08-17,13
2013-08-18,26
2013-08-19,22
2013-08-20,33
2013-08-21,50
2013-08-22,64
2013-08-23,35
2013-08-24,7
2013-08-25,10
2013-08-26,19
2013-08-27,37
2013-08-28,43
2013-08-29,22
2013-08-30,39
2013-08-31,16
2013-09-01,16
2013-09-02,38
2013-09-03,32
2013-09-04,37
2013-09-05,27
2013-09-06,17
2013-09-07,6
2013-09-08,6
2013-09-09,37
2013-09-10,18
2013-09-11,26
2013-09-12,29
2013-09-13,22
2013-09-14,19
2013-09-15,0
2013-09-16,34
2013-09-17,36
2013-09-18,29
2013-09-19,34
2013-09-20,36
2013-09-21,50
2013-09-22,6
2013-09-23,57
2013-09-24,26
2013-09-25,18
2013-09-26,29
2013-09-27,19
2013-09-28,19
2013-09-29,12
2013-09-30,46
2013-10-01,46
2013-10-02,36
2013-10-03,26
2013-10-04,16
2013-10-05,12
2013-10-06,12
2013-10-07,36
2013-10-08,34
2013-10-09,31
2013-10-10,21
2013-10-11,44
2013-10-12,25
2013-10-13,6
2013-10-14,16
2013-10-15,16
2013-10-16,31
2013-10-17,21
2013-10-18,24
2013-10-19,31
2013-10-20,6
2013-10-21,20
2013-10-22,28
2013-10-23,82
2013-10-24,96
2013-10-25,35
2013-10-26,21
2013-10-27,18
2013-10-28,40
2013-10-29,30
2013-10-30,15
2013-10-31,29
2013-11-01,22
2013-11-02,12
2013-11-03,9
2013-11-04,31
2013-11-05,25
2013-11-06,25
2013-11-07,25
2013-11-08,35
2013-11-09,9
2013-11-10,6
2013-11-11,25
2013-11-12,48
2013-11-13,31
2013-11-14,36
2013-11-15,21
2013-11-16,18
2013-11-17,6
2013-11-18,20
2013-11-19,22
2013-11-20,15
2013-11-21,45
2013-11-22,24
2013-11-23,12
2013-11-24,6
2013-11-25,42
2013-11-26,25
2013-11-27,38
2013-11-28,35
2013-11-29,24
2013-11-30,12
2013-12-01,20
2013-12-02,27
2013-12-03,37
2013-12-04,33
2013-12-05,33
2013-12-06,50
2013-12-07,9
2013-12-08,9
2013-12-09,35
2013-12-10,27
2013-12-11,23
2013-12-12,31
2013-12-13,5
2013-12-14,6
2013-12-15,12
2013-12-16,31
2013-12-17,39
2013-12-18,29
2013-12-19,19
2013-12-20,11
2013-12-21,13
2013-12-22,9
2013-12-23,25
2013-12-24,25
2013-12-25,24
2013-12-26,26
2013-12-27,34
2013-12-28,6
2013-12-29,27
2013-12-30,30
2013-12-31,31
2014-01-01,20
2014-01-02,21
2014-01-03,26
2014-01-04,20
2014-01-05,23
2014-01-06,28
2014-01-07,39
2014-01-08,25
2014-01-09,30
2014-01-10,31
2014-01-11,31
2014-01-12,11
2014-01-13,22
2014-01-14,39
2014-01-15,27
2014-01-16,22
2014-01-17,28
2014-01-18,14
2014-01-19,6
2014-01-20,20
2014-01-21,24
2014-01-22,22
2014-01-23,36
2014-01-24,35
2014-01-25,17
2014-01-26,14
2014-01-27,19
2014-01-28,29
2014-01-29,52
2014-01-30,91
2014-01-31,31
2014-02-01,17
2014-02-02,11
2014-02-03,31
2014-02-04,43
2014-02-05,36
2014-02-06,29
2014-02-07,30
2014-02-08,14
2014-02-09,8
2014-02-10,21
2014-02-11,38
2014-02-12,29
2014-02-13,29
2014-02-14,15
2014-02-15,14
2014-02-16,17
2014-02-17,24
2014-02-18,38
2014-02-19,53
2014-02-20,32
2014-02-21,22
2014-02-22,8
2014-02-23,8
2014-02-24,40
2014-02-25,38
2014-02-26,48
2014-02-27,22
2014-02-28,30
2014-03-01,11
2014-03-02,11
2014-03-03,55
2014-03-04,49
2014-03-05,27
2014-03-06,46
2014-03-07,33
2014-03-08,20
2014-03-09,23
2014-03-10,24
2014-03-11,19
2014-03-12,29
2014-03-13,27
2014-03-14,35
2014-03-15,17
2014-03-16,14
