date,TRIP
2013-06-29,95
2013-06-30,96
2013-07-01,95
2013-07-02,97
2013-07-03,92
2013-07-04,91
2013-07-05,91
2013-07-06,90
2013-07-07,96
2013-07-08,95
2013-07-09,93
2013-07-10,93
2013-07-11,88
2013-07-12,90
2013-07-13,91
2013-07-14,92
2013-07-15,93
2013-07-16,94
2013-07-17,90
2013-07-18,91
2013-07-19,88
2013-07-20,91
2013-07-21,93
2013-07-22,95
2013-07-23,93
2013-07-24,91
2013-07-25,88
2013-07-26,88
2013-07-27,91
2013-07-28,93
2013-07-29,95
2013-07-30,94
2013-07-31,93
2013-08-01,90
2013-08-02,92
2013-08-03,93
2013-08-04,98
2013-08-05,100
2013-08-06,96
2013-08-07,96
2013-08-08,95
2013-08-09,91
2013-08-10,93
2013-08-11,93
2013-08-12,95
2013-08-13,94
2013-08-14,90
2013-08-15,87
2013-08-16,92
2013-08-17,90
2013-08-18,91
2013-08-19,90
2013-08-20,88
2013-08-21,87
2013-08-22,87
2013-08-23,87
2013-08-24,88
2013-08-25,89
2013-08-26,89
2013-08-27,87
2013-08-28,86
2013-08-29,83
2013-08-30,85
2013-08-31,86
2013-09-01,84
2013-09-02,84
2013-09-03,85
2013-09-04,84
2013-09-05,81
2013-09-06,82
2013-09-07,86
2013-09-08,81
2013-09-09,78
2013-09-10,80
2013-09-11,79
2013-09-12,81
2013-09-13,78
2013-09-14,79
2013-09-15,83
2013-09-16,80
2013-09-17,80
2013-09-18,77
2013-09-19,78
2013-09-20,78
2013-09-21,77
2013-09-22,78
2013-09-23,80
2013-09-24,80
2013-09-25,79
2013-09-26,77
2013-09-27,77
2013-09-28,76
2013-09-29,81
2013-09-30,81
2013-10-01,78
2013-10-02,76
2013-10-03,79
2013-10-04,80
2013-10-05,78
2013-10-06,78
2013-10-07,80
2013-10-08,82
2013-10-09,79
2013-10-10,77
2013-10-11,77
2013-10-12,75
2013-10-13,78
2013-10-14,79
2013-10-15,77
2013-10-16,79
2013-10-17,78
2013-10-18,75
2013-10-19,76
2013-10-20,80
2013-10-21,80
2013-10-22,76
2013-10-23,76
2013-10-24,76
2013-10-25,76
2013-10-26,74
2013-10-27,78
2013-10-28,78
2013-10-29,77
2013-10-30,75
2013-10-31,73
2013-11-01,75
2013-11-02,73
2013-11-03,76
2013-11-04,77
2013-11-05,74
2013-11-06,74
2013-11-07,75
2013-11-08,74
2013-11-09,76
2013-11-10,76
2013-11-11,80
2013-11-12,78
2013-11-13,76
2013-11-14,75
2013-11-15,74
2013-11-16,75
2013-11-17,78
2013-11-18,78
2013-11-19,79
2013-11-20,80
2013-11-21,77
2013-11-22,77
2013-11-23,77
2013-11-24,75
2013-11-25,75
2013-11-26,76
2013-11-27,73
2013-11-28,67
2013-11-29,69
2013-11-30,73
2013-12-01,71
2013-12-02,76
2013-12-03,75
2013-12-04,75
2013-12-05,72
2013-12-06,77
2013-12-07,76
2013-12-08,74
2013-12-09,75
2013-12-10,75
2013-12-11,74
2013-12-12,72
2013-12-13,71
2013-12-14,71
2013-12-15,71
2013-12-16,76
2013-12-17,74
2013-12-18,71
2013-12-19,74
2013-12-20,76
2013-12-21,75
2013-12-22,71
2013-12-23,73
2013-12-24,70
2013-12-25,68
2013-12-26,79
2013-12-27,83
2013-12-28,81
2013-12-29,82
2013-12-30,83
2013-12-31,79
2014-01-01,85
2014-01-02,90
2014-01-03,90
2014-01-04,89
2014-01-05,91
2014-01-06,90
2014-01-07,88
2014-01-08,87
2014-01-09,85
2014-01-10,86
2014-01-11,85
2014-01-12,89
2014-01-13,86
2014-01-14,83
2014-01-15,87
2014-01-16,82
2014-01-17,82
2014-01-18,83
2014-01-19,87
2014-01-20,85
2014-01-21,91
2014-01-22,94
2014-01-23,89
2014-01-24,84
2014-01-25,83
2014-01-26,85
2014-01-27,84
2014-01-28,80
2014-01-29,80
2014-01-30,78
2014-01-31,78
2014-02-01,82
2014-02-02,81
2014-02-03,80
2014-02-04,79
2014-02-05,81
2014-02-06,69
2014-02-07,82
2014-02-08,84
2014-02-09,88
2014-02-10,82
2014-02-11,82
2014-02-12,78
2014-02-13,78
2014-02-14,75
2014-02-15,80
2014-02-16,83
2014-02-17,84
2014-02-18,83
2014-02-19,83
2014-02-20,81
2014-02-21,81
2014-02-22,82
2014-02-23,85
2014-02-24,90
2014-02-25,91
2014-02-26,91
2014-02-27,88
2014-02-28,84
2014-03-01,84
2014-03-02,89
2014-03-03,88
2014-03-04,85
2014-03-05,86
2014-03-06,85
2014-03-07,84
2014-03-08,85
2014-03-09,90
2014-03-10,90
2014-03-11,84
2014-03-12,86
2014-03-13,85
2014-03-14,84
2014-03-15,84
2014-03-16,84
