date,TSCO
2011-01-01,53
2011-01-02,90
2011-01-03,59
2011-01-04,36
2011-01-05,36
2011-01-06,47
2011-01-07,40
2011-01-08,31
2011-01-09,65
2011-01-10,45
2011-01-11,52
2011-01-12,35
2011-01-13,50
2011-01-14,31
2011-01-15,55
2011-01-16,36
2011-01-17,64
2011-01-18,29
2011-01-19,44
2011-01-20,59
2011-01-21,31
2011-01-22,27
2011-01-23,72
2011-01-24,34
2011-01-25,43
2011-01-26,53
2011-01-27,34
2011-01-28,62
2011-01-29,45
2011-01-30,34
2011-01-31,51
2011-02-01,37
2011-02-02,33
2011-02-03,52
2011-02-04,37
2011-02-05,17
2011-02-06,40
2011-02-07,56
2011-02-08,43
2011-02-09,48
2011-02-10,44
2011-02-11,66
2011-02-12,48
2011-02-13,47
2011-02-14,38
2011-02-15,69
2011-02-16,38
2011-02-17,44
2011-02-18,60
2011-02-19,30
2011-02-20,35
2011-02-21,66
2011-02-22,42
2011-02-23,64
2011-02-24,48
2011-02-25,35
2011-02-26,71
2011-02-27,23
2011-02-28,33
2011-03-01,37
2011-03-02,62
2011-03-03,24
2011-03-04,30
2011-03-05,72
2011-03-06,42
2011-03-07,63
2011-03-08,34
2011-03-09,19
2011-03-10,38
2011-03-11,29
2011-03-12,36
2011-03-13,70
2011-03-14,30
2011-03-15,52
2011-03-16,42
2011-03-17,48
2011-03-18,45
2011-03-19,44
2011-03-20,70
2011-03-21,43
2011-03-22,52
2011-03-23,33
2011-03-24,100
2011-03-25,50
2011-03-26,30
2011-03-27,40
2011-03-28,51
2011-03-29,51
2011-03-30,71
2011-03-31,28
2011-04-01,45
2011-04-02,18
2011-04-03,24
2011-04-04,51
2011-04-05,56
2011-04-06,66
2011-04-07,58
2011-04-08,30
2011-04-09,82
2011-04-10,36
2011-04-11,42
2011-04-12,56
2011-04-13,43
2011-04-14,43
2011-04-15,45
2011-04-16,24
2011-04-17,37
2011-04-18,67
2011-04-19,48
2011-04-20,64
2011-04-21,84
2011-04-22,63
2011-04-23,58
2011-04-24,59
2011-04-25,63
2011-04-26,42
2011-04-27,93
2011-04-28,28
2011-04-29,40
2011-04-30,45
2011-05-01,36
2011-05-02,38
2011-05-03,65
2011-05-04,43
2011-05-05,50
2011-05-06,60
2011-05-07,66
2011-05-08,36
2011-05-09,65
2011-05-10,60
2011-05-11,46
2011-05-12,35
2011-05-13,49
2011-05-14,26
2011-05-15,40
2011-05-16,68
2011-05-17,32
2011-05-18,42
2011-05-19,76
2011-05-20,39
2011-05-21,42
2011-05-22,53
2011-05-23,60
2011-05-24,55
2011-05-25,49
2011-05-26,23
2011-05-27,30
2011-05-28,36
2011-05-29,73
2011-05-30,60
2011-05-31,42
2011-06-01,38
2011-06-02,39
2011-06-03,30
2011-06-04,55
2011-06-05,36
2011-06-06,51
2011-06-07,28
2011-06-08,60
2011-06-09,51
2011-06-10,30
2011-06-11,36
2011-06-12,54
2011-06-13,56
2011-06-14,50
2011-06-15,28
2011-06-16,42
2011-06-17,29
2011-06-18,48
2011-06-19,35
2011-06-20,41
2011-06-21,50
2011-06-22,42
2011-06-23,39
2011-06-24,55
2011-06-25,48
2011-06-26,54
2011-06-27,46
2011-06-28,32
2011-06-29,51
2011-06-30,38
2011-07-01,65
2011-07-02,43
2011-07-03,74
2011-07-04,30
2011-07-05,66
2011-07-06,61
2011-07-07,53
2011-07-08,55
2011-07-09,49
2011-07-10,49
2011-07-11,56
2011-07-12,42
2011-07-13,33
2011-07-14,38
2011-07-15,41
2011-07-16,61
2011-07-17,36
2011-07-18,28
2011-07-19,56
2011-07-20,47
2011-07-21,90
2011-07-22,40
2011-07-23,53
2011-07-24,36
2011-07-25,56
2011-07-26,56
2011-07-27,80
2011-07-28,48
2011-07-29,64
2011-07-30,45
2011-07-31,42
2011-08-01,62
2011-08-02,33
2011-08-03,65
2011-08-04,70
2011-08-05,64
2011-08-06,53
2011-08-07,52
2011-08-08,82
2011-08-09,50
2011-08-10,64
2011-08-11,56
2011-08-12,94
2011-08-13,42
2011-08-14,61
2011-08-15,68
2011-08-16,46
2011-08-17,70
2011-08-18,93
2011-08-19,48
2011-08-20,46
2011-08-21,46
2011-08-22,40
2011-08-23,62
2011-08-24,45
2011-08-25,63
2011-08-26,51
2011-08-27,25
2011-08-28,77
2011-08-29,54
2011-08-30,49
2011-08-31,71
2011-09-01,86
2011-09-02,61
2011-09-03,44
2011-09-04,27
2011-09-05,53
2011-09-06,68
2011-09-07,57
2011-09-08,48
2011-09-09,64
2011-09-10,56
2011-09-11,47
2011-09-12,77
2011-09-13,34
2011-09-14,51
2011-09-15,52
2011-09-16,32
2011-09-17,40
2011-09-18,36
