date,TSLA
2014-12-01,22
2014-12-02,22
2014-12-03,21
2014-12-04,18
2014-12-05,17
2014-12-06,9
2014-12-07,4
2014-12-08,22
2014-12-09,29
2014-12-10,23
2014-12-11,23
2014-12-12,22
2014-12-13,11
2014-12-14,6
2014-12-15,24
2014-12-16,29
2014-12-17,37
2014-12-18,32
2014-12-19,33
2014-12-20,9
2014-12-21,5
2014-12-22,19
2014-12-23,25
2014-12-24,20
2014-12-25,10
2014-12-26,19
2014-12-27,11
2014-12-28,7
2014-12-29,20
2014-12-30,18
2014-12-31,19
2015-01-01,8
2015-01-02,16
2015-01-03,9
2015-01-04,7
2015-01-05,23
2015-01-06,26
2015-01-07,19
2015-01-08,22
2015-01-09,19
2015-01-10,7
2015-01-11,6
2015-01-12,26
2015-01-13,33
2015-01-14,51
2015-01-15,32
2015-01-16,28
2015-01-17,8
2015-01-18,8
2015-01-19,13
2015-01-20,22
2015-01-21,25
2015-01-22,23
2015-01-23,26
2015-01-24,9
2015-01-25,5
2015-01-26,19
2015-01-27,25
2015-01-28,26
2015-01-29,25
2015-01-30,23
2015-01-31,7
2015-02-01,6
2015-02-02,22
2015-02-03,28
2015-02-04,21
2015-02-05,23
2015-02-06,25
2015-02-07,9
2015-02-08,7
2015-02-09,24
2015-02-10,27
2015-02-11,66
2015-02-12,87
2015-02-13,51
2015-02-14,14
2015-02-15,10
2015-02-16,15
2015-02-17,33
2015-02-18,27
2015-02-19,31
2015-02-20,33
2015-02-21,10
2015-02-22,7
2015-02-23,25
2015-02-24,29
2015-02-25,29
2015-02-26,28
2015-02-27,24
2015-02-28,9
2015-03-01,6
2015-03-02,30
2015-03-03,27
2015-03-04,26
2015-03-05,23
2015-03-06,21
2015-03-07,9
2015-03-08,6
2015-03-09,26
2015-03-10,25
2015-03-11,22
2015-03-12,20
2015-03-13,23
2015-03-14,9
2015-03-15,8
2015-03-16,27
2015-03-17,30
2015-03-18,24
2015-03-19,39
2015-03-20,32
2015-03-21,10
2015-03-22,5
2015-03-23,22
2015-03-24,24
2015-03-25,18
2015-03-26,23
2015-03-27,30
2015-03-28,9
2015-03-29,6
2015-03-30,41
2015-03-31,40
2015-04-01,29
2015-04-02,30
2015-04-03,26
2015-04-04,10
2015-04-05,10
2015-04-06,47
2015-04-07,40
2015-04-08,42
2015-04-09,30
2015-04-10,33
2015-04-11,9
2015-04-12,7
2015-04-13,28
2015-04-14,25
2015-04-15,24
2015-04-16,24
2015-04-17,19
2015-04-18,5
2015-04-19,4
2015-04-20,26
2015-04-21,24
2015-04-22,38
2015-04-23,32
2015-04-24,25
2015-04-25,9
2015-04-26,6
2015-04-27,54
2015-04-28,44
2015-04-29,34
2015-04-30,43
2015-05-01,100
2015-05-02,24
2015-05-03,11
2015-05-04,44
2015-05-05,43
2015-05-06,65
2015-05-07,69
2015-05-08,46
2015-05-09,13
2015-05-10,8
2015-05-11,38
2015-05-12,38
2015-05-13,36
2015-05-14,33
2015-05-15,32
2015-05-16,13
2015-05-17,5
2015-05-18,35
2015-05-19,29
2015-05-20,30
2015-05-21,25
2015-05-22,26
2015-05-23,11
2015-05-24,6
2015-05-25,7
2015-05-26,30
2015-05-27,23
2015-05-28,24
2015-05-29,24
2015-05-30,10
2015-05-31,7
2015-06-01,24
2015-06-02,25
2015-06-03,18
2015-06-04,21
2015-06-05,20
2015-06-06,7
2015-06-07,6
2015-06-08,26
2015-06-09,28
2015-06-10,30
2015-06-11,24
2015-06-12,19
2015-06-13,7
2015-06-14,6
2015-06-15,21
2015-06-16,23
2015-06-17,30
2015-06-18,28
2015-06-19,21
2015-06-20,8
2015-06-21,5
2015-06-22,20
2015-06-23,26
2015-06-24,28
2015-06-25,24
2015-06-26,23
2015-06-27,8
2015-06-28,8
2015-06-29,30
2015-06-30,24
2015-07-01,27
2015-07-02,40
2015-07-03,18
2015-07-04,10
2015-07-05,6
2015-07-06,27
2015-07-07,31
2015-07-08,39
2015-07-09,30
2015-07-10,27
2015-07-11,9
2015-07-12,6
2015-07-13,24
2015-07-14,25
2015-07-15,22
2015-07-16,24
2015-07-17,40
2015-07-18,17
2015-07-19,9
2015-07-20,34
2015-07-21,41
2015-07-22,34
2015-07-23,25
2015-07-24,28
2015-07-25,8
2015-07-26,6
2015-07-27,25
2015-07-28,26
2015-07-29,26
2015-07-30,23
2015-07-31,23
2015-08-01,8
2015-08-02,6
2015-08-03,25
2015-08-04,26
2015-08-05,60
2015-08-06,73
2015-08-07,37
2015-08-08,13
2015-08-09,11
2015-08-10,33
2015-08-11,29
2015-08-12,29
2015-08-13,39
2015-08-14,33
2015-08-15,12
2015-08-16,9
2015-08-17,39
2015-08-18,32
