date,TXN
2014-03-16,32
2014-03-17,45
2014-03-18,44
2014-03-19,22
2014-03-20,55
2014-03-21,21
2014-03-22,23
2014-03-23,17
2014-03-24,39
2014-03-25,39
2014-03-26,40
2014-03-27,40
2014-03-28,49
2014-03-29,12
2014-03-30,12
2014-03-31,52
2014-04-01,45
2014-04-02,60
2014-04-03,35
2014-04-04,34
2014-04-05,29
2014-04-06,23
2014-04-07,39
2014-04-08,34
2014-04-09,41
2014-04-10,43
2014-04-11,68
2014-04-12,9
2014-04-13,15
2014-04-14,23
2014-04-15,38
2014-04-16,28
2014-04-17,59
2014-04-18,48
2014-04-19,22
2014-04-20,25
2014-04-21,71
2014-04-22,81
2014-04-23,75
2014-04-24,79
2014-04-25,58
2014-04-26,21
2014-04-27,29
2014-04-28,54
2014-04-29,66
2014-04-30,55
2014-05-01,55
2014-05-02,43
2014-05-03,24
2014-05-04,21
2014-05-05,33
2014-05-06,35
2014-05-07,42
2014-05-08,33
2014-05-09,39
2014-05-10,27
2014-05-11,29
2014-05-12,39
2014-05-13,42
2014-05-14,34
2014-05-15,43
2014-05-16,26
2014-05-17,18
2014-05-18,12
2014-05-19,27
2014-05-20,30
2014-05-21,33
2014-05-22,33
2014-05-23,43
2014-05-24,43
2014-05-25,10
2014-05-26,33
2014-05-27,51
2014-05-28,43
2014-05-29,31
2014-05-30,38
2014-05-31,14
2014-06-01,23
2014-06-02,25
2014-06-03,44
2014-06-04,38
2014-06-05,33
2014-06-06,32
2014-06-07,31
2014-06-08,14
2014-06-09,65
2014-06-10,36
2014-06-11,33
2014-06-12,42
2014-06-13,32
2014-06-14,17
2014-06-15,13
2014-06-16,38
2014-06-17,39
2014-06-18,31
2014-06-19,52
2014-06-20,38
2014-06-21,21
2014-06-22,17
2014-06-23,39
2014-06-24,39
2014-06-25,36
2014-06-26,31
2014-06-27,47
2014-06-28,24
2014-06-29,17
2014-06-30,45
2014-07-01,45
2014-07-02,57
2014-07-03,64
2014-07-04,9
2014-07-05,7
2014-07-06,17
2014-07-07,53
2014-07-08,44
2014-07-09,34
2014-07-10,42
2014-07-11,53
2014-07-12,20
2014-07-13,13
2014-07-14,67
2014-07-15,39
2014-07-16,49
2014-07-17,60
2014-07-18,39
2014-07-19,21
2014-07-20,10
2014-07-21,64
2014-07-22,50
2014-07-23,55
2014-07-24,45
2014-07-25,68
2014-07-26,10
2014-07-27,17
2014-07-28,63
2014-07-29,48
2014-07-30,31
2014-07-31,68
2014-08-01,59
2014-08-02,20
2014-08-03,31
2014-08-04,56
2014-08-05,53
2014-08-06,42
2014-08-07,28
2014-08-08,21
2014-08-09,27
2014-08-10,7
2014-08-11,50
2014-08-12,30
2014-08-13,33
2014-08-14,43
2014-08-15,24
2014-08-16,37
2014-08-17,27
2014-08-18,42
2014-08-19,72
2014-08-20,33
2014-08-21,17
2014-08-22,32
2014-08-23,16
2014-08-24,23
2014-08-25,30
2014-08-26,24
2014-08-27,35
2014-08-28,25
2014-08-29,46
2014-08-30,16
2014-08-31,16
2014-09-01,11
2014-09-02,34
2014-09-03,24
2014-09-04,40
2014-09-05,39
2014-09-06,26
2014-09-07,19
2014-09-08,29
2014-09-09,26
2014-09-10,55
2014-09-11,40
2014-09-12,44
2014-09-13,9
2014-09-14,12
2014-09-15,39
2014-09-16,42
2014-09-17,26
2014-09-18,32
2014-09-19,35
2014-09-20,16
2014-09-21,22
2014-09-22,34
2014-09-23,26
2014-09-24,21
2014-09-25,40
2014-09-26,30
2014-09-27,16
2014-09-28,25
2014-09-29,29
2014-09-30,31
2014-10-01,32
2014-10-02,40
2014-10-03,34
2014-10-04,29
2014-10-05,22
2014-10-06,54
2014-10-07,47
2014-10-08,39
2014-10-09,45
2014-10-10,77
2014-10-11,16
2014-10-12,22
2014-10-13,46
2014-10-14,33
2014-10-15,59
2014-10-16,52
2014-10-17,62
2014-10-18,31
2014-10-19,25
2014-10-20,82
2014-10-21,100
2014-10-22,69
2014-10-23,56
2014-10-24,52
2014-10-25,12
2014-10-26,21
2014-10-27,63
2014-10-28,56
2014-10-29,49
2014-10-30,60
2014-10-31,58
2014-11-01,41
2014-11-02,15
2014-11-03,72
2014-11-04,71
2014-11-05,71
2014-11-06,77
2014-11-07,54
2014-11-08,21
2014-11-09,21
2014-11-10,33
2014-11-11,33
2014-11-12,58
2014-11-13,23
2014-11-14,29
2014-11-15,36
2014-11-16,12
2014-11-17,35
2014-11-18,49
2014-11-19,42
2014-11-20,69
2014-11-21,68
2014-11-22,12
2014-11-23,29
2014-11-24,32
2014-11-25,25
2014-11-26,51
2014-11-27,40
2014-11-28,32
2014-11-29,24
2014-11-30,35
2014-12-01,24
