date,ULTA
2016-09-11,30
2016-09-12,22
2016-09-13,21
2016-09-14,21
2016-09-15,23
2016-09-16,25
2016-09-17,30
2016-09-18,29
2016-09-19,21
2016-09-20,20
2016-09-21,20
2016-09-22,21
2016-09-23,24
2016-09-24,28
2016-09-25,27
2016-09-26,19
2016-09-27,18
2016-09-28,20
2016-09-29,21
2016-09-30,24
2016-10-01,27
2016-10-02,29
2016-10-03,21
2016-10-04,21
2016-10-05,20
2016-10-06,20
2016-10-07,23
2016-10-08,27
2016-10-09,28
2016-10-10,20
2016-10-11,19
2016-10-12,20
2016-10-13,21
2016-10-14,24
2016-10-15,27
2016-10-16,26
2016-10-17,19
2016-10-18,20
2016-10-19,20
2016-10-20,20
2016-10-21,22
2016-10-22,26
2016-10-23,26
2016-10-24,20
2016-10-25,19
2016-10-26,18
2016-10-27,19
2016-10-28,22
2016-10-29,27
2016-10-30,25
2016-10-31,17
2016-11-01,17
2016-11-02,20
2016-11-03,21
2016-11-04,24
2016-11-05,27
2016-11-06,28
2016-11-07,21
2016-11-08,19
2016-11-09,16
2016-11-10,20
2016-11-11,25
2016-11-12,29
2016-11-13,29
2016-11-14,22
2016-11-15,22
2016-11-16,22
2016-11-17,25
2016-11-18,28
2016-11-19,32
2016-11-20,35
2016-11-21,29
2016-11-22,30
2016-11-23,34
2016-11-24,59
2016-11-25,100
2016-11-26,48
2016-11-27,39
2016-11-28,50
2016-11-29,34
2016-11-30,26
2016-12-01,26
2016-12-02,35
2016-12-03,39
2016-12-04,38
2016-12-05,29
2016-12-06,30
2016-12-07,30
2016-12-08,30
2016-12-09,30
2016-12-10,37
2016-12-11,38
2016-12-12,31
2016-12-13,32
2016-12-14,34
2016-12-15,35
2016-12-16,38
2016-12-17,44
2016-12-18,46
2016-12-19,38
2016-12-20,40
2016-12-21,42
2016-12-22,47
2016-12-23,54
2016-12-24,58
2016-12-25,31
2016-12-26,46
2016-12-27,39
2016-12-28,35
2016-12-29,33
2016-12-30,36
2016-12-31,39
2017-01-01,30
2017-01-02,29
2017-01-03,24
2017-01-04,24
2017-01-05,24
2017-01-06,25
2017-01-07,27
2017-01-08,28
2017-01-09,21
2017-01-10,20
2017-01-11,20
2017-01-12,20
2017-01-13,24
2017-01-14,29
2017-01-15,28
2017-01-16,24
2017-01-17,21
2017-01-18,19
2017-01-19,20
2017-01-20,22
2017-01-21,27
2017-01-22,28
2017-01-23,20
2017-01-24,20
2017-01-25,20
2017-01-26,21
2017-01-27,23
2017-01-28,30
2017-01-29,27
2017-01-30,20
2017-01-31,19
2017-02-01,19
2017-02-02,20
2017-02-03,22
2017-02-04,27
2017-02-05,24
2017-02-06,17
2017-02-07,18
2017-02-08,19
2017-02-09,21
2017-02-10,24
2017-02-11,28
2017-02-12,28
2017-02-13,21
2017-02-14,20
2017-02-15,19
2017-02-16,21
2017-02-17,25
2017-02-18,28
2017-02-19,27
2017-02-20,23
2017-02-21,19
2017-02-22,19
2017-02-23,21
2017-02-24,24
2017-02-25,29
2017-02-26,28
2017-02-27,21
2017-02-28,20
2017-03-01,21
2017-03-02,21
2017-03-03,23
2017-03-04,27
2017-03-05,28
2017-03-06,20
2017-03-07,20
2017-03-08,20
2017-03-09,22
2017-03-10,25
2017-03-11,28
2017-03-12,29
2017-03-13,21
2017-03-14,20
2017-03-15,21
2017-03-16,23
2017-03-17,25
2017-03-18,29
2017-03-19,36
2017-03-20,26
2017-03-21,24
2017-03-22,25
2017-03-23,25
2017-03-24,26
2017-03-25,33
2017-03-26,32
2017-03-27,24
2017-03-28,24
2017-03-29,24
2017-03-30,24
2017-03-31,27
2017-04-01,33
