date,VIAB
2016-05-04,98
2016-05-05,29
2016-05-06,29
2016-05-07,0
2016-05-08,20
2016-05-09,44
2016-05-10,16
2016-05-11,17
2016-05-12,17
2016-05-13,26
2016-05-14,19
2016-05-15,19
2016-05-16,39
2016-05-17,16
2016-05-18,22
2016-05-19,33
2016-05-20,35
2016-05-21,40
2016-05-22,29
2016-05-23,49
2016-05-24,27
2016-05-25,41
2016-05-26,40
2016-05-27,59
2016-05-28,0
2016-05-29,20
2016-05-30,0
2016-05-31,38
2016-06-01,61
2016-06-02,17
2016-06-03,47
2016-06-04,0
2016-06-05,39
2016-06-06,61
2016-06-07,39
2016-06-08,25
2016-06-09,34
2016-06-10,53
2016-06-11,39
2016-06-12,0
2016-06-13,33
2016-06-14,33
2016-06-15,41
2016-06-16,100
2016-06-17,75
2016-06-18,40
2016-06-19,30
2016-06-20,55
2016-06-21,72
2016-06-22,33
2016-06-23,40
2016-06-24,26
2016-06-25,29
2016-06-26,0
2016-06-27,39
2016-06-28,45
2016-06-29,45
2016-06-30,34
2016-07-01,26
2016-07-02,50
2016-07-03,20
2016-07-04,26
2016-07-05,26
2016-07-06,35
2016-07-07,26
2016-07-08,24
2016-07-09,20
2016-07-10,27
2016-07-11,25
2016-07-12,39
2016-07-13,28
2016-07-14,29
2016-07-15,35
2016-07-16,30
2016-07-17,20
2016-07-18,51
2016-07-19,40
2016-07-20,28
2016-07-21,23
2016-07-22,44
2016-07-23,33
2016-07-24,20
2016-07-25,28
2016-07-26,25
2016-07-27,43
2016-07-28,17
2016-07-29,0
2016-07-30,20
2016-07-31,20
2016-08-01,17
2016-08-02,45
2016-08-03,34
2016-08-04,91
2016-08-05,36
2016-08-06,41
2016-08-07,20
2016-08-08,17
2016-08-09,33
2016-08-10,25
2016-08-11,34
2016-08-12,44
2016-08-13,20
2016-08-14,20
2016-08-15,18
2016-08-16,23
2016-08-17,34
2016-08-18,46
2016-08-19,41
2016-08-20,39
2016-08-21,19
2016-08-22,61
2016-08-23,62
2016-08-24,56
2016-08-25,34
2016-08-26,41
2016-08-27,0
2016-08-28,29
2016-08-29,38
2016-08-30,49
2016-08-31,39
2016-09-01,44
2016-09-02,46
2016-09-03,29
2016-09-04,39
2016-09-05,25
2016-09-06,16
2016-09-07,22
2016-09-08,33
2016-09-09,22
2016-09-10,38
2016-09-11,38
2016-09-12,16
2016-09-13,43
2016-09-14,41
2016-09-15,58
2016-09-16,29
2016-09-17,19
2016-09-18,0
2016-09-19,27
2016-09-20,24
2016-09-21,70
2016-09-22,49
2016-09-23,34
2016-09-24,19
2016-09-25,19
2016-09-26,40
2016-09-27,69
2016-09-28,43
2016-09-29,48
2016-09-30,62
2016-10-01,18
2016-10-02,27
2016-10-03,47
2016-10-04,37
2016-10-05,26
2016-10-06,21
2016-10-07,41
2016-10-08,19
2016-10-09,37
2016-10-10,37
2016-10-11,27
2016-10-12,32
2016-10-13,16
2016-10-14,44
2016-10-15,0
2016-10-16,18
2016-10-17,57
2016-10-18,21
2016-10-19,26
2016-10-20,47
2016-10-21,32
2016-10-22,0
2016-10-23,18
2016-10-24,32
2016-10-25,16
2016-10-26,39
2016-10-27,32
2016-10-28,67
2016-10-29,0
2016-10-30,18
2016-10-31,27
2016-11-01,54
2016-11-02,47
2016-11-03,31
2016-11-04,16
2016-11-05,35
2016-11-06,0
2016-11-07,30
2016-11-08,15
2016-11-09,48
2016-11-10,42
2016-11-11,16
2016-11-12,18
2016-11-13,27
2016-11-14,46
2016-11-15,26
2016-11-16,16
2016-11-17,32
2016-11-18,41
2016-11-19,18
2016-11-20,29
2016-11-21,25
2016-11-22,16
2016-11-23,37
2016-11-24,97
2016-11-25,32
2016-11-26,18
2016-11-27,18
2016-11-28,23
2016-11-29,31
2016-11-30,15
2016-12-01,39
2016-12-02,27
2016-12-03,18
2016-12-04,0
2016-12-05,38
2016-12-06,30
2016-12-07,26
2016-12-08,85
2016-12-09,33
2016-12-10,21
2016-12-11,0
2016-12-12,77
2016-12-13,51
2016-12-14,41
2016-12-15,37
2016-12-16,28
2016-12-17,19
2016-12-18,30
2016-12-19,16
2016-12-20,47
2016-12-21,44
2016-12-22,17
2016-12-23,29
2016-12-24,26
2016-12-25,20
2016-12-26,53
2016-12-27,25
2016-12-28,41
2016-12-29,22
2016-12-30,0
2016-12-31,29
2017-01-01,0
2017-01-02,41
2017-01-03,0
2017-01-04,46
2017-01-05,26
2017-01-06,38
2017-01-07,52
2017-01-08,35
2017-01-09,25
2017-01-10,23
2017-01-11,38
2017-01-12,20
2017-01-13,23
2017-01-14,17
2017-01-15,17
2017-01-16,25
2017-01-17,25
2017-01-18,40
2017-01-19,35
