date,VOD
2015-12-26,81
2015-12-27,87
2015-12-28,87
2015-12-29,88
2015-12-30,91
2015-12-31,71
2016-01-01,100
2016-01-02,87
2016-01-03,79
2016-01-04,78
2016-01-05,74
2016-01-06,82
2016-01-07,78
2016-01-08,78
2016-01-09,75
2016-01-10,77
2016-01-11,66
2016-01-12,75
2016-01-13,74
2016-01-14,70
2016-01-15,72
2016-01-16,81
2016-01-17,71
2016-01-18,72
2016-01-19,74
2016-01-20,76
2016-01-21,69
2016-01-22,74
2016-01-23,75
2016-01-24,72
2016-01-25,68
2016-01-26,83
2016-01-27,82
2016-01-28,81
2016-01-29,81
2016-01-30,80
2016-01-31,86
2016-02-01,69
2016-02-02,80
2016-02-03,77
2016-02-04,73
2016-02-05,75
2016-02-06,78
2016-02-07,73
2016-02-08,71
2016-02-09,75
2016-02-10,79
2016-02-11,71
2016-02-12,70
2016-02-13,71
2016-02-14,79
2016-02-15,76
2016-02-16,85
2016-02-17,81
2016-02-18,76
2016-02-19,76
2016-02-20,75
2016-02-21,76
2016-02-22,71
2016-02-23,76
2016-02-24,78
2016-02-25,78
2016-02-26,76
2016-02-27,74
2016-02-28,74
2016-02-29,73
2016-03-01,81
2016-03-02,93
2016-03-03,84
2016-03-04,83
2016-03-05,93
2016-03-06,97
2016-03-07,88
2016-03-08,86
2016-03-09,88
2016-03-10,80
2016-03-11,78
2016-03-12,78
2016-03-13,92
2016-03-14,77
2016-03-15,81
2016-03-16,73
2016-03-17,74
2016-03-18,74
2016-03-19,79
2016-03-20,89
2016-03-21,74
2016-03-22,76
2016-03-23,68
2016-03-24,72
2016-03-25,71
2016-03-26,70
2016-03-27,69
2016-03-28,73
2016-03-29,74
2016-03-30,74
2016-03-31,72
2016-04-01,87
2016-04-02,84
2016-04-03,87
2016-04-04,77
2016-04-05,74
2016-04-06,76
2016-04-07,78
2016-04-08,81
2016-04-09,88
2016-04-10,88
2016-04-11,77
2016-04-12,82
2016-04-13,81
2016-04-14,79
2016-04-15,77
2016-04-16,78
2016-04-17,84
2016-04-18,73
2016-04-19,80
2016-04-20,78
2016-04-21,72
2016-04-22,73
2016-04-23,79
2016-04-24,91
2016-04-25,81
2016-04-26,85
2016-04-27,87
2016-04-28,80
2016-04-29,76
2016-04-30,80
2016-05-01,84
2016-05-02,71
2016-05-03,82
2016-05-04,84
2016-05-05,85
2016-05-06,80
2016-05-07,74
2016-05-08,79
2016-05-09,77
2016-05-10,77
2016-05-11,76
2016-05-12,71
2016-05-13,82
2016-05-14,79
2016-05-15,88
2016-05-16,80
2016-05-17,81
2016-05-18,79
2016-05-19,75
2016-05-20,73
2016-05-21,75
2016-05-22,73
2016-05-23,73
2016-05-24,78
2016-05-25,74
2016-05-26,76
2016-05-27,72
2016-05-28,71
2016-05-29,74
2016-05-30,74
2016-05-31,81
2016-06-01,86
2016-06-02,76
2016-06-03,78
2016-06-04,74
2016-06-05,68
2016-06-06,72
2016-06-07,79
2016-06-08,76
2016-06-09,79
2016-06-10,70
2016-06-11,71
2016-06-12,68
2016-06-13,63
2016-06-14,63
2016-06-15,52
2016-06-16,50
2016-06-17,58
2016-06-18,54
2016-06-19,57
2016-06-20,53
2016-06-21,55
2016-06-22,51
2016-06-23,48
2016-06-24,55
2016-06-25,53
2016-06-26,59
2016-06-27,51
2016-06-28,54
2016-06-29,50
2016-06-30,50
2016-07-01,53
2016-07-02,51
2016-07-03,60
2016-07-04,52
2016-07-05,50
2016-07-06,56
2016-07-07,54
2016-07-08,49
2016-07-09,56
2016-07-10,52
2016-07-11,53
2016-07-12,52
2016-07-13,50
2016-07-14,57
2016-07-15,51
2016-07-16,48
2016-07-17,58
2016-07-18,50
2016-07-19,54
2016-07-20,46
2016-07-21,51
2016-07-22,54
2016-07-23,54
2016-07-24,56
2016-07-25,47
2016-07-26,51
2016-07-27,49
2016-07-28,53
2016-07-29,49
2016-07-30,50
2016-07-31,53
2016-08-01,55
2016-08-02,49
2016-08-03,54
2016-08-04,52
2016-08-05,54
2016-08-06,54
2016-08-07,56
2016-08-08,48
2016-08-09,49
2016-08-10,47
2016-08-11,45
2016-08-12,45
2016-08-13,47
2016-08-14,51
2016-08-15,47
2016-08-16,45
2016-08-17,47
2016-08-18,47
2016-08-19,43
2016-08-20,50
2016-08-21,56
2016-08-22,61
2016-08-23,68
2016-08-24,61
2016-08-25,62
2016-08-26,61
2016-08-27,59
2016-08-28,65
2016-08-29,74
2016-08-30,79
2016-08-31,80
2016-09-01,71
2016-09-02,76
2016-09-03,78
2016-09-04,93
2016-09-05,92
2016-09-06,86
2016-09-07,84
2016-09-08,83
2016-09-09,81
2016-09-10,83
2016-09-11,89
