date,value
2016-08-21,20.0
2016-08-22,18.0
2016-08-23,21.0
2016-08-24,17.0
2016-08-25,21.0
2016-08-26,18.0
2016-08-27,23.0
2016-08-28,46.0
2016-08-29,26.0
2016-08-30,28.0
2016-08-31,42.0
2016-09-01,22.0
2016-09-02,19.0
2016-09-03,25.0
2016-09-04,17.0
2016-09-05,11.0
2016-09-06,13.0
2016-09-07,17.0
2016-09-08,20.0
2016-09-09,14.0
2016-09-10,19.0
2016-09-11,15.0
2016-09-12,12.0
2016-09-13,13.0
2016-09-14,11.0
2016-09-15,14.0
2016-09-16,12.0
2016-09-17,25.0
2016-09-18,14.0
2016-09-19,13.0
2016-09-20,12.0
2016-09-21,9.0
2016-09-22,12.0
2016-09-23,12.0
2016-09-24,24.0
2016-09-25,15.0
2016-09-26,14.0
2016-09-27,16.0
2016-09-28,14.0
2016-09-29,14.0
2016-09-30,13.0
2016-10-01,25.0
2016-10-02,10.0
2016-10-03,14.0
2016-10-04,12.0
2016-10-05,13.0
2016-10-06,10.0
2016-10-07,12.0
2016-10-08,9.0
2016-10-09,12.0
2016-10-10,16.0
2016-10-11,14.0
2016-10-12,11.0
2016-10-13,13.0
2016-10-14,11.0
2016-10-15,34.0
2016-10-16,18.0
2016-10-17,16.0
2016-10-18,15.0
2016-10-19,17.0
2016-10-20,22.0
2016-10-21,25.0
2016-10-22,73.0
2016-10-23,33.0
2016-10-24,20.0
2016-10-25,18.0
2016-10-26,13.0
2016-10-27,12.0
2016-10-28,17.0
2016-10-29,45.0
2016-10-30,17.0
2016-10-31,16.0
2016-11-01,14.0
2016-11-02,13.0
2016-11-03,11.0
2016-11-04,13.0
2016-11-05,12.0
2016-11-06,40.0
2016-11-07,18.0
2016-11-08,16.0
2016-11-09,13.0
2016-11-10,13.0
2016-11-11,9.0
2016-11-12,14.0
2016-11-13,12.0
2016-11-14,14.0
2016-11-15,13.0
2016-11-16,13.0
2016-11-17,10.0
2016-11-18,17.0
2016-11-19,15.0
2016-11-20,21.0
2016-11-21,56.0
2016-11-22,20.0
2016-11-23,15.0
2016-11-24,14.0
2016-11-25,17.0
2016-11-26,23.0
2016-11-27,13.0
2016-11-28,9.0
2016-11-29,13.0
2016-11-30,14.0
2016-12-01,13.0
2016-12-02,11.0
2016-12-03,27.0
2016-12-04,20.0
2016-12-05,15.0
2016-12-06,13.0
2016-12-07,10.0
2016-12-08,12.0
2016-12-09,17.0
2016-12-10,23.0
2016-12-11,94.0
2016-12-12,21.0
2016-12-13,19.0
2016-12-14,32.0
2016-12-15,23.0
2016-12-16,19.0
2016-12-17,100.0
2016-12-18,27.0
2016-12-19,17.0
2016-12-20,17.0
2016-12-21,17.0
2016-12-22,18.0
2016-12-23,11.0
2016-12-24,14.0
2016-12-25,14.0
2016-12-26,53.0
2016-12-27,17.0
2016-12-28,15.0
2016-12-29,14.0
2016-12-30,18.0
2016-12-31,27.0
2017-01-01,25.0
2017-01-02,44.0
2017-01-03,18.0
2017-01-04,20.0
2017-01-05,23.0
2017-01-06,20.0
2017-01-07,24.0
2017-01-08,14.0
2017-01-09,16.0
2017-01-10,15.0
2017-01-11,20.0
2017-01-12,16.0
2017-01-13,23.0
2017-01-14,47.0
2017-01-15,16.0
2017-01-16,20.0
2017-01-17,19.0
2017-01-18,19.0
2017-01-19,17.0
2017-01-20,25.0
2017-01-21,26.0
2017-01-22,15.0
2017-01-23,18.0
2017-01-24,17.0
2017-01-25,14.0
2017-01-26,17.0
2017-01-27,17.0
2017-01-28,15.0
2017-01-29,18.0
2017-01-30,23.0
2017-01-31,26.0
2017-02-01,21.0
2017-02-02,15.0
2017-02-03,15.0
2017-02-04,26.0
2017-02-05,16.0
2017-02-06,14.0
2017-02-07,14.0
2017-02-08,14.0
2017-02-09,15.0
2017-02-10,12.0
2017-02-11,24.0
2017-02-12,15.0
2017-02-13,13.0
2017-02-14,14.0
2017-02-15,14.0
2017-02-16,12.0
2017-02-17,12.0
2017-02-18,10.0
2017-02-19,13.0
2017-02-20,14.0
2017-02-21,9.0
2017-02-22,13.0
2017-02-23,14.0
2017-02-24,13.0
2017-02-25,21.0
2017-02-26,13.0
2017-02-27,14.0
2017-02-28,12.0
2017-03-01,12.0
2017-03-02,13.0
2017-03-03,14.0
2017-03-04,23.0
2017-03-05,16.0
2017-03-06,15.0
2017-03-07,15.0
2017-03-08,12.0
2017-03-09,11.0
2017-03-10,12.0
2017-03-11,25.0
2017-03-12,14.0
2017-03-13,13.0
2017-03-14,12.0
2017-03-15,14.0
2017-03-16,13.0
2017-03-17,14.0
2017-03-18,78.0
2017-03-19,24.0
2017-03-20,14.0
2017-03-21,14.0
2017-03-22,17.0
2017-03-23,14.0
2017-03-24,9.0
2017-03-25,12.0
2017-03-26,9.0
2017-03-27,13.0
2017-03-28,10.0
2017-03-29,9.0
2017-03-30,14.0
2017-03-31,13.0
2017-04-01,85.0
2017-04-02,18.0
2017-04-03,13.0
2017-04-04,28.0
2017-04-05,13.0
2017-04-06,12.0
2017-04-07,13.0
2017-04-08,21.0
2017-04-09,15.0
2017-04-10,13.0
2017-04-11,11.0
2017-04-12,10.0
2017-04-13,11.0
2017-04-14,13.0
2017-04-15,20.0
2017-04-16,100.0
2017-04-17,14.0
2017-04-18,12.0
2017-04-19,10.0
2017-04-20,11.0
2017-04-21,12.0
2017-04-22,14.0
2017-04-23,14.0
2017-04-24,15.0
2017-04-25,14.0
2017-04-26,14.0
2017-04-27,13.0
2017-04-28,16.0
2017-04-29,47.0
2017-04-30,27.0
2017-05-01,18.0
2017-05-02,15.0
2017-05-03,14.0
2017-05-04,15.0
2017-05-05,13.0
2017-05-06,22.0
2017-05-06,21.99989643744822
2017-05-07,13.822700911350456
2017-05-08,12.295774647887324
