date,WDC
2011-09-18,54
2011-09-19,57
2011-09-20,60
2011-09-21,50
2011-09-22,55
2011-09-23,60
2011-09-24,54
2011-09-25,57
2011-09-26,51
2011-09-27,64
2011-09-28,50
2011-09-29,63
2011-09-30,57
2011-10-01,36
2011-10-02,45
2011-10-03,47
2011-10-04,60
2011-10-05,62
2011-10-06,52
2011-10-07,53
2011-10-08,54
2011-10-09,59
2011-10-10,50
2011-10-11,57
2011-10-12,64
2011-10-13,46
2011-10-14,63
2011-10-15,38
2011-10-16,42
2011-10-17,60
2011-10-18,56
2011-10-19,63
2011-10-20,63
2011-10-21,66
2011-10-22,66
2011-10-23,51
2011-10-24,55
2011-10-25,50
2011-10-26,57
2011-10-27,47
2011-10-28,52
2011-10-29,49
2011-10-30,45
2011-10-31,47
2011-11-01,54
2011-11-02,50
2011-11-03,36
2011-11-04,45
2011-11-05,49
2011-11-06,45
2011-11-07,61
2011-11-08,53
2011-11-09,51
2011-11-10,54
2011-11-11,100
2011-11-12,97
2011-11-13,91
2011-11-14,74
2011-11-15,75
2011-11-16,60
2011-11-17,62
2011-11-18,56
2011-11-19,49
2011-11-20,55
2011-11-21,51
2011-11-22,48
2011-11-23,46
2011-11-24,48
2011-11-25,52
2011-11-26,41
2011-11-27,57
2011-11-28,47
2011-11-29,45
2011-11-30,63
2011-12-01,61
2011-12-02,49
2011-12-03,54
2011-12-04,55
2011-12-05,56
2011-12-06,58
2011-12-07,50
2011-12-08,65
2011-12-09,56
2011-12-10,44
2011-12-11,57
2011-12-12,43
2011-12-13,57
2011-12-14,62
2011-12-15,51
2011-12-16,44
2011-12-17,51
2011-12-18,48
2011-12-19,47
2011-12-20,61
2011-12-21,48
2011-12-22,48
2011-12-23,47
2011-12-24,38
2011-12-25,45
2011-12-26,51
2011-12-27,58
2011-12-28,47
2011-12-29,55
2011-12-30,58
2011-12-31,45
2012-01-01,52
2012-01-02,65
2012-01-03,59
2012-01-04,52
2012-01-05,58
2012-01-06,53
2012-01-07,52
2012-01-08,49
2012-01-09,47
2012-01-10,50
2012-01-11,47
2012-01-12,59
2012-01-13,61
2012-01-14,54
2012-01-15,41
2012-01-16,46
2012-01-17,53
2012-01-18,42
2012-01-19,42
2012-01-20,63
2012-01-21,52
2012-01-22,48
2012-01-23,56
2012-01-24,61
2012-01-25,50
2012-01-26,41
2012-01-27,46
2012-01-28,51
2012-01-29,67
2012-01-30,60
2012-01-31,64
2012-02-01,55
2012-02-02,51
2012-02-03,49
2012-02-04,48
2012-02-05,56
2012-02-06,46
2012-02-07,58
2012-02-08,56
2012-02-09,55
2012-02-10,48
2012-02-11,43
2012-02-12,42
2012-02-13,58
2012-02-14,42
2012-02-15,47
2012-02-16,50
2012-02-17,51
2012-02-18,42
2012-02-19,38
2012-02-20,38
2012-02-21,46
2012-02-22,54
2012-02-23,47
2012-02-24,51
2012-02-25,52
2012-02-26,53
2012-02-27,56
2012-02-28,48
2012-02-29,57
2012-03-01,54
2012-03-02,49
2012-03-03,50
2012-03-04,52
2012-03-05,56
2012-03-06,70
2012-03-07,46
2012-03-08,46
2012-03-09,61
2012-03-10,50
2012-03-11,40
2012-03-12,45
2012-03-13,50
2012-03-14,48
2012-03-15,46
2012-03-16,37
2012-03-17,50
2012-03-18,48
2012-03-19,52
2012-03-20,46
2012-03-21,55
2012-03-22,46
2012-03-23,51
2012-03-24,48
2012-03-25,48
2012-03-26,47
2012-03-27,57
2012-03-28,50
2012-03-29,52
2012-03-30,44
2012-03-31,49
2012-04-01,41
2012-04-02,36
2012-04-03,49
2012-04-04,58
2012-04-05,44
2012-04-06,48
2012-04-07,45
2012-04-08,40
2012-04-09,45
2012-04-10,44
2012-04-11,48
2012-04-12,42
2012-04-13,54
2012-04-14,41
2012-04-15,44
2012-04-16,44
2012-04-17,46
2012-04-18,48
2012-04-19,45
2012-04-20,44
2012-04-21,41
2012-04-22,39
2012-04-23,46
2012-04-24,49
2012-04-25,47
2012-04-26,52
2012-04-27,51
2012-04-28,38
2012-04-29,42
2012-04-30,40
2012-05-01,39
2012-05-02,41
2012-05-03,49
2012-05-04,35
2012-05-05,45
2012-05-06,32
2012-05-07,42
2012-05-08,44
2012-05-09,48
2012-05-10,44
2012-05-11,37
2012-05-12,45
2012-05-13,52
2012-05-14,43
2012-05-15,45
2012-05-16,58
2012-05-17,59
2012-05-18,43
2012-05-19,37
2012-05-20,44
2012-05-21,48
2012-05-22,46
2012-05-23,49
2012-05-24,36
2012-05-25,36
2012-05-26,32
2012-05-27,38
2012-05-28,40
2012-05-29,49
2012-05-30,42
2012-05-31,51
2012-06-01,51
2012-06-02,30
2012-06-03,39
2012-06-04,53
