date,WFM
2013-06-29,40
2013-06-30,20
2013-07-01,49
2013-07-02,43
2013-07-03,48
2013-07-04,21
2013-07-05,35
2013-07-06,14
2013-07-07,24
2013-07-08,53
2013-07-09,46
2013-07-10,57
2013-07-11,56
2013-07-12,46
2013-07-13,24
2013-07-14,33
2013-07-15,38
2013-07-16,42
2013-07-17,43
2013-07-18,34
2013-07-19,42
2013-07-20,20
2013-07-21,32
2013-07-22,38
2013-07-23,46
2013-07-24,37
2013-07-25,55
2013-07-26,29
2013-07-27,40
2013-07-28,29
2013-07-29,43
2013-07-30,45
2013-07-31,72
2013-08-01,61
2013-08-02,48
2013-08-03,29
2013-08-04,23
2013-08-05,53
2013-08-06,41
2013-08-07,41
2013-08-08,37
2013-08-09,39
2013-08-10,25
2013-08-11,21
2013-08-12,38
2013-08-13,30
2013-08-14,39
2013-08-15,33
2013-08-16,40
2013-08-17,23
2013-08-18,18
2013-08-19,58
2013-08-20,40
2013-08-21,42
2013-08-22,48
2013-08-23,30
2013-08-24,25
2013-08-25,26
2013-08-26,45
2013-08-27,51
2013-08-28,49
2013-08-29,45
2013-08-30,36
2013-08-31,27
2013-09-01,29
2013-09-02,41
2013-09-03,44
2013-09-04,42
2013-09-05,35
2013-09-06,39
2013-09-07,34
2013-09-08,16
2013-09-09,37
2013-09-10,41
2013-09-11,34
2013-09-12,41
2013-09-13,42
2013-09-14,24
2013-09-15,28
2013-09-16,44
2013-09-17,56
2013-09-18,40
2013-09-19,54
2013-09-20,33
2013-09-21,35
2013-09-22,24
2013-09-23,43
2013-09-24,37
2013-09-25,47
2013-09-26,32
2013-09-27,34
2013-09-28,31
2013-09-29,25
2013-09-30,49
2013-10-01,38
2013-10-02,39
2013-10-03,46
2013-10-04,32
2013-10-05,30
2013-10-06,26
2013-10-07,38
2013-10-08,54
2013-10-09,41
2013-10-10,50
2013-10-11,54
2013-10-12,33
2013-10-13,23
2013-10-14,49
2013-10-15,44
2013-10-16,49
2013-10-17,55
2013-10-18,51
2013-10-19,22
2013-10-20,27
2013-10-21,51
2013-10-22,48
2013-10-23,53
2013-10-24,49
2013-10-25,43
2013-10-26,23
2013-10-27,24
2013-10-28,36
2013-10-29,40
2013-10-30,50
2013-10-31,40
2013-11-01,43
2013-11-02,29
2013-11-03,22
2013-11-04,49
2013-11-05,40
2013-11-06,80
2013-11-07,100
2013-11-08,66
2013-11-09,44
2013-11-10,37
2013-11-11,57
2013-11-12,64
2013-11-13,53
2013-11-14,46
2013-11-15,53
2013-11-16,28
2013-11-17,32
2013-11-18,39
2013-11-19,43
2013-11-20,61
2013-11-21,51
2013-11-22,51
2013-11-23,25
2013-11-24,23
2013-11-25,58
2013-11-26,46
2013-11-27,53
2013-11-28,34
2013-11-29,39
2013-11-30,27
2013-12-01,23
2013-12-02,42
2013-12-03,35
2013-12-04,36
2013-12-05,54
2013-12-06,42
2013-12-07,36
2013-12-08,24
2013-12-09,47
2013-12-10,50
2013-12-11,50
2013-12-12,44
2013-12-13,46
2013-12-14,21
2013-12-15,22
2013-12-16,31
2013-12-17,56
2013-12-18,57
2013-12-19,46
2013-12-20,39
2013-12-21,22
2013-12-22,30
2013-12-23,47
2013-12-24,38
2013-12-25,19
2013-12-26,44
2013-12-27,53
2013-12-28,34
2013-12-29,18
2013-12-30,57
2013-12-31,31
2014-01-01,28
2014-01-02,39
2014-01-03,42
2014-01-04,18
2014-01-05,40
2014-01-06,49
2014-01-07,46
2014-01-08,51
2014-01-09,58
2014-01-10,52
2014-01-11,28
2014-01-12,37
2014-01-13,54
2014-01-14,57
2014-01-15,48
2014-01-16,49
2014-01-17,47
2014-01-18,22
2014-01-19,33
2014-01-20,39
2014-01-21,52
2014-01-22,51
2014-01-23,48
2014-01-24,50
2014-01-25,37
2014-01-26,23
2014-01-27,42
2014-01-28,54
2014-01-29,38
2014-01-30,55
2014-01-31,61
2014-02-01,24
2014-02-02,29
2014-02-03,43
2014-02-04,51
2014-02-05,43
2014-02-06,40
2014-02-07,51
2014-02-08,16
2014-02-09,23
2014-02-10,56
2014-02-11,55
2014-02-12,100
2014-02-13,97
2014-02-14,60
2014-02-15,33
2014-02-16,29
2014-02-17,40
2014-02-18,42
2014-02-19,51
2014-02-20,50
2014-02-21,44
2014-02-22,32
2014-02-23,36
2014-02-24,36
2014-02-25,53
2014-02-26,47
2014-02-27,51
2014-02-28,43
2014-03-01,32
2014-03-02,27
2014-03-03,40
2014-03-04,47
2014-03-05,49
2014-03-06,51
2014-03-07,40
2014-03-08,30
2014-03-09,24
2014-03-10,52
2014-03-11,49
2014-03-12,31
2014-03-13,43
2014-03-14,44
2014-03-15,35
2014-03-16,36
