date,XLNX
2013-06-29,33
2013-06-30,25
2013-07-01,27
2013-07-02,13
2013-07-03,13
2013-07-04,0
2013-07-05,30
2013-07-06,34
2013-07-07,34
2013-07-08,13
2013-07-09,27
2013-07-10,55
2013-07-11,27
2013-07-12,29
2013-07-13,42
2013-07-14,33
2013-07-15,54
2013-07-16,41
2013-07-17,75
2013-07-18,63
2013-07-19,64
2013-07-20,25
2013-07-21,25
2013-07-22,40
2013-07-23,20
2013-07-24,54
2013-07-25,27
2013-07-26,21
2013-07-27,67
2013-07-28,25
2013-07-29,33
2013-07-30,47
2013-07-31,20
2013-08-01,48
2013-08-02,29
2013-08-03,0
2013-08-04,25
2013-08-05,41
2013-08-06,34
2013-08-07,28
2013-08-08,21
2013-08-09,22
2013-08-10,33
2013-08-11,16
2013-08-12,27
2013-08-13,40
2013-08-14,40
2013-08-15,85
2013-08-16,73
2013-08-17,16
2013-08-18,32
2013-08-19,27
2013-08-20,0
2013-08-21,20
2013-08-22,68
2013-08-23,49
2013-08-24,64
2013-08-25,24
2013-08-26,39
2013-08-27,39
2013-08-28,39
2013-08-29,26
2013-08-30,14
2013-08-31,32
2013-09-01,54
2013-09-02,33
2013-09-03,39
2013-09-04,58
2013-09-05,52
2013-09-06,27
2013-09-07,39
2013-09-08,30
2013-09-09,51
2013-09-10,38
2013-09-11,76
2013-09-12,52
2013-09-13,26
2013-09-14,30
2013-09-15,22
2013-09-16,50
2013-09-17,44
2013-09-18,32
2013-09-19,32
2013-09-20,40
2013-09-21,23
2013-09-22,22
2013-09-23,44
2013-09-24,38
2013-09-25,51
2013-09-26,46
2013-09-27,61
2013-09-28,31
2013-09-29,15
2013-09-30,13
2013-10-01,25
2013-10-02,45
2013-10-03,19
2013-10-04,26
2013-10-05,30
2013-10-06,15
2013-10-07,50
2013-10-08,51
2013-10-09,32
2013-10-10,71
2013-10-11,47
2013-10-12,38
2013-10-13,45
2013-10-14,39
2013-10-15,70
2013-10-16,76
2013-10-17,78
2013-10-18,46
2013-10-19,38
2013-10-20,74
2013-10-21,19
2013-10-22,37
2013-10-23,75
2013-10-24,57
2013-10-25,66
2013-10-26,22
2013-10-27,44
2013-10-28,61
2013-10-29,18
2013-10-30,63
2013-10-31,26
2013-11-01,61
2013-11-02,30
2013-11-03,36
2013-11-04,50
2013-11-05,86
2013-11-06,62
2013-11-07,37
2013-11-08,65
2013-11-09,59
2013-11-10,28
2013-11-11,43
2013-11-12,55
2013-11-13,50
2013-11-14,63
2013-11-15,46
2013-11-16,15
2013-11-17,72
2013-11-18,98
2013-11-19,61
2013-11-20,56
2013-11-21,43
2013-11-22,38
2013-11-23,29
2013-11-24,28
2013-11-25,43
2013-11-26,37
2013-11-27,25
2013-11-28,39
2013-11-29,33
2013-11-30,15
2013-12-01,41
2013-12-02,48
2013-12-03,54
2013-12-04,80
2013-12-05,62
2013-12-06,52
2013-12-07,37
2013-12-08,22
2013-12-09,92
2013-12-10,79
2013-12-11,68
2013-12-12,38
2013-12-13,53
2013-12-14,45
2013-12-15,51
2013-12-16,25
2013-12-17,38
2013-12-18,76
2013-12-19,65
2013-12-20,34
2013-12-21,16
2013-12-22,30
2013-12-23,48
2013-12-24,23
2013-12-25,42
2013-12-26,64
2013-12-27,0
2013-12-28,30
2013-12-29,60
2013-12-30,47
2013-12-31,59
2014-01-01,72
2014-01-02,19
2014-01-03,13
2014-01-04,14
2014-01-05,63
2014-01-06,56
2014-01-07,42
2014-01-08,30
2014-01-09,60
2014-01-10,19
2014-01-11,28
2014-01-12,35
2014-01-13,71
2014-01-14,54
2014-01-15,47
2014-01-16,59
2014-01-17,81
2014-01-18,35
2014-01-19,41
2014-01-20,54
2014-01-21,82
2014-01-22,94
2014-01-23,53
2014-01-24,55
2014-01-25,34
2014-01-26,55
2014-01-27,46
2014-01-28,70
2014-01-29,58
2014-01-30,72
2014-01-31,75
2014-02-01,21
2014-02-02,47
2014-02-03,47
2014-02-04,58
2014-02-05,59
2014-02-06,95
2014-02-07,40
2014-02-08,34
2014-02-09,67
2014-02-10,52
2014-02-11,64
2014-02-12,76
2014-02-13,77
2014-02-14,37
2014-02-15,35
2014-02-16,27
2014-02-17,53
2014-02-18,59
2014-02-19,100
2014-02-20,30
2014-02-21,36
2014-02-22,21
2014-02-23,48
2014-02-24,52
2014-02-25,40
2014-02-26,70
2014-02-27,41
2014-02-28,31
2014-03-01,21
2014-03-02,41
2014-03-03,47
2014-03-04,48
2014-03-05,59
2014-03-06,41
2014-03-07,49
2014-03-08,21
2014-03-09,28
2014-03-10,47
2014-03-11,59
2014-03-12,35
2014-03-13,88
2014-03-14,74
2014-03-15,28
2014-03-16,27
