date,XRAY
2012-06-04,46
2012-06-05,49
2012-06-06,52
2012-06-07,51
2012-06-08,48
2012-06-09,46
2012-06-10,47
2012-06-11,50
2012-06-12,54
2012-06-13,53
2012-06-14,44
2012-06-15,50
2012-06-16,46
2012-06-17,51
2012-06-18,55
2012-06-19,51
2012-06-20,51
2012-06-21,48
2012-06-22,50
2012-06-23,41
2012-06-24,47
2012-06-25,50
2012-06-26,50
2012-06-27,48
2012-06-28,49
2012-06-29,51
2012-06-30,42
2012-07-01,42
2012-07-02,46
2012-07-03,47
2012-07-04,43
2012-07-05,48
2012-07-06,45
2012-07-07,47
2012-07-08,41
2012-07-09,50
2012-07-10,52
2012-07-11,51
2012-07-12,49
2012-07-13,51
2012-07-14,45
2012-07-15,43
2012-07-16,51
2012-07-17,50
2012-07-18,52
2012-07-19,51
2012-07-20,51
2012-07-21,43
2012-07-22,46
2012-07-23,53
2012-07-24,50
2012-07-25,52
2012-07-26,45
2012-07-27,47
2012-07-28,41
2012-07-29,43
2012-07-30,51
2012-07-31,54
2012-08-01,57
2012-08-02,60
2012-08-03,62
2012-08-04,56
2012-08-05,54
2012-08-06,56
2012-08-07,60
2012-08-08,57
2012-08-09,56
2012-08-10,60
2012-08-11,47
2012-08-12,51
2012-08-13,58
2012-08-14,56
2012-08-15,54
2012-08-16,61
2012-08-17,62
2012-08-18,58
2012-08-19,61
2012-08-20,60
2012-08-21,57
2012-08-22,57
2012-08-23,53
2012-08-24,55
2012-08-25,47
2012-08-26,52
2012-08-27,50
2012-08-28,55
2012-08-29,71
2012-08-30,100
2012-08-31,94
2012-09-01,76
2012-09-02,71
2012-09-03,65
2012-09-04,66
2012-09-05,63
2012-09-06,65
2012-09-07,61
2012-09-08,60
2012-09-09,61
2012-09-10,54
2012-09-11,56
2012-09-12,53
2012-09-13,57
2012-09-14,54
2012-09-15,55
2012-09-16,60
2012-09-17,54
2012-09-18,52
2012-09-19,50
2012-09-20,53
2012-09-21,50
2012-09-22,53
2012-09-23,48
2012-09-24,53
2012-09-25,52
2012-09-26,53
2012-09-27,51
2012-09-28,50
2012-09-29,50
2012-09-30,46
2012-10-01,50
2012-10-02,52
2012-10-03,53
2012-10-04,52
2012-10-05,49
2012-10-06,46
2012-10-07,46
2012-10-08,48
2012-10-09,48
2012-10-10,51
2012-10-11,50
2012-10-12,52
2012-10-13,47
2012-10-14,48
2012-10-15,51
2012-10-16,47
2012-10-17,52
2012-10-18,52
2012-10-19,53
2012-10-20,45
2012-10-21,51
2012-10-22,51
2012-10-23,50
2012-10-24,51
2012-10-25,55
2012-10-26,56
2012-10-27,56
2012-10-28,53
2012-10-29,57
2012-10-30,54
2012-10-31,55
2012-11-01,56
2012-11-02,56
2012-11-03,55
2012-11-04,53
2012-11-05,51
2012-11-06,51
2012-11-07,47
2012-11-08,52
2012-11-09,48
2012-11-10,51
2012-11-11,50
2012-11-12,49
2012-11-13,51
2012-11-14,53
2012-11-15,60
2012-11-16,58
2012-11-17,52
2012-11-18,47
2012-11-19,53
2012-11-20,51
2012-11-21,50
2012-11-22,45
2012-11-23,47
2012-11-24,50
2012-11-25,46
2012-11-26,49
2012-11-27,52
2012-11-28,50
2012-11-29,53
2012-11-30,52
2012-12-01,49
2012-12-02,54
2012-12-03,54
2012-12-04,52
2012-12-05,55
2012-12-06,51
2012-12-07,47
2012-12-08,50
2012-12-09,45
2012-12-10,49
2012-12-11,48
2012-12-12,48
2012-12-13,45
2012-12-14,46
2012-12-15,43
2012-12-16,45
2012-12-17,45
2012-12-18,46
2012-12-19,48
2012-12-20,49
2012-12-21,55
2012-12-22,56
2012-12-23,53
2012-12-24,48
2012-12-25,42
2012-12-26,49
2012-12-27,50
2012-12-28,49
2012-12-29,48
2012-12-30,43
2012-12-31,50
2013-01-01,41
2013-01-02,50
2013-01-03,51
2013-01-04,54
2013-01-05,50
2013-01-06,47
2013-01-07,50
2013-01-08,52
2013-01-09,52
2013-01-10,50
2013-01-11,54
2013-01-12,53
2013-01-13,51
2013-01-14,46
2013-01-15,49
2013-01-16,47
2013-01-17,49
2013-01-18,51
2013-01-19,51
2013-01-20,50
2013-01-21,48
2013-01-22,50
2013-01-23,50
2013-01-24,48
2013-01-25,49
2013-01-26,49
2013-01-27,46
2013-01-28,49
2013-01-29,50
2013-01-30,53
2013-01-31,55
2013-02-01,48
2013-02-02,47
2013-02-03,46
2013-02-04,48
2013-02-05,51
2013-02-06,53
2013-02-07,50
2013-02-08,49
2013-02-09,49
2013-02-10,47
2013-02-11,53
2013-02-12,50
2013-02-13,49
2013-02-14,45
2013-02-15,47
2013-02-16,49
2013-02-17,44
2013-02-18,49
2013-02-19,51
