date,YHOO
2012-10-12,61
2012-10-13,50
2012-10-14,52
2012-10-15,63
2012-10-16,65
2012-10-17,54
2012-10-18,60
2012-10-19,62
2012-10-20,52
2012-10-21,54
2012-10-22,70
2012-10-23,84
2012-10-24,65
2012-10-25,68
2012-10-26,65
2012-10-27,53
2012-10-28,48
2012-10-29,57
2012-10-30,61
2012-10-31,63
2012-11-01,62
2012-11-02,51
2012-11-03,50
2012-11-04,52
2012-11-05,58
2012-11-06,59
2012-11-07,59
2012-11-08,56
2012-11-09,64
2012-11-10,51
2012-11-11,50
2012-11-12,59
2012-11-13,55
2012-11-14,53
2012-11-15,59
2012-11-16,66
2012-11-17,49
2012-11-18,52
2012-11-19,60
2012-11-20,64
2012-11-21,57
2012-11-22,54
2012-11-23,59
2012-11-24,54
2012-11-25,47
2012-11-26,63
2012-11-27,61
2012-11-28,57
2012-11-29,59
2012-11-30,61
2012-12-01,50
2012-12-02,47
2012-12-03,57
2012-12-04,52
2012-12-05,60
2012-12-06,62
2012-12-07,67
2012-12-08,50
2012-12-09,53
2012-12-10,63
2012-12-11,64
2012-12-12,64
2012-12-13,61
2012-12-14,59
2012-12-15,56
2012-12-16,50
2012-12-17,62
2012-12-18,61
2012-12-19,55
2012-12-20,60
2012-12-21,51
2012-12-22,54
2012-12-23,46
2012-12-24,59
2012-12-25,53
2012-12-26,50
2012-12-27,60
2012-12-28,64
2012-12-29,52
2012-12-30,61
2012-12-31,55
2013-01-01,54
2013-01-02,57
2013-01-03,59
2013-01-04,54
2013-01-05,45
2013-01-06,47
2013-01-07,56
2013-01-08,55
2013-01-09,51
2013-01-10,56
2013-01-11,64
2013-01-12,39
2013-01-13,47
2013-01-14,50
2013-01-15,57
2013-01-16,57
2013-01-17,53
2013-01-18,55
2013-01-19,49
2013-01-20,56
2013-01-21,48
2013-01-22,58
2013-01-23,67
2013-01-24,52
2013-01-25,62
2013-01-26,43
2013-01-27,47
2013-01-28,74
2013-01-29,65
2013-01-30,65
2013-01-31,52
2013-02-01,52
2013-02-02,46
2013-02-03,42
2013-02-04,50
2013-02-05,56
2013-02-06,57
2013-02-07,55
2013-02-08,60
2013-02-09,46
2013-02-10,50
2013-02-11,55
2013-02-12,58
2013-02-13,60
2013-02-14,53
2013-02-15,56
2013-02-16,46
2013-02-17,45
2013-02-18,47
2013-02-19,50
2013-02-20,60
2013-02-21,58
2013-02-22,59
2013-02-23,52
2013-02-24,45
2013-02-25,58
2013-02-26,57
2013-02-27,56
2013-02-28,52
2013-03-01,60
2013-03-02,56
2013-03-03,53
2013-03-04,67
2013-03-05,64
2013-03-06,65
2013-03-07,64
2013-03-08,60
2013-03-09,43
2013-03-10,46
2013-03-11,59
2013-03-12,52
2013-03-13,55
2013-03-14,59
2013-03-15,55
2013-03-16,51
2013-03-17,49
2013-03-18,74
2013-03-19,61
2013-03-20,53
2013-03-21,57
2013-03-22,61
2013-03-23,54
2013-03-24,51
2013-03-25,53
2013-03-26,57
2013-03-27,54
2013-03-28,56
2013-03-29,51
2013-03-30,38
2013-03-31,41
2013-04-01,59
2013-04-02,53
2013-04-03,62
2013-04-04,58
2013-04-05,61
2013-04-06,50
2013-04-07,51
2013-04-08,63
2013-04-09,61
2013-04-10,60
2013-04-11,58
2013-04-12,59
2013-04-13,50
2013-04-14,46
2013-04-15,63
2013-04-16,79
2013-04-17,80
2013-04-18,71
2013-04-19,66
2013-04-20,58
2013-04-21,59
2013-04-22,66
2013-04-23,66
2013-04-24,61
2013-04-25,65
2013-04-26,63
2013-04-27,57
2013-04-28,55
2013-04-29,57
2013-04-30,62
2013-05-01,64
2013-05-02,60
2013-05-03,61
2013-05-04,45
2013-05-05,45
2013-05-06,60
2013-05-07,65
2013-05-08,67
2013-05-09,69
2013-05-10,62
2013-05-11,52
2013-05-12,49
2013-05-13,63
2013-05-14,61
2013-05-15,66
2013-05-16,63
2013-05-17,60
2013-05-18,51
2013-05-19,57
2013-05-20,100
2013-05-21,75
2013-05-22,64
2013-05-23,63
2013-05-24,64
2013-05-25,46
2013-05-26,50
2013-05-27,47
2013-05-28,60
2013-05-29,49
2013-05-30,54
2013-05-31,55
2013-06-01,48
2013-06-02,43
2013-06-03,57
2013-06-04,59
2013-06-05,53
2013-06-06,68
2013-06-07,59
2013-06-08,46
2013-06-09,43
2013-06-10,60
2013-06-11,62
2013-06-12,59
2013-06-13,48
2013-06-14,58
2013-06-15,47
2013-06-16,39
2013-06-17,55
2013-06-18,55
2013-06-19,56
2013-06-20,61
2013-06-21,55
2013-06-22,48
2013-06-23,47
2013-06-24,53
2013-06-25,59
2013-06-26,51
2013-06-27,50
2013-06-28,55
2013-06-29,45
