date,change
2011-05-11,67
2011-05-12,66
2011-05-13,64
2011-05-14,58
2011-05-15,68
2011-05-16,68
2011-05-17,69
2011-05-18,69
2011-05-19,67
2011-05-20,64
2011-05-21,57
2011-05-22,59
2011-05-23,65
2011-05-24,66
2011-05-25,67
2011-05-26,66
2011-05-27,64
2011-05-28,57
2011-05-29,57
2011-05-30,60
2011-05-31,68
2011-06-01,68
2011-06-02,69
2011-06-03,65
2011-06-04,60
2011-06-05,58
2011-06-06,66
2011-06-07,66
2011-06-08,68
2011-06-09,68
2011-06-10,64
2011-06-11,60
2011-06-12,60
2011-06-13,67
2011-06-14,66
2011-06-15,67
2011-06-16,65
2011-06-17,65
2011-06-18,62
2011-06-19,59
2011-06-20,65
2011-06-21,68
2011-06-22,67
2011-06-23,69
2011-06-24,68
2011-06-25,62
2011-06-26,63
2011-06-27,68
2011-06-28,68
2011-06-29,70
2011-06-30,68
2011-07-01,65
2011-07-02,59
2011-07-03,59
2011-07-04,60
2011-07-05,67
2011-07-06,70
2011-07-07,69
2011-07-08,68
2011-07-09,64
2011-07-10,63
2011-07-11,69
2011-07-12,71
2011-07-13,69
2011-07-14,69
2011-07-15,66
2011-07-16,62
2011-07-17,61
2011-07-18,69
2011-07-19,68
2011-07-20,71
2011-07-21,70
2011-07-22,67
2011-07-23,62
2011-07-24,61
2011-07-25,71
2011-07-26,70
2011-07-27,70
2011-07-28,71
2011-07-29,68
2011-07-30,64
2011-07-31,63
2011-08-01,69
2011-08-02,73
2011-08-03,73
2011-08-04,72
2011-08-05,72
2011-08-06,67
2011-08-07,67
2011-08-08,71
2011-08-09,69
2011-08-10,72
2011-08-11,70
2011-08-12,68
2011-08-13,64
2011-08-14,65
2011-08-15,72
2011-08-16,71
2011-08-17,71
2011-08-18,70
2011-08-19,66
2011-08-20,64
2011-08-21,64
2011-08-22,67
2011-08-23,68
2011-08-24,69
2011-08-25,67
2011-08-26,65
2011-08-27,61
2011-08-28,61
2011-08-29,66
2011-08-30,68
2011-08-31,69
2011-09-01,68
2011-09-02,66
2011-09-03,60
2011-09-04,61
2011-09-05,64
2011-09-06,71
2011-09-07,70
2011-09-08,70
2011-09-09,67
2011-09-10,63
2011-09-11,66
2011-09-12,71
2011-09-13,72
2011-09-14,72
2011-09-15,71
2011-09-16,68
2011-09-17,62
2011-09-18,64
2011-09-19,71
2011-09-20,73
2011-09-21,75
2011-09-22,73
2011-09-23,70
2011-09-24,63
2011-09-25,64
2011-09-26,73
2011-09-27,69
2011-09-28,72
2011-09-29,71
2011-09-30,69
2011-10-01,64
2011-10-02,66
2011-10-03,75
2011-10-04,72
2011-10-05,72
2011-10-06,70
2011-10-07,68
2011-10-08,63
2011-10-09,67
2011-10-10,72
2011-10-11,77
2011-10-12,77
2011-10-13,76
2011-10-14,71
2011-10-15,67
2011-10-16,70
2011-10-17,76
2011-10-18,76
2011-10-19,74
2011-10-20,74
2011-10-21,72
2011-10-22,67
2011-10-23,70
2011-10-24,75
2011-10-25,74
2011-10-26,77
2011-10-27,78
2011-10-28,77
2011-10-29,86
2011-10-30,100
2011-10-31,86
2011-11-01,77
2011-11-02,78
2011-11-03,77
2011-11-04,71
2011-11-05,74
2011-11-06,99
2011-11-07,74
2011-11-08,73
2011-11-09,73
2011-11-10,71
2011-11-11,67
2011-11-12,65
2011-11-13,66
2011-11-14,73
2011-11-15,72
2011-11-16,72
2011-11-17,70
2011-11-18,66
2011-11-19,62
2011-11-20,64
2011-11-21,70
2011-11-22,68
2011-11-23,67
2011-11-24,59
2011-11-25,58
2011-11-26,60
2011-11-27,64
2011-11-28,70
2011-11-29,70
2011-11-30,71
2011-12-01,69
2011-12-02,68
2011-12-03,62
2011-12-04,64
2011-12-05,69
2011-12-06,70
2011-12-07,70
2011-12-08,71
2011-12-09,67
2011-12-10,61
2011-12-11,62
2011-12-12,68
2011-12-13,69
2011-12-14,68
2011-12-15,68
2011-12-16,66
2011-12-17,60
2011-12-18,60
2011-12-19,64
2011-12-20,66
2011-12-21,65
2011-12-22,64
2011-12-23,61
2011-12-24,57
2011-12-25,64
2011-12-26,65
2011-12-27,66
2011-12-28,70
2011-12-29,69
2011-12-30,69
2011-12-31,63
2012-01-01,60
2012-01-02,69
2012-01-03,72
2012-01-04,72
2012-01-05,73
2012-01-06,71
2012-01-07,65
2012-01-08,65
2012-01-09,71
2012-01-10,70
2012-01-11,71
2012-01-12,71
2012-01-13,67
2012-01-14,63
2012-01-15,63
2012-01-16,68
2012-01-17,71
2012-01-18,69
2012-01-19,71
2012-01-20,68
2012-01-21,62
2012-01-22,64
2012-01-23,70
2012-01-24,71
2012-01-25,69
2012-01-26,69
