date,debt
2015-08-18,44
2015-08-19,43
2015-08-20,41
2015-08-21,37
2015-08-22,29
2015-08-23,28
2015-08-24,43
2015-08-25,45
2015-08-26,43
2015-08-27,42
2015-08-28,40
2015-08-29,27
2015-08-30,29
2015-08-31,39
2015-09-01,43
2015-09-02,42
2015-09-03,41
2015-09-04,39
2015-09-05,26
2015-09-06,26
2015-09-07,34
2015-09-08,41
2015-09-09,45
2015-09-10,43
2015-09-11,40
2015-09-12,27
2015-09-13,26
2015-09-14,44
2015-09-15,47
2015-09-16,45
2015-09-17,49
2015-09-18,40
2015-09-19,28
2015-09-20,28
2015-09-21,42
2015-09-22,47
2015-09-23,45
2015-09-24,44
2015-09-25,41
2015-09-26,27
2015-09-27,28
2015-09-28,44
2015-09-29,47
2015-09-30,46
2015-10-01,44
2015-10-02,39
2015-10-03,27
2015-10-04,27
2015-10-05,43
2015-10-06,48
2015-10-07,47
2015-10-08,47
2015-10-09,41
2015-10-10,28
2015-10-11,30
2015-10-12,43
2015-10-13,46
2015-10-14,51
2015-10-15,50
2015-10-16,44
2015-10-17,28
2015-10-18,29
2015-10-19,48
2015-10-20,49
2015-10-21,48
2015-10-22,46
2015-10-23,42
2015-10-24,27
2015-10-25,30
2015-10-26,48
2015-10-27,50
2015-10-28,51
2015-10-29,51
2015-10-30,42
2015-10-31,27
2015-11-01,27
2015-11-02,48
2015-11-03,47
2015-11-04,49
2015-11-05,47
2015-11-06,43
2015-11-07,29
2015-11-08,30
2015-11-09,44
2015-11-10,47
2015-11-11,46
2015-11-12,44
2015-11-13,41
2015-11-14,27
2015-11-15,29
2015-11-16,44
2015-11-17,47
2015-11-18,47
2015-11-19,46
2015-11-20,41
2015-11-21,26
2015-11-22,28
2015-11-23,42
2015-11-24,42
2015-11-25,38
2015-11-26,29
2015-11-27,28
2015-11-28,27
2015-11-29,27
2015-11-30,44
2015-12-01,47
2015-12-02,48
2015-12-03,46
2015-12-04,41
2015-12-05,27
2015-12-06,28
2015-12-07,46
2015-12-08,48
2015-12-09,46
2015-12-10,45
2015-12-11,42
2015-12-12,27
2015-12-13,28
2015-12-14,42
2015-12-15,45
2015-12-16,43
2015-12-17,42
2015-12-18,36
2015-12-19,25
2015-12-20,24
2015-12-21,34
2015-12-22,35
2015-12-23,31
2015-12-24,23
2015-12-25,17
2015-12-26,21
2015-12-27,24
2015-12-28,32
2015-12-29,36
2015-12-30,35
2015-12-31,31
2016-01-01,24
2016-01-02,28
2016-01-03,29
2016-01-04,42
2016-01-05,46
2016-01-06,45
2016-01-07,46
2016-01-08,44
2016-01-09,30
2016-01-10,31
2016-01-11,47
2016-01-12,48
2016-01-13,55
2016-01-14,52
2016-01-15,46
2016-01-16,32
2016-01-17,29
2016-01-18,43
2016-01-19,49
2016-01-20,52
2016-01-21,50
2016-01-22,47
2016-01-23,31
2016-01-24,33
2016-01-25,48
2016-01-26,54
2016-01-27,53
2016-01-28,51
2016-01-29,47
2016-01-30,34
2016-01-31,35
2016-02-01,51
2016-02-02,56
2016-02-03,53
2016-02-04,52
2016-02-05,46
2016-02-06,34
2016-02-07,32
2016-02-08,47
2016-02-09,52
2016-02-10,53
2016-02-11,51
2016-02-12,47
2016-02-13,33
2016-02-14,43
2016-02-15,94
2016-02-16,100
2016-02-17,94
2016-02-18,90
2016-02-19,83
2016-02-20,62
2016-02-21,53
2016-02-22,65
2016-02-23,64
2016-02-24,58
2016-02-25,56
2016-02-26,53
2016-02-27,37
2016-02-28,36
2016-02-29,51
2016-03-01,54
2016-03-02,54
2016-03-03,53
2016-03-04,48
2016-03-05,34
2016-03-06,33
2016-03-07,50
2016-03-08,53
2016-03-09,52
2016-03-10,51
2016-03-11,45
2016-03-12,33
2016-03-13,33
2016-03-14,49
2016-03-15,50
2016-03-16,50
2016-03-17,48
2016-03-18,42
2016-03-19,31
2016-03-20,32
2016-03-21,48
2016-03-22,50
2016-03-23,49
2016-03-24,44
2016-03-25,36
2016-03-26,29
2016-03-27,28
2016-03-28,43
2016-03-29,50
2016-03-30,48
2016-03-31,49
2016-04-01,41
2016-04-02,31
2016-04-03,33
2016-04-04,49
2016-04-05,51
2016-04-06,48
2016-04-07,47
2016-04-08,44
2016-04-09,31
2016-04-10,33
2016-04-11,48
2016-04-12,50
2016-04-13,51
2016-04-14,52
2016-04-15,46
2016-04-16,33
2016-04-17,33
2016-04-18,51
2016-04-19,51
2016-04-20,49
2016-04-21,49
2016-04-22,43
2016-04-23,30
2016-04-24,30
2016-04-25,50
2016-04-26,50
2016-04-27,50
2016-04-28,48
2016-04-29,43
2016-04-30,32
2016-05-01,35
2016-05-02,48
2016-05-03,52
2016-05-04,51
