date,dow
2011-05-11,16
2011-05-12,17
2011-05-13,15
2011-05-14,10
2011-05-15,10
2011-05-16,15
2011-05-17,16
2011-05-18,15
2011-05-19,15
2011-05-20,15
2011-05-21,10
2011-05-22,9
2011-05-23,15
2011-05-24,15
2011-05-25,15
2011-05-26,15
2011-05-27,14
2011-05-28,10
2011-05-29,9
2011-05-30,11
2011-05-31,15
2011-06-01,17
2011-06-02,19
2011-06-03,17
2011-06-04,11
2011-06-05,10
2011-06-06,16
2011-06-07,16
2011-06-08,17
2011-06-09,17
2011-06-10,17
2011-06-11,11
2011-06-12,11
2011-06-13,17
2011-06-14,16
2011-06-15,19
2011-06-16,18
2011-06-17,17
2011-06-18,11
2011-06-19,10
2011-06-20,15
2011-06-21,15
2011-06-22,17
2011-06-23,17
2011-06-24,18
2011-06-25,11
2011-06-26,10
2011-06-27,16
2011-06-28,16
2011-06-29,16
2011-06-30,17
2011-07-01,16
2011-07-02,12
2011-07-03,10
2011-07-04,10
2011-07-05,15
2011-07-06,16
2011-07-07,16
2011-07-08,16
2011-07-09,11
2011-07-10,10
2011-07-11,17
2011-07-12,18
2011-07-13,16
2011-07-14,17
2011-07-15,17
2011-07-16,12
2011-07-17,10
2011-07-18,17
2011-07-19,17
2011-07-20,17
2011-07-21,18
2011-07-22,16
2011-07-23,10
2011-07-24,10
2011-07-25,19
2011-07-26,18
2011-07-27,19
2011-07-28,21
2011-07-29,21
2011-07-30,13
2011-07-31,12
2011-08-01,23
2011-08-02,26
2011-08-03,29
2011-08-04,53
2011-08-05,69
2011-08-06,23
2011-08-07,18
2011-08-08,100
2011-08-09,93
2011-08-10,74
2011-08-11,63
2011-08-12,49
2011-08-13,18
2011-08-14,14
2011-08-15,33
2011-08-16,31
2011-08-17,28
2011-08-18,45
2011-08-19,45
2011-08-20,18
2011-08-21,16
2011-08-22,31
2011-08-23,28
2011-08-24,29
2011-08-25,26
2011-08-26,24
2011-08-27,13
2011-08-28,12
2011-08-29,22
2011-08-30,24
2011-08-31,23
2011-09-01,22
2011-09-02,24
2011-09-03,13
2011-09-04,11
2011-09-05,16
2011-09-06,27
2011-09-07,24
2011-09-08,22
2011-09-09,26
2011-09-10,14
2011-09-11,11
2011-09-12,25
2011-09-13,25
2011-09-14,22
2011-09-15,23
2011-09-16,21
2011-09-17,12
2011-09-18,11
2011-09-19,21
2011-09-20,21
2011-09-21,21
2011-09-22,37
2011-09-23,34
2011-09-24,15
2011-09-25,12
2011-09-26,24
2011-09-27,24
2011-09-28,24
2011-09-29,24
2011-09-30,22
2011-10-01,15
2011-10-02,12
2011-10-03,26
2011-10-04,29
2011-10-05,24
2011-10-06,23
2011-10-07,22
2011-10-08,13
2011-10-09,12
2011-10-10,21
2011-10-11,23
2011-10-12,23
2011-10-13,21
2011-10-14,20
2011-10-15,12
2011-10-16,12
2011-10-17,20
2011-10-18,22
2011-10-19,22
2011-10-20,19
2011-10-21,19
2011-10-22,13
2011-10-23,10
2011-10-24,20
2011-10-25,21
2011-10-26,20
2011-10-27,26
2011-10-28,24
2011-10-29,12
2011-10-30,12
2011-10-31,20
2011-11-01,24
2011-11-02,22
2011-11-03,23
2011-11-04,21
2011-11-05,12
2011-11-06,11
2011-11-07,19
2011-11-08,20
2011-11-09,22
2011-11-10,23
2011-11-11,19
2011-11-12,12
2011-11-13,11
2011-11-14,19
2011-11-15,19
2011-11-16,19
2011-11-17,20
2011-11-18,18
2011-11-19,11
2011-11-20,11
2011-11-21,20
2011-11-22,20
2011-11-23,20
2011-11-24,14
2011-11-25,16
2011-11-26,12
2011-11-27,11
2011-11-28,21
2011-11-29,19
2011-11-30,24
2011-12-01,24
2011-12-02,21
2011-12-03,12
2011-12-04,10
2011-12-05,18
2011-12-06,19
2011-12-07,19
2011-12-08,19
2011-12-09,19
2011-12-10,11
2011-12-11,10
2011-12-12,17
2011-12-13,18
2011-12-14,18
2011-12-15,18
2011-12-16,17
2011-12-17,11
2011-12-18,10
2011-12-19,17
2011-12-20,18
2011-12-21,17
2011-12-22,18
2011-12-23,16
2011-12-24,11
2011-12-25,10
2011-12-26,12
2011-12-27,15
2011-12-28,16
2011-12-29,16
2011-12-30,16
2011-12-31,12
2012-01-01,11
2012-01-02,13
2012-01-03,17
2012-01-04,17
2012-01-05,17
2012-01-06,17
2012-01-07,11
2012-01-08,10
2012-01-09,15
2012-01-10,16
2012-01-11,16
2012-01-12,16
2012-01-13,16
2012-01-14,11
2012-01-15,9
2012-01-16,14
2012-01-17,16
2012-01-18,15
2012-01-19,17
2012-01-20,16
2012-01-21,11
2012-01-22,10
2012-01-23,15
2012-01-24,15
2012-01-25,16
2012-01-26,17
