date,value
2016-08-21,50.0
2016-08-22,56.0
2016-08-23,61.0
2016-08-24,62.0
2016-08-25,56.0
2016-08-26,59.0
2016-08-27,52.0
2016-08-28,54.0
2016-08-29,61.0
2016-08-30,64.0
2016-08-31,65.0
2016-09-01,60.0
2016-09-02,54.0
2016-09-03,43.0
2016-09-04,48.0
2016-09-05,47.0
2016-09-06,61.0
2016-09-07,66.0
2016-09-08,60.0
2016-09-09,58.0
2016-09-10,50.0
2016-09-11,44.0
2016-09-12,62.0
2016-09-13,62.0
2016-09-14,63.0
2016-09-15,62.0
2016-09-16,64.0
2016-09-17,45.0
2016-09-18,54.0
2016-09-19,70.0
2016-09-20,73.0
2016-09-21,70.0
2016-09-22,71.0
2016-09-23,64.0
2016-09-24,53.0
2016-09-25,53.0
2016-09-26,71.0
2016-09-27,59.0
2016-09-28,66.0
2016-09-29,69.0
2016-09-30,56.0
2016-10-01,46.0
2016-10-02,49.0
2016-10-03,61.0
2016-10-04,66.0
2016-10-05,59.0
2016-10-06,69.0
2016-10-07,59.0
2016-10-08,43.0
2016-10-09,46.0
2016-10-10,62.0
2016-10-11,77.0
2016-10-12,73.0
2016-10-13,69.0
2016-10-14,64.0
2016-10-15,45.0
2016-10-16,55.0
2016-10-17,73.0
2016-10-18,69.0
2016-10-19,70.0
2016-10-20,71.0
2016-10-21,58.0
2016-10-22,48.0
2016-10-23,52.0
2016-10-24,75.0
2016-10-25,80.0
2016-10-26,74.0
2016-10-27,64.0
2016-10-28,56.0
2016-10-29,42.0
2016-10-30,49.0
2016-10-31,60.0
2016-11-01,70.0
2016-11-02,84.0
2016-11-03,74.0
2016-11-04,63.0
2016-11-05,52.0
2016-11-06,54.0
2016-11-07,75.0
2016-11-08,72.0
2016-11-09,73.0
2016-11-10,70.0
2016-11-11,66.0
2016-11-12,50.0
2016-11-13,52.0
2016-11-14,73.0
2016-11-15,78.0
2016-11-16,70.0
2016-11-17,77.0
2016-11-18,59.0
2016-11-19,51.0
2016-11-20,42.0
2016-11-21,67.0
2016-11-22,65.0
2016-11-23,65.0
2016-11-24,61.0
2016-11-25,48.0
2016-11-26,45.0
2016-11-27,53.0
2016-11-28,68.0
2016-11-29,78.0
2016-11-30,72.0
2016-12-01,70.0
2016-12-02,65.0
2016-12-03,52.0
2016-12-04,52.0
2016-12-05,75.0
2016-12-06,73.0
2016-12-07,79.0
2016-12-08,77.0
2016-12-09,61.0
2016-12-10,43.0
2016-12-11,44.0
2016-12-12,68.0
2016-12-13,78.0
2016-12-14,72.0
2016-12-15,62.0
2016-12-16,61.0
2016-12-17,43.0
2016-12-18,46.0
2016-12-19,56.0
2016-12-20,67.0
2016-12-21,59.0
2016-12-22,48.0
2016-12-23,46.0
2016-12-24,33.0
2016-12-25,33.0
2016-12-26,44.0
2016-12-27,49.0
2016-12-28,57.0
2016-12-29,48.0
2016-12-30,40.0
2016-12-31,39.0
2017-01-01,46.0
2017-01-02,49.0
2017-01-03,56.0
2017-01-04,66.0
2017-01-05,73.0
2017-01-06,69.0
2017-01-07,49.0
2017-01-08,57.0
2017-01-09,66.0
2017-01-10,74.0
2017-01-11,71.0
2017-01-12,67.0
2017-01-13,62.0
2017-01-14,51.0
2017-01-15,59.0
2017-01-16,64.0
2017-01-17,80.0
2017-01-18,80.0
2017-01-19,75.0
2017-01-20,73.0
2017-01-21,53.0
2017-01-22,56.0
2017-01-23,68.0
2017-01-24,84.0
2017-01-25,78.0
2017-01-26,71.0
2017-01-27,74.0
2017-01-28,59.0
2017-01-29,66.0
2017-01-30,84.0
2017-01-31,83.0
2017-02-01,76.0
2017-02-02,82.0
2017-02-03,84.0
2017-02-04,49.0
2017-02-05,52.0
2017-02-06,89.0
2017-02-07,83.0
2017-02-08,85.0
2017-02-09,78.0
2017-02-10,70.0
2017-02-11,58.0
2017-02-12,56.0
2017-02-13,80.0
2017-02-14,77.0
2017-02-15,83.0
2017-02-16,82.0
2017-02-17,75.0
2017-02-18,50.0
2017-02-19,56.0
2017-02-20,73.0
2017-02-21,86.0
2017-02-22,76.0
2017-02-23,70.0
2017-02-24,80.0
2017-02-25,56.0
2017-02-26,72.0
2017-02-27,88.0
2017-02-28,89.0
2017-03-01,90.0
2017-03-02,89.0
2017-03-03,80.0
2017-03-04,56.0
2017-03-05,69.0
2017-03-06,86.0
2017-03-07,87.0
2017-03-08,100.0
2017-03-09,88.0
2017-03-10,76.0
2017-03-11,56.0
2017-03-12,58.0
2017-03-13,79.0
2017-03-14,76.0
2017-03-15,85.0
2017-03-16,88.0
2017-03-17,76.0
2017-03-18,68.0
2017-03-19,68.0
2017-03-20,83.0
2017-03-21,88.0
2017-03-22,96.0
2017-03-23,82.0
2017-03-24,81.0
2017-03-25,51.0
2017-03-26,61.0
2017-03-27,74.0
2017-03-28,86.0
2017-03-29,79.0
2017-03-30,82.0
