date,new regulations
2013-11-06,61
2013-11-07,57
2013-11-08,47
2013-11-09,47
2013-11-10,47
2013-11-11,73
2013-11-12,64
2013-11-13,77
2013-11-14,62
2013-11-15,59
2013-11-16,41
2013-11-17,41
2013-11-18,76
2013-11-19,73
2013-11-20,58
2013-11-21,79
2013-11-22,75
2013-11-23,40
2013-11-24,49
2013-11-25,43
2013-11-26,62
2013-11-27,71
2013-11-28,50
2013-11-29,32
2013-11-30,42
2013-12-01,38
2013-12-02,70
2013-12-03,84
2013-12-04,77
2013-12-05,78
2013-12-06,60
2013-12-07,40
2013-12-08,42
2013-12-09,66
2013-12-10,51
2013-12-11,57
2013-12-12,71
2013-12-13,65
2013-12-14,44
2013-12-15,17
2013-12-16,61
2013-12-17,61
2013-12-18,65
2013-12-19,52
2013-12-20,63
2013-12-21,21
2013-12-22,16
2013-12-23,49
2013-12-24,37
2013-12-25,23
2013-12-26,39
2013-12-27,51
2013-12-28,22
2013-12-29,32
2013-12-30,61
2013-12-31,73
2014-01-01,70
2014-01-02,66
2014-01-03,56
2014-01-04,43
2014-01-05,39
2014-01-06,70
2014-01-07,66
2014-01-08,56
2014-01-09,72
2014-01-10,83
2014-01-11,54
2014-01-12,42
2014-01-13,63
2014-01-14,64
2014-01-15,72
2014-01-16,78
2014-01-17,81
2014-01-18,43
2014-01-19,38
2014-01-20,55
2014-01-21,59
2014-01-22,69
2014-01-23,67
2014-01-24,60
2014-01-25,45
2014-01-26,36
2014-01-27,77
2014-01-28,78
2014-01-29,83
2014-01-30,73
2014-01-31,63
2014-02-01,30
2014-02-02,55
2014-02-03,70
2014-02-04,74
2014-02-05,73
2014-02-06,69
2014-02-07,78
2014-02-08,48
2014-02-09,30
2014-02-10,76
2014-02-11,78
2014-02-12,76
2014-02-13,58
2014-02-14,38
2014-02-15,49
2014-02-16,41
2014-02-17,64
2014-02-18,61
2014-02-19,83
2014-02-20,87
2014-02-21,63
2014-02-22,53
2014-02-23,38
2014-02-24,69
2014-02-25,100
2014-02-26,95
2014-02-27,89
2014-02-28,80
2014-03-01,50
2014-03-02,29
2014-03-03,58
2014-03-04,83
2014-03-05,69
2014-03-06,90
2014-03-07,75
2014-03-08,37
2014-03-09,33
2014-03-10,59
2014-03-11,73
2014-03-12,62
2014-03-13,75
2014-03-14,72
2014-03-15,53
2014-03-16,61
2014-03-17,53
2014-03-18,68
2014-03-19,91
2014-03-20,87
2014-03-21,70
2014-03-22,49
2014-03-23,43
2014-03-24,61
2014-03-25,84
2014-03-26,73
2014-03-27,76
2014-03-28,68
2014-03-29,44
2014-03-30,51
2014-03-31,58
2014-04-01,99
2014-04-02,95
2014-04-03,75
2014-04-04,61
2014-04-05,49
2014-04-06,45
2014-04-07,71
2014-04-08,78
2014-04-09,75
2014-04-10,89
2014-04-11,88
2014-04-12,35
2014-04-13,38
2014-04-14,88
2014-04-15,87
2014-04-16,76
2014-04-17,66
2014-04-18,54
2014-04-19,37
2014-04-20,50
2014-04-21,54
2014-04-22,91
2014-04-23,94
2014-04-24,70
2014-04-25,62
2014-04-26,56
2014-04-27,40
2014-04-28,94
2014-04-29,70
2014-04-30,69
2014-05-01,86
2014-05-02,69
2014-05-03,57
2014-05-04,45
2014-05-05,55
2014-05-06,85
2014-05-07,54
2014-05-08,68
2014-05-09,71
2014-05-10,28
2014-05-11,51
2014-05-12,83
2014-05-13,70
2014-05-14,70
2014-05-15,67
2014-05-16,69
2014-05-17,35
2014-05-18,39
2014-05-19,68
2014-05-20,78
2014-05-21,72
2014-05-22,54
2014-05-23,58
2014-05-24,46
2014-05-25,25
2014-05-26,40
2014-05-27,46
2014-05-28,89
2014-05-29,77
2014-05-30,67
2014-05-31,48
2014-06-01,48
2014-06-02,85
2014-06-03,88
2014-06-04,88
2014-06-05,58
2014-06-06,71
2014-06-07,47
2014-06-08,46
2014-06-09,68
2014-06-10,77
2014-06-11,89
2014-06-12,92
2014-06-13,55
2014-06-14,37
2014-06-15,46
2014-06-16,69
2014-06-17,63
2014-06-18,67
2014-06-19,54
2014-06-20,62
2014-06-21,63
2014-06-22,50
2014-06-23,84
2014-06-24,73
2014-06-25,61
2014-06-26,65
2014-06-27,52
2014-06-28,46
2014-06-29,44
2014-06-30,74
2014-07-01,58
2014-07-02,63
2014-07-03,73
2014-07-04,51
2014-07-05,48
2014-07-06,49
2014-07-07,74
2014-07-08,63
2014-07-09,96
2014-07-10,76
2014-07-11,61
2014-07-12,49
2014-07-13,46
2014-07-14,64
2014-07-15,67
2014-07-16,90
2014-07-17,69
2014-07-18,67
2014-07-19,38
2014-07-20,38
2014-07-21,65
2014-07-22,77
2014-07-23,67
2014-07-24,39
