date,online trading
2014-07-24,60
2014-07-25,56
2014-07-26,48
2014-07-27,46
2014-07-28,61
2014-07-29,47
2014-07-30,50
2014-07-31,54
2014-08-01,57
2014-08-02,53
2014-08-03,38
2014-08-04,61
2014-08-05,56
2014-08-06,63
2014-08-07,68
2014-08-08,59
2014-08-09,49
2014-08-10,50
2014-08-11,66
2014-08-12,52
2014-08-13,57
2014-08-14,46
2014-08-15,45
2014-08-16,52
2014-08-17,58
2014-08-18,58
2014-08-19,61
2014-08-20,52
2014-08-21,59
2014-08-22,56
2014-08-23,43
2014-08-24,42
2014-08-25,60
2014-08-26,63
2014-08-27,56
2014-08-28,55
2014-08-29,51
2014-08-30,47
2014-08-31,44
2014-09-01,57
2014-09-02,60
2014-09-03,64
2014-09-04,52
2014-09-05,60
2014-09-06,46
2014-09-07,44
2014-09-08,61
2014-09-09,57
2014-09-10,58
2014-09-11,58
2014-09-12,69
2014-09-13,46
2014-09-14,57
2014-09-15,69
2014-09-16,71
2014-09-17,63
2014-09-18,64
2014-09-19,68
2014-09-20,58
2014-09-21,51
2014-09-22,100
2014-09-23,75
2014-09-24,73
2014-09-25,76
2014-09-26,52
2014-09-27,52
2014-09-28,51
2014-09-29,57
2014-09-30,67
2014-10-01,59
2014-10-02,64
2014-10-03,59
2014-10-04,51
2014-10-05,52
2014-10-06,61
2014-10-07,62
2014-10-08,57
2014-10-09,57
2014-10-10,60
2014-10-11,47
2014-10-12,48
2014-10-13,56
2014-10-14,54
2014-10-15,65
2014-10-16,56
2014-10-17,56
2014-10-18,47
2014-10-19,52
2014-10-20,61
2014-10-21,63
2014-10-22,61
2014-10-23,61
2014-10-24,49
2014-10-25,44
2014-10-26,52
2014-10-27,51
2014-10-28,58
2014-10-29,63
2014-10-30,51
2014-10-31,48
2014-11-01,45
2014-11-02,46
2014-11-03,56
2014-11-04,50
2014-11-05,58
2014-11-06,62
2014-11-07,52
2014-11-08,53
2014-11-09,50
2014-11-10,64
2014-11-11,58
2014-11-12,61
2014-11-13,58
2014-11-14,56
2014-11-15,53
2014-11-16,43
2014-11-17,63
2014-11-18,62
2014-11-19,53
2014-11-20,52
2014-11-21,57
2014-11-22,46
2014-11-23,45
2014-11-24,52
2014-11-25,53
2014-11-26,60
2014-11-27,60
2014-11-28,52
2014-11-29,42
2014-11-30,39
2014-12-01,55
2014-12-02,59
2014-12-03,64
2014-12-04,60
2014-12-05,57
2014-12-06,50
2014-12-07,57
2014-12-08,62
2014-12-09,62
2014-12-10,51
2014-12-11,55
2014-12-12,47
2014-12-13,48
2014-12-14,52
2014-12-15,72
2014-12-16,75
2014-12-17,68
2014-12-18,73
2014-12-19,64
2014-12-20,49
2014-12-21,47
2014-12-22,70
2014-12-23,65
2014-12-24,56
2014-12-25,52
2014-12-26,57
2014-12-27,48
2014-12-28,49
2014-12-29,60
2014-12-30,58
2014-12-31,53
2015-01-01,64
2015-01-02,58
2015-01-03,60
2015-01-04,55
2015-01-05,58
2015-01-06,63
2015-01-07,66
2015-01-08,60
2015-01-09,57
2015-01-10,50
2015-01-11,55
2015-01-12,68
2015-01-13,50
2015-01-14,61
2015-01-15,66
2015-01-16,62
2015-01-17,58
2015-01-18,56
2015-01-19,67
2015-01-20,73
2015-01-21,63
2015-01-22,67
2015-01-23,60
2015-01-24,45
2015-01-25,38
2015-01-26,54
2015-01-27,54
2015-01-28,67
2015-01-29,55
2015-01-30,57
2015-01-31,41
2015-02-01,52
2015-02-02,52
2015-02-03,62
2015-02-04,63
2015-02-05,59
2015-02-06,60
2015-02-07,54
2015-02-08,48
2015-02-09,57
2015-02-10,65
2015-02-11,58
2015-02-12,57
2015-02-13,60
2015-02-14,49
2015-02-15,47
2015-02-16,64
2015-02-17,52
2015-02-18,61
2015-02-19,59
2015-02-20,52
2015-02-21,56
2015-02-22,49
2015-02-23,63
2015-02-24,65
2015-02-25,61
2015-02-26,62
2015-02-27,61
2015-02-28,64
2015-03-01,52
2015-03-02,55
2015-03-03,56
2015-03-04,56
2015-03-05,60
2015-03-06,47
2015-03-07,41
2015-03-08,48
2015-03-09,54
2015-03-10,65
2015-03-11,56
2015-03-12,58
2015-03-13,54
2015-03-14,48
2015-03-15,54
2015-03-16,63
2015-03-17,55
2015-03-18,49
2015-03-19,54
2015-03-20,53
2015-03-21,54
2015-03-22,56
2015-03-23,57
2015-03-24,57
2015-03-25,66
2015-03-26,57
2015-03-27,55
2015-03-28,49
2015-03-29,46
2015-03-30,57
2015-03-31,53
2015-04-01,55
2015-04-02,62
2015-04-03,52
2015-04-04,55
2015-04-05,54
2015-04-06,57
2015-04-07,53
2015-04-08,58
2015-04-09,58
2015-04-10,56
