date,price
2017-01-19,78
2017-01-20,78
2017-01-21,79
2017-01-22,76
2017-01-23,78
2017-01-24,81
2017-01-25,80
2017-01-26,75
2017-01-27,81
2017-01-28,78
2017-01-29,75
2017-01-30,77
2017-01-31,80
2017-02-01,77
2017-02-02,80
2017-02-03,82
2017-02-04,78
2017-02-05,75
2017-02-06,80
2017-02-07,79
2017-02-08,79
2017-02-09,78
2017-02-10,81
2017-02-11,78
2017-02-12,74
2017-02-13,78
2017-02-14,76
2017-02-15,80
2017-02-16,79
2017-02-17,79
2017-02-18,78
2017-02-19,76
2017-02-20,80
2017-02-21,81
2017-02-22,81
2017-02-23,79
2017-02-24,77
2017-02-25,79
2017-02-26,76
2017-02-27,85
2017-02-28,83
2017-03-01,82
2017-03-02,83
2017-03-03,84
2017-03-04,79
2017-03-05,76
2017-03-06,80
2017-03-07,80
2017-03-08,79
2017-03-09,79
2017-03-10,80
2017-03-11,75
2017-03-12,72
2017-03-13,71
2017-03-14,79
2017-03-15,79
2017-03-16,81
2017-03-17,81
2017-03-18,77
2017-03-19,74
2017-03-20,80
2017-03-21,82
2017-03-22,81
2017-03-23,83
2017-03-24,84
2017-03-25,80
2017-03-26,78
2017-03-27,80
2017-03-28,81
2017-03-29,84
2017-03-30,91
2017-03-31,100
2017-04-01,82
